Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
Workers,"Class of Worker","Civilian employed population 16 years and over","361,062","(+/-7,768)","352,390","(+/-8,717)","330,180","(+/-7,574)","373,111","(+/-7,909)","358,007","(+/-7,507)","344,864","(+/-9,237)","334,433","(+/-8,028)"
Workers,"Class of Worker","Private wage and salary workers","282,911","(+/-7,825)","259,183","(+/-8,517)","262,804","(+/-7,395)","311,902","(+/-8,904)","289,538","(+/-7,589)","254,777","(+/-8,870)","257,567","(+/-7,950)"
Workers,"Class of Worker","Government workers","53,592","(+/-5,097)","75,527","(+/-5,065)","49,693","(+/-4,027)","38,362","(+/-3,877)","48,556","(+/-4,025)","69,265","(+/-5,026)","50,531","(+/-3,861)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","23,494","(+/-2,918)","17,502","(+/-2,844)","17,072","(+/-2,343)","21,653","(+/-2,735)","19,002","(+/-2,385)","19,961","(+/-2,764)","25,698","(+/-3,650)"
Workers,"Class of Worker","Unpaid family workers","1,065",(+/-571),178,(+/-223),611,(+/-395),"1,194",(+/-905),911,(+/-560),861,(+/-537),637,(+/-436)
Housing,"Housing Occupancy","Total housing units","361,763","(+/-4,325)","331,411","(+/-4,323)","341,975","(+/-2,653)","330,142","(+/-3,768)","326,937","(+/-3,125)","351,764","(+/-6,342)","402,688","(+/-1,612)"
Housing,"Housing Occupancy","Occupied housing units","307,810","(+/-5,133)","301,013","(+/-5,159)","302,371","(+/-3,893)","304,004","(+/-4,673)","296,809","(+/-4,247)","306,808","(+/-6,053)","317,265","(+/-5,199)"
Housing,"Housing Occupancy","Vacant housing units","53,953","(+/-4,565)","30,398","(+/-3,172)","39,604","(+/-3,332)","26,138","(+/-3,842)","30,128","(+/-4,278)","44,956","(+/-4,054)","85,423","(+/-5,233)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.2,(+/-0.5),0.4,(+/-0.3),0.9,(+/-0.3),1.0,(+/-0.5),0.6,(+/-0.3),0.7,(+/-0.4),0.8,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",12.4,(+/-2.6),4.6,(+/-1.6),5.1,(+/-1.4),7.3,(+/-1.9),3.5,(+/-1.5),7.7,(+/-1.4),11.0,(+/-2.6)
Housing,"Housing Tenure","Occupied housing units","307,810","(+/-5,133)","301,013","(+/-5,159)","302,371","(+/-3,893)","304,004","(+/-4,673)","296,809","(+/-4,247)","306,808","(+/-6,053)","317,265","(+/-5,199)"
Housing,"Housing Tenure",Owner-occupied,"236,034","(+/-6,423)","227,132","(+/-4,677)","223,040","(+/-4,872)","210,317","(+/-6,026)","225,982","(+/-4,263)","183,854","(+/-5,158)","232,191","(+/-5,311)"
Housing,"Housing Tenure",Renter-occupied,"71,776","(+/-5,057)","73,881","(+/-4,615)","79,331","(+/-4,681)","93,687","(+/-5,437)","70,827","(+/-3,867)","122,954","(+/-5,974)","85,074","(+/-5,302)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.52,(+/-0.05),2.52,(+/-0.04),2.48,(+/-0.04),2.54,(+/-0.05),2.58,(+/-0.04),2.37,(+/-0.07),2.35,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.12,(+/-0.09),2.26,(+/-0.08),2.19,(+/-0.08),2.17,(+/-0.08),2.32,(+/-0.10),2.15,(+/-0.08),2.38,(+/-0.11)
Housing,"Year Householder Moved into Unit","Occupied housing units","307,810","(+/-5,133)","301,013","(+/-5,159)","302,371","(+/-3,893)","304,004","(+/-4,673)","296,809","(+/-4,247)","306,808","(+/-6,053)","317,265","(+/-5,199)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","68,728","(+/-4,865)","50,444","(+/-4,000)","47,793","(+/-4,234)","59,371","(+/-4,327)","52,441","(+/-4,624)","65,544","(+/-5,225)","52,462","(+/-4,635)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","77,286","(+/-5,327)","73,735","(+/-4,935)","63,791","(+/-4,410)","74,152","(+/-4,121)","67,688","(+/-4,298)","73,702","(+/-5,340)","79,543","(+/-4,489)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","75,013","(+/-5,374)","68,559","(+/-4,078)","72,539","(+/-4,224)","74,402","(+/-4,648)","66,129","(+/-4,410)","65,190","(+/-4,650)","81,041","(+/-4,435)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","46,341","(+/-3,524)","52,800","(+/-3,569)","48,903","(+/-3,337)","46,181","(+/-3,286)","48,503","(+/-3,540)","38,256","(+/-3,365)","48,173","(+/-3,824)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","22,257","(+/-2,479)","27,540","(+/-2,335)","32,926","(+/-2,725)","23,619","(+/-2,144)","30,075","(+/-2,615)","28,298","(+/-2,792)","29,101","(+/-2,489)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","18,185","(+/-2,179)","27,935","(+/-2,336)","36,419","(+/-2,782)","26,279","(+/-2,083)","31,973","(+/-2,674)","35,818","(+/-2,903)","26,945","(+/-2,616)"
Housing,Value,"Owner-occupied units","236,034","(+/-6,423)","227,132","(+/-4,677)","223,040","(+/-4,872)","210,317","(+/-6,026)","225,982","(+/-4,263)","183,854","(+/-5,158)","232,191","(+/-5,311)"
Housing,Value,"Less than $50,000","12,514","(+/-2,042)","19,243","(+/-2,528)","25,583","(+/-2,401)","10,394","(+/-1,790)","19,714","(+/-2,288)","20,255","(+/-2,481)","22,111","(+/-2,594)"
Housing,Value,"$50,000 to $99,999","6,375","(+/-1,611)","18,796","(+/-2,748)","27,198","(+/-2,393)","12,999","(+/-1,829)","21,518","(+/-2,379)","21,788","(+/-2,328)","26,095","(+/-2,663)"
Housing,Value,"$100,000 to $149,999","6,377","(+/-1,459)","21,674","(+/-2,855)","22,692","(+/-2,478)","15,185","(+/-1,951)","20,546","(+/-2,525)","22,174","(+/-2,393)","23,252","(+/-2,607)"
Housing,Value,"$150,000 to $199,999","11,793","(+/-1,998)","38,149","(+/-3,103)","29,284","(+/-2,537)","22,584","(+/-2,544)","28,145","(+/-2,501)","26,395","(+/-2,538)","28,822","(+/-2,593)"
Housing,Value,"$200,000 to $299,999","37,265","(+/-3,505)","54,752","(+/-3,799)","50,435","(+/-3,483)","63,205","(+/-4,081)","43,962","(+/-3,504)","33,384","(+/-3,096)","51,200","(+/-3,737)"
Housing,Value,"$300,000 to $499,999","79,000","(+/-4,038)","50,109","(+/-3,344)","45,010","(+/-3,470)","55,766","(+/-3,704)","57,999","(+/-3,471)","36,708","(+/-3,459)","56,586","(+/-4,107)"
Housing,Value,"$500,000 to $999,999","57,083","(+/-3,834)","19,994","(+/-2,107)","17,150","(+/-1,755)","25,235","(+/-2,696)","29,936","(+/-3,106)","18,703","(+/-2,044)","21,563","(+/-2,279)"
Housing,Value,"$1,000,000 or more","25,627","(+/-2,158)","4,415","(+/-1,123)","5,688","(+/-1,282)","4,949","(+/-1,284)","4,162","(+/-1,143)","4,447",(+/-995),"2,562",(+/-683)
Housing,Value,"Median (dollars)","387,100","(+/-7,582)","225,400","(+/-5,855)","212,300","(+/-6,963)","268,700","(+/-5,661)","250,900","(+/-8,244)","204,000","(+/-9,392)","231,800","(+/-5,988)"
Housing,"Mortgage Status","Owner-occupied units","236,034","(+/-6,423)","227,132","(+/-4,677)","223,040","(+/-4,872)","210,317","(+/-6,026)","225,982","(+/-4,263)","183,854","(+/-5,158)","232,191","(+/-5,311)"
Housing,"Mortgage Status","Housing units with a mortgage","155,515","(+/-5,269)","141,216","(+/-4,229)","112,645","(+/-4,515)","129,592","(+/-5,657)","133,070","(+/-5,122)","97,798","(+/-4,741)","117,067","(+/-4,964)"
Housing,"Mortgage Status","Housing units without a mortgage","80,519","(+/-4,531)","85,916","(+/-3,518)","110,395","(+/-4,112)","80,725","(+/-4,097)","92,912","(+/-4,131)","86,056","(+/-4,482)","115,124","(+/-4,396)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","155,515","(+/-5,269)","141,216","(+/-4,229)","112,645","(+/-4,515)","129,592","(+/-5,657)","133,070","(+/-5,122)","97,798","(+/-4,741)","117,067","(+/-4,964)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,366",(+/-864),"2,443",(+/-845),"3,133",(+/-993),"1,970",(+/-643),"2,369",(+/-862),"1,272",(+/-580),"2,216",(+/-644)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","16,597","(+/-2,432)","33,473","(+/-2,646)","32,232","(+/-2,986)","28,916","(+/-2,708)","30,070","(+/-3,053)","21,494","(+/-2,783)","30,805","(+/-3,174)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","38,925","(+/-3,769)","49,607","(+/-3,196)","38,216","(+/-3,455)","49,201","(+/-4,149)","46,550","(+/-3,639)","37,003","(+/-3,824)","46,033","(+/-3,683)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","40,859","(+/-2,903)","28,076","(+/-2,878)","22,948","(+/-2,722)","26,241","(+/-2,859)","25,774","(+/-3,025)","17,206","(+/-2,194)","20,209","(+/-2,295)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","23,683","(+/-2,789)","15,123","(+/-2,406)","8,880","(+/-1,647)","9,972","(+/-1,352)","13,371","(+/-1,977)","9,697","(+/-1,911)","10,146","(+/-1,723)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","12,763","(+/-2,254)","6,009","(+/-1,501)","3,066",(+/-815),"6,121","(+/-1,257)","7,479","(+/-1,812)","5,858","(+/-1,452)","3,613","(+/-1,065)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","21,322","(+/-2,414)","6,485","(+/-1,060)","4,170",(+/-969),"7,171","(+/-1,732)","7,457","(+/-1,710)","5,268","(+/-1,151)","4,045","(+/-1,021)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,735",(+/-43),"1,345",(+/-29),"1,231",(+/-33),"1,335",(+/-29),"1,358",(+/-38),"1,347",(+/-36),"1,252",(+/-31)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","80,519","(+/-4,531)","85,916","(+/-3,518)","110,395","(+/-4,112)","80,725","(+/-4,097)","92,912","(+/-4,131)","86,056","(+/-4,482)","115,124","(+/-4,396)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","6,238","(+/-1,781)","14,401","(+/-1,794)","22,130","(+/-2,720)","10,237","(+/-1,681)","19,909","(+/-2,548)","14,135","(+/-2,070)","18,927","(+/-1,873)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","15,239","(+/-2,203)","29,125","(+/-2,713)","40,052","(+/-2,838)","28,461","(+/-2,907)","34,241","(+/-2,768)","26,487","(+/-2,944)","39,867","(+/-2,875)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","24,621","(+/-2,487)","26,603","(+/-2,073)","32,617","(+/-2,626)","24,473","(+/-2,640)","24,822","(+/-2,207)","27,449","(+/-2,406)","33,278","(+/-2,337)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","13,345","(+/-1,964)","9,268","(+/-1,345)","9,540","(+/-1,775)","10,709","(+/-1,626)","9,807","(+/-1,543)","10,605","(+/-1,821)","14,165","(+/-1,876)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","8,335","(+/-1,492)","3,945",(+/-935),"2,150",(+/-984),"3,110",(+/-854),"2,037",(+/-651),"3,666","(+/-1,083)","5,731","(+/-1,398)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","12,741","(+/-1,836)","2,574",(+/-785),"3,906","(+/-1,069)","3,735",(+/-866),"2,096",(+/-643),"3,714",(+/-871),"3,156",(+/-826)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",548,(+/-21),397,(+/-12),371,(+/-10),411,(+/-16),360,(+/-14),414,(+/-14),395,(+/-10)
Housing,"Gross Rent","Occupied units paying rent","66,625","(+/-4,992)","68,839","(+/-4,759)","70,374","(+/-4,764)","89,808","(+/-5,330)","64,831","(+/-3,619)","113,125","(+/-5,503)","73,141","(+/-4,688)"
Housing,"Gross Rent","Less than $500","1,270",(+/-684),"3,076","(+/-1,072)","9,462","(+/-1,946)","4,735","(+/-1,304)","4,475","(+/-1,069)","9,733","(+/-2,176)","7,613","(+/-1,607)"
Housing,"Gross Rent","$500 to $999","10,476","(+/-2,246)","26,384","(+/-3,358)","37,180","(+/-3,652)","31,356","(+/-3,232)","24,344","(+/-2,610)","36,662","(+/-3,838)","32,487","(+/-3,287)"
Housing,"Gross Rent","$1,000 to $1,499","20,378","(+/-3,042)","26,584","(+/-3,017)","17,703","(+/-2,305)","37,430","(+/-3,864)","22,249","(+/-2,774)","41,202","(+/-3,829)","21,531","(+/-3,004)"
Housing,"Gross Rent","$1,500 to $1,999","19,558","(+/-2,707)","9,644","(+/-2,006)","3,415",(+/-951),"12,126","(+/-2,236)","10,799","(+/-1,884)","17,743","(+/-2,863)","8,307","(+/-1,917)"
Housing,"Gross Rent","$2,000 to $2,499","7,322","(+/-1,858)","1,580",(+/-660),"2,138","(+/-1,143)","2,195","(+/-1,075)","1,570",(+/-833),"4,445","(+/-1,168)","1,826",(+/-877)
Housing,"Gross Rent","$2,500 to $2,999","3,058","(+/-1,193)",188,(+/-206),84,(+/-163),799,(+/-460),614,(+/-622),"1,348",(+/-486),698,(+/-491)
Housing,"Gross Rent","$3,000 or more","4,563","(+/-1,838)","1,383",(+/-681),392,(+/-255),"1,167",(+/-597),780,(+/-544),"1,992",(+/-811),679,(+/-505)
Housing,"Gross Rent","Median (dollars)","1,530",(+/-72),"1,083",(+/-40),845,(+/-27),"1,095",(+/-31),"1,076",(+/-46),"1,125",(+/-41),945,(+/-43)
Housing,"Gross Rent","No rent paid","5,151","(+/-1,543)","5,042","(+/-1,289)","8,957","(+/-1,796)","3,879",(+/-980),"5,996","(+/-1,284)","9,829","(+/-1,712)","11,933","(+/-1,952)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","307,810","(+/-5,133)","301,013","(+/-5,159)","302,371","(+/-3,893)","304,004","(+/-4,673)","296,809","(+/-4,247)","306,808","(+/-6,053)","317,265","(+/-5,199)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","12,079","(+/-2,257)","15,949","(+/-2,454)","21,520","(+/-2,827)","16,224","(+/-2,242)","15,034","(+/-2,018)","28,176","(+/-3,560)","21,940","(+/-2,749)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","8,081","(+/-2,027)","10,933","(+/-2,107)","15,589","(+/-2,372)","9,781","(+/-1,690)","12,621","(+/-1,989)","17,837","(+/-2,111)","15,800","(+/-2,450)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","14,546","(+/-2,098)","17,810","(+/-2,494)","29,291","(+/-3,468)","20,668","(+/-2,824)","20,926","(+/-2,206)","30,585","(+/-3,176)","31,929","(+/-3,154)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$25,000 to $34,999","17,589","(+/-2,759)","23,663","(+/-3,132)","29,288","(+/-3,455)","27,585","(+/-3,292)","26,480","(+/-2,716)","29,623","(+/-3,401)","33,441","(+/-2,782)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$35,000 to $49,999","27,499","(+/-3,191)","37,836","(+/-3,449)","40,404","(+/-3,198)","38,188","(+/-3,788)","35,071","(+/-3,841)","42,883","(+/-3,613)","46,376","(+/-3,174)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$50,000 to $74,999","51,353","(+/-4,594)","52,773","(+/-3,596)","50,211","(+/-3,813)","58,965","(+/-3,957)","53,566","(+/-4,072)","52,910","(+/-3,685)","51,243","(+/-3,912)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$75,000 to $99,999","47,816","(+/-4,617)","45,507","(+/-3,848)","39,322","(+/-3,542)","41,456","(+/-3,581)","39,976","(+/-3,189)","34,658","(+/-3,489)","38,866","(+/-3,420)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$100,000 to $149,999","59,828","(+/-4,641)","48,561","(+/-3,890)","43,452","(+/-3,409)","47,983","(+/-3,392)","49,645","(+/-3,910)","38,946","(+/-3,330)","43,983","(+/-3,357)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$150,000 to $199,000","28,482","(+/-3,126)","23,364","(+/-2,703)","16,687","(+/-2,551)","19,937","(+/-2,365)","21,815","(+/-2,798)","13,954","(+/-2,379)","17,124","(+/-2,137)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$200,000 or more","40,537","(+/-3,175)","24,617","(+/-2,809)","16,607","(+/-2,157)","23,217","(+/-2,598)","21,675","(+/-2,236)","17,236","(+/-2,167)","16,563","(+/-2,088)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Median household income (dollars)","85,282","(+/-3,446)","71,562","(+/-2,535)","56,693","(+/-2,903)","64,879","(+/-2,355)","66,451","(+/-1,807)","51,364","(+/-1,478)","53,313","(+/-1,791)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Mean household income (dollars)","119,673","(+/-4,293)","92,022","(+/-2,690)","78,804","(+/-3,132)","91,252","(+/-3,674)","88,431","(+/-2,524)","74,244","(+/-2,300)","76,744","(+/-2,402)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","739,391","(+/-9,498)","735,986","(+/-10,037)","742,112","(+/-7,630)","747,214","(+/-10,917)","747,042","(+/-8,214)","719,590","(+/-14,272)","754,154","(+/-2,772)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","687,087","(+/-9,876)","673,590","(+/-9,672)","675,343","(+/-9,984)","670,874","(+/-11,588)","689,861","(+/-8,097)","646,695","(+/-14,066)","671,559","(+/-7,214)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","549,980","(+/-10,806)","515,935","(+/-11,757)","480,163","(+/-11,866)","506,753","(+/-14,363)","523,041","(+/-11,476)","442,326","(+/-12,885)","451,446","(+/-11,140)"
Socioeconomic,"Health Insurance Coverage","With public coverage","262,392","(+/-7,571)","272,210","(+/-7,937)","298,985","(+/-7,710)","252,198","(+/-9,488)","276,471","(+/-9,827)","297,828","(+/-11,080)","344,476","(+/-8,371)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","52,304","(+/-5,421)","62,396","(+/-5,488)","66,769","(+/-6,386)","76,340","(+/-7,597)","57,181","(+/-4,673)","72,895","(+/-7,490)","82,595","(+/-7,041)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","168,662","(+/-4,804)","175,100","(+/-4,910)","172,717","(+/-5,036)","176,203","(+/-5,769)","180,656","(+/-4,811)","160,115","(+/-7,336)","156,693","(+/-2,076)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","8,029","(+/-2,265)","6,687","(+/-1,695)","10,139","(+/-2,607)","8,601","(+/-2,329)","6,880","(+/-1,566)","7,940","(+/-2,443)","7,928","(+/-2,349)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",5.8,(+/-1.2),8.7,(+/-1.3),11.6,(+/-1.4),8.7,(+/-1.1),8.4,(+/-1.2),14.9,(+/-1.6),12.9,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",9.3,(+/-2.4),13.7,(+/-2.2),19.6,(+/-2.8),13.3,(+/-2.2),13.1,(+/-2.2),23.4,(+/-3.4),25.6,(+/-3.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",9.7,(+/-6.2),7.9,(+/-3.7),25.3,(+/-9.0),10.0,(+/-3.9),13.4,(+/-5.1),22.2,(+/-7.5),33.0,(+/-9.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.9,(+/-1.2),3.5,(+/-0.9),5.7,(+/-1.2),4.2,(+/-0.9),4.5,(+/-1.0),6.3,(+/-1.3),4.8,(+/-1.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.5,(+/-2.1),4.1,(+/-1.5),9.3,(+/-2.7),4.3,(+/-1.4),5.2,(+/-1.6),8.8,(+/-2.9),9.1,(+/-2.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.8,(+/-7.0),2.1,(+/-1.9),12.7,(+/-12.4),1.7,(+/-1.8),3.4,(+/-2.7),2.8,(+/-2.9),5.1,(+/-4.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",16.2,(+/-4.6),23.9,(+/-3.9),32.9,(+/-4.6),24.0,(+/-4.3),22.4,(+/-4.4),31.4,(+/-4.0),35.6,(+/-4.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",25.4,(+/-7.9),32.6,(+/-5.6),43.6,(+/-6.7),33.8,(+/-6.3),32.7,(+/-6.4),39.2,(+/-6.0),46.5,(+/-6.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",18.8,(+/-16.8),20.7,(+/-13.3),51.1,(+/-11.9),37.0,(+/-14.1),36.7,(+/-15.7),43.9,(+/-14.1),64.9,(+/-14.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",8.3,(+/-1.1),12.2,(+/-1.3),16.9,(+/-1.3),11.4,(+/-1.1),11.4,(+/-1.2),20.3,(+/-1.3),17.6,(+/-1.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",11.8,(+/-2.7),17.6,(+/-2.7),23.0,(+/-3.2),14.9,(+/-2.4),15.0,(+/-2.6),25.3,(+/-3.5),28.9,(+/-3.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",11.4,(+/-2.7),17.5,(+/-2.7),22.5,(+/-3.2),14.9,(+/-2.4),14.8,(+/-2.6),24.9,(+/-3.5),28.5,(+/-3.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",10.6,(+/-3.8),20.9,(+/-4.4),28.8,(+/-5.6),14.5,(+/-4.2),13.3,(+/-3.2),21.8,(+/-5.1),36.5,(+/-6.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",11.7,(+/-2.9),16.4,(+/-2.9),20.6,(+/-3.4),15.0,(+/-2.6),15.2,(+/-2.9),26.1,(+/-3.7),25.9,(+/-3.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",7.4,(+/-0.9),10.6,(+/-1.1),15.2,(+/-1.1),10.4,(+/-0.9),10.4,(+/-1.1),19.0,(+/-1.2),14.8,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",6.4,(+/-1.3),10.1,(+/-1.6),10.6,(+/-1.7),11.2,(+/-1.5),9.9,(+/-1.5),15.4,(+/-1.7),10.6,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.4,(+/-1.2),9.6,(+/-1.3),12.8,(+/-1.5),9.2,(+/-1.2),8.6,(+/-1.3),16.1,(+/-1.7),15.2,(+/-1.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",17.3,(+/-2.2),24.6,(+/-2.4),35.2,(+/-3.1),20.9,(+/-2.0),25.8,(+/-2.5),31.3,(+/-2.5),27.3,(+/-2.4)
Education,"School Enrollment","Population 3 years and over enrolled in school","162,062","(+/-6,093)","176,209","(+/-6,138)","180,601","(+/-5,127)","173,458","(+/-6,021)","170,833","(+/-5,806)","179,559","(+/-8,051)","153,693","(+/-4,306)"
Education,"School Enrollment","Nursery school, preschool","9,088","(+/-1,645)","9,386","(+/-1,632)","6,861","(+/-1,388)","9,506","(+/-1,926)","8,788","(+/-1,703)","8,126","(+/-1,715)","7,751","(+/-1,582)"
Education,"School Enrollment",Kindergarten,"8,650","(+/-2,079)","9,977","(+/-1,599)","10,376","(+/-1,655)","12,180","(+/-1,868)","12,016","(+/-1,939)","8,000","(+/-1,586)","8,696","(+/-1,974)"
Education,"School Enrollment","Elementary school (grades 1-8)","71,539","(+/-3,747)","79,435","(+/-3,770)","74,885","(+/-3,791)","70,422","(+/-3,739)","75,812","(+/-3,662)","59,626","(+/-4,686)","65,545","(+/-3,101)"
Education,"School Enrollment","High school (grades 9-12)","38,407","(+/-2,465)","39,408","(+/-3,016)","37,026","(+/-2,408)","40,369","(+/-2,934)","39,744","(+/-2,413)","36,166","(+/-3,859)","35,922","(+/-2,455)"
Education,"School Enrollment","College or graduate school","34,378","(+/-4,179)","38,003","(+/-3,820)","51,453","(+/-3,069)","40,981","(+/-3,173)","34,473","(+/-3,525)","67,641","(+/-4,908)","35,779","(+/-3,446)"
Education,"Educational Attainment","Population 25 years and over","535,451","(+/-5,959)","517,566","(+/-5,854)","516,563","(+/-5,239)","517,378","(+/-6,915)","524,919","(+/-5,520)","503,013","(+/-8,875)","550,032","(+/-3,467)"
Education,"Educational Attainment","Less than 9th grade","10,541","(+/-2,249)","12,184","(+/-2,024)","16,929","(+/-2,138)","15,777","(+/-2,416)","16,189","(+/-2,628)","16,276","(+/-2,221)","14,217","(+/-2,174)"
Education,"Educational Attainment","9th to 12th grade, no diploma","22,626","(+/-3,115)","28,683","(+/-3,531)","46,432","(+/-4,170)","35,120","(+/-3,563)","34,801","(+/-3,091)","40,500","(+/-4,168)","38,729","(+/-3,724)"
Education,"Educational Attainment","High school graduate (includes equivalency)","108,472","(+/-6,067)","126,509","(+/-6,445)","165,519","(+/-7,903)","127,899","(+/-6,443)","154,450","(+/-6,959)","146,652","(+/-6,551)","186,241","(+/-6,135)"
Education,"Educational Attainment","Some college, no degree","109,750","(+/-7,140)","105,939","(+/-6,212)","95,543","(+/-5,429)","99,509","(+/-6,098)","107,741","(+/-5,441)","104,731","(+/-5,656)","113,610","(+/-5,961)"
Education,"Educational Attainment","Associate's degree","52,360","(+/-4,274)","52,520","(+/-4,653)","56,100","(+/-3,721)","48,969","(+/-4,126)","51,808","(+/-3,350)","48,066","(+/-4,176)","59,027","(+/-3,985)"
Education,"Educational Attainment","Bachelor's degree","138,909","(+/-5,837)","111,017","(+/-4,728)","81,310","(+/-4,595)","117,655","(+/-5,996)","98,392","(+/-6,106)","89,609","(+/-5,501)","88,577","(+/-4,607)"
Education,"Educational Attainment","Graduate or professional degree","92,793","(+/-6,064)","80,714","(+/-5,007)","54,730","(+/-3,900)","72,449","(+/-5,167)","61,538","(+/-4,664)","57,179","(+/-4,404)","49,631","(+/-4,195)"
