Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE"
People,"Veteran Status","Civilian veterans","93,210","(+/-4,426)","55,537","(+/-3,385)","52,145","(+/-4,196)","73,144","(+/-4,571)","57,523","(+/-5,619)","67,639","(+/-4,133)","47,791","(+/-3,281)","78,072","(+/-4,322)","38,385","(+/-5,242)","32,359","(+/-2,825)","53,148","(+/-5,150)","68,070","(+/-4,777)","52,639","(+/-2,920)","40,134","(+/-3,399)","47,881","(+/-3,918)","62,096","(+/-4,413)","65,287","(+/-3,414)","50,151","(+/-3,699)","53,920","(+/-3,980)","25,685","(+/-3,141)","56,119","(+/-4,375)","32,325","(+/-3,190)","30,772","(+/-3,158)","16,283","(+/-2,354)","22,766","(+/-2,913)","17,712","(+/-2,544)","13,221","(+/-2,090)","18,661","(+/-2,521)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","742,300","(+/-4,472)","751,745","(+/-4,570)","761,071","(+/-9,150)","785,556","(+/-16,221)","785,338","(+/-17,070)","802,654","(+/-16,339)","782,681","(+/-7,690)","792,800","(+/-2,570)","817,621","(+/-18,801)","756,646","(+/-20,859)","809,175","(+/-17,772)","797,933","(+/-9,526)","752,536","(+/-6,331)","774,660","(+/-17,698)","809,805","(+/-21,192)","817,065","(+/-15,952)","829,395","(+/-9,732)","818,193","(+/-12,775)","794,468","(+/-12,010)","760,185","(+/-16,999)","800,642","(+/-10,377)","777,537","(+/-14,781)","761,148","(+/-15,210)","787,700","(+/-18,655)","764,271","(+/-11,663)","789,718","(+/-15,663)","750,383","(+/-19,012)","731,021","(+/-18,628)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","116,873","(+/-6,570)","126,031","(+/-6,677)","122,838","(+/-7,207)","119,893","(+/-6,411)","87,092","(+/-5,618)","141,571","(+/-8,597)","114,198","(+/-7,292)","128,370","(+/-6,938)","105,194","(+/-7,291)","91,819","(+/-5,249)","105,998","(+/-7,786)","142,934","(+/-7,109)","119,815","(+/-6,848)","101,058","(+/-6,722)","109,585","(+/-6,696)","116,359","(+/-6,606)","132,434","(+/-6,593)","119,646","(+/-6,358)","114,316","(+/-6,568)","95,846","(+/-6,786)","109,387","(+/-5,933)","104,427","(+/-5,971)","91,746","(+/-6,456)","80,395","(+/-5,411)","78,173","(+/-5,788)","87,814","(+/-5,947)","77,955","(+/-6,104)","73,961","(+/-4,909)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","168,175","(+/-2,177)","152,266","(+/-2,842)","153,610","(+/-4,438)","189,460","(+/-7,493)","164,773","(+/-7,716)","138,394","(+/-6,797)","150,887","(+/-4,342)","138,494",(+/-918),"178,630","(+/-8,049)","148,618","(+/-9,566)","165,858","(+/-8,795)","150,567","(+/-4,355)","115,300","(+/-4,781)","145,144","(+/-8,685)","174,512","(+/-11,152)","166,748","(+/-7,887)","125,832","(+/-5,200)","180,856","(+/-6,083)","116,185","(+/-5,731)","168,581","(+/-8,928)","147,161","(+/-4,830)","139,219","(+/-7,677)","151,958","(+/-8,790)","165,978","(+/-8,582)","152,630","(+/-6,317)","159,488","(+/-6,865)","131,160","(+/-7,884)","149,933","(+/-8,501)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","11,004","(+/-2,140)","10,243","(+/-1,717)","10,702","(+/-2,077)","11,986","(+/-2,484)","5,471","(+/-1,297)","7,328","(+/-2,049)","8,342","(+/-1,784)","6,889","(+/-1,649)","10,291","(+/-2,952)","5,339","(+/-1,639)","7,714","(+/-2,146)","6,662","(+/-1,800)","6,593","(+/-2,256)","7,198","(+/-2,215)","8,701","(+/-1,862)","10,490","(+/-2,058)","6,980","(+/-1,581)","8,397","(+/-1,474)","5,443","(+/-2,022)","9,163","(+/-2,508)","6,489","(+/-1,891)","5,191","(+/-1,457)","7,669","(+/-2,099)","3,621","(+/-1,156)","6,841","(+/-1,595)","6,979","(+/-1,696)","3,154","(+/-1,132)","5,801","(+/-1,434)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","440,520","(+/-4,181)","464,801","(+/-3,429)","441,497","(+/-7,179)","467,600","(+/-10,156)","483,971","(+/-10,390)","442,648","(+/-11,819)","476,060","(+/-5,148)","441,715","(+/-2,580)","523,533","(+/-12,943)","513,550","(+/-14,357)","434,597","(+/-11,178)","440,169","(+/-7,041)","428,693","(+/-5,948)","503,204","(+/-12,572)","502,285","(+/-13,045)","464,119","(+/-10,829)","419,504","(+/-6,061)","464,760","(+/-9,340)","403,762","(+/-7,065)","457,808","(+/-13,037)","439,091","(+/-7,634)","431,120","(+/-10,069)","448,215","(+/-12,189)","493,663","(+/-14,367)","482,636","(+/-9,807)","481,751","(+/-11,765)","477,462","(+/-14,381)","454,064","(+/-12,825)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","58,825","(+/-4,517)","67,352","(+/-5,195)","55,917","(+/-4,958)","65,023","(+/-5,289)","43,999","(+/-4,468)","61,182","(+/-5,950)","54,968","(+/-5,217)","51,941","(+/-4,078)","50,121","(+/-4,585)","54,390","(+/-4,044)","38,701","(+/-3,898)","65,838","(+/-5,216)","50,462","(+/-4,512)","49,490","(+/-4,811)","55,457","(+/-5,594)","51,295","(+/-5,324)","44,410","(+/-4,069)","54,875","(+/-4,800)","40,756","(+/-5,311)","40,980","(+/-3,953)","41,566","(+/-4,401)","36,080","(+/-3,829)","35,189","(+/-4,182)","37,600","(+/-4,248)","32,001","(+/-3,811)","33,162","(+/-3,623)","29,698","(+/-3,847)","30,967","(+/-3,283)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","133,605","(+/-1,699)","134,678","(+/-1,830)","165,964","(+/-3,405)","128,496","(+/-4,252)","136,594","(+/-4,384)","221,612","(+/-6,660)","155,734","(+/-3,480)","212,591",(+/-871),"115,458","(+/-4,769)","94,478","(+/-4,871)","208,720","(+/-6,111)","207,197","(+/-3,375)","208,543","(+/-3,369)","126,312","(+/-5,236)","133,008","(+/-5,512)","186,198","(+/-3,860)","284,059","(+/-3,088)","172,577","(+/-4,065)","274,521","(+/-4,768)","133,796","(+/-7,311)","214,390","(+/-4,364)","207,198","(+/-5,247)","160,975","(+/-8,566)","128,059","(+/-5,385)","129,005","(+/-7,320)","148,479","(+/-5,855)","141,761","(+/-6,333)","127,024","(+/-5,440)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","47,044","(+/-2,745)","48,436","(+/-3,105)","56,219","(+/-3,896)","42,884","(+/-2,936)","37,622","(+/-2,830)","73,061","(+/-5,091)","50,888","(+/-4,107)","69,540","(+/-4,232)","44,782","(+/-3,709)","32,090","(+/-2,991)","59,583","(+/-5,268)","70,434","(+/-4,298)","62,760","(+/-3,565)","44,370","(+/-3,767)","45,427","(+/-3,251)","54,574","(+/-3,827)","81,044","(+/-4,100)","56,374","(+/-3,282)","68,117","(+/-3,554)","45,703","(+/-4,319)","61,332","(+/-3,347)","63,156","(+/-4,395)","48,888","(+/-4,128)","39,174","(+/-3,389)","39,331","(+/-3,949)","47,673","(+/-3,716)","45,103","(+/-4,028)","37,193","(+/-3,411)"
People,"Residence 1 Year Ago","Population 1 year and over","781,104","(+/-4,311)","782,294","(+/-4,543)","788,082","(+/-9,235)","792,750","(+/-15,904)","793,029","(+/-16,976)","805,103","(+/-16,127)","781,902","(+/-7,710)","795,501","(+/-2,374)","815,590","(+/-18,441)","758,004","(+/-20,323)","814,412","(+/-17,402)","799,618","(+/-9,702)","758,225","(+/-6,139)","776,008","(+/-17,616)","810,327","(+/-21,053)","817,270","(+/-15,746)","834,620","(+/-9,728)","826,650","(+/-12,682)","793,583","(+/-11,896)","761,595","(+/-16,949)","800,459","(+/-10,156)","778,975","(+/-14,727)","759,956","(+/-15,233)","784,095","(+/-18,611)","762,164","(+/-12,128)","789,882","(+/-15,711)","748,391","(+/-19,001)","734,311","(+/-18,601)"
People,"Residence 1 Year Ago","Same house","650,111","(+/-8,907)","653,064","(+/-8,483)","655,618","(+/-14,508)","679,454","(+/-15,920)","674,474","(+/-17,201)","707,907","(+/-18,359)","681,331","(+/-13,887)","698,720","(+/-9,131)","702,249","(+/-23,428)","618,869","(+/-18,832)","720,580","(+/-20,509)","701,576","(+/-12,430)","652,780","(+/-9,229)","654,621","(+/-17,635)","694,086","(+/-22,149)","693,041","(+/-17,124)","723,382","(+/-12,058)","702,126","(+/-16,742)","685,638","(+/-13,934)","666,092","(+/-16,606)","716,236","(+/-13,434)","680,009","(+/-15,406)","643,558","(+/-16,410)","684,560","(+/-18,625)","677,830","(+/-15,550)","692,314","(+/-16,509)","651,678","(+/-18,404)","667,239","(+/-18,593)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","130,993","(+/-9,279)","129,230","(+/-7,476)","132,464","(+/-9,929)","113,296","(+/-11,181)","118,555","(+/-9,388)","97,196","(+/-8,750)","100,571","(+/-11,820)","96,781","(+/-8,756)","113,341","(+/-12,245)","139,135","(+/-12,972)","93,832","(+/-9,192)","98,042","(+/-8,110)","105,445","(+/-8,161)","121,387","(+/-8,137)","116,241","(+/-9,165)","124,229","(+/-11,538)","111,238","(+/-9,378)","124,524","(+/-11,526)","107,945","(+/-9,073)","95,503","(+/-9,674)","84,223","(+/-9,841)","98,966","(+/-8,653)","116,398","(+/-9,923)","99,535","(+/-10,161)","84,334","(+/-9,248)","97,568","(+/-8,171)","96,713","(+/-7,819)","67,072","(+/-7,610)"
People,"Residence 1 Year Ago","Different house in the U.S.","124,665","(+/-8,911)","126,392","(+/-7,594)","128,620","(+/-9,980)","110,681","(+/-10,931)","109,800","(+/-9,510)","93,600","(+/-8,520)","96,256","(+/-11,706)","91,622","(+/-8,187)","96,481","(+/-10,956)","127,331","(+/-11,343)","85,756","(+/-8,601)","94,171","(+/-7,870)","97,676","(+/-8,379)","110,241","(+/-8,371)","106,750","(+/-8,932)","115,346","(+/-11,408)","105,057","(+/-8,957)","114,284","(+/-10,967)","98,048","(+/-8,393)","85,456","(+/-9,547)","80,769","(+/-9,869)","88,727","(+/-8,557)","106,901","(+/-9,436)","79,776","(+/-9,094)","69,388","(+/-8,451)","73,707","(+/-6,696)","76,914","(+/-7,859)","53,312","(+/-6,945)"
People,"Residence 1 Year Ago","Same county","52,015","(+/-6,266)","53,425","(+/-6,149)","57,494","(+/-6,715)","57,460","(+/-8,765)","51,798","(+/-7,179)","39,525","(+/-6,306)","41,642","(+/-8,379)","43,561","(+/-5,893)","35,664","(+/-6,094)","64,861","(+/-9,619)","30,176","(+/-5,018)","31,184","(+/-5,552)","49,652","(+/-6,814)","55,881","(+/-6,985)","49,157","(+/-5,874)","52,645","(+/-8,728)","37,477","(+/-5,287)","51,081","(+/-7,371)","41,019","(+/-6,477)","57,617","(+/-8,084)","30,678","(+/-5,410)","54,382","(+/-8,360)","58,934","(+/-8,020)","51,197","(+/-6,973)","42,205","(+/-6,152)","50,455","(+/-6,310)","55,599","(+/-7,469)","39,132","(+/-6,501)"
People,"Residence 1 Year Ago","Different county","72,650","(+/-7,529)","72,967","(+/-6,576)","71,126","(+/-6,893)","53,221","(+/-8,594)","58,002","(+/-6,538)","54,075","(+/-6,359)","54,614","(+/-7,949)","48,061","(+/-5,519)","60,817","(+/-9,583)","62,470","(+/-7,222)","55,580","(+/-6,202)","62,987","(+/-6,777)","48,024","(+/-5,113)","54,360","(+/-6,374)","57,593","(+/-6,733)","62,701","(+/-7,661)","67,580","(+/-7,492)","63,203","(+/-7,375)","57,029","(+/-6,205)","27,839","(+/-6,374)","50,091","(+/-6,486)","34,345","(+/-5,129)","47,967","(+/-7,450)","28,579","(+/-4,849)","27,183","(+/-5,064)","23,252","(+/-3,615)","21,315","(+/-3,029)","14,180","(+/-3,047)"
People,"Residence 1 Year Ago","Same state","27,229","(+/-4,625)","45,265","(+/-4,252)","50,846","(+/-4,706)","27,623","(+/-4,965)","22,753","(+/-3,660)","24,320","(+/-3,909)","30,349","(+/-5,593)","19,560","(+/-3,430)","33,566","(+/-6,924)","37,138","(+/-5,668)","26,346","(+/-4,780)","33,467","(+/-5,149)","16,405","(+/-2,594)","26,277","(+/-4,267)","29,180","(+/-5,157)","18,504","(+/-2,924)","27,123","(+/-5,099)","33,612","(+/-4,521)","16,075","(+/-3,394)","15,196","(+/-5,033)","27,851","(+/-4,983)","13,922","(+/-3,547)","19,354","(+/-3,727)","13,535","(+/-3,125)","17,129","(+/-4,237)","7,853","(+/-2,231)","6,133","(+/-1,452)","6,231","(+/-1,384)"
People,"Residence 1 Year Ago","Different state","45,421","(+/-6,176)","27,702","(+/-5,187)","20,280","(+/-4,294)","25,598","(+/-6,389)","35,249","(+/-6,476)","29,755","(+/-5,237)","24,265","(+/-6,166)","28,501","(+/-4,195)","27,251","(+/-6,606)","25,332","(+/-4,264)","29,234","(+/-4,615)","29,520","(+/-5,237)","31,619","(+/-4,274)","28,083","(+/-4,284)","28,413","(+/-4,923)","44,197","(+/-6,945)","40,457","(+/-5,333)","29,591","(+/-6,202)","40,954","(+/-5,158)","12,643","(+/-3,706)","22,240","(+/-3,973)","20,423","(+/-3,803)","28,613","(+/-6,409)","15,044","(+/-3,441)","10,054","(+/-2,649)","15,399","(+/-3,059)","15,182","(+/-2,448)","7,949","(+/-2,684)"
People,"Residence 1 Year Ago",Abroad,"6,328","(+/-2,022)","2,838","(+/-1,125)","3,844","(+/-1,457)","2,615","(+/-1,177)","8,755","(+/-3,053)","3,596","(+/-1,383)","4,315","(+/-1,901)","5,159","(+/-2,030)","16,860","(+/-5,612)","11,804","(+/-3,860)","8,076","(+/-3,099)","3,871","(+/-1,532)","7,769","(+/-2,750)","11,146","(+/-3,134)","9,491","(+/-1,928)","8,883","(+/-3,231)","6,181","(+/-2,486)","10,240","(+/-4,442)","9,897","(+/-2,521)","10,047","(+/-2,969)","3,454","(+/-1,189)","10,239","(+/-3,125)","9,497","(+/-2,418)","19,759","(+/-3,515)","14,946","(+/-3,657)","23,861","(+/-3,978)","19,799","(+/-4,059)","13,760","(+/-2,925)"
Workers,"Employment Status","Population 16 years and over","640,541","(+/-3,283)","656,725","(+/-3,988)","657,733","(+/-7,202)","634,982","(+/-12,208)","655,440","(+/-12,428)","689,528","(+/-14,487)","655,716","(+/-6,617)","680,807","(+/-2,439)","663,082","(+/-13,730)","637,331","(+/-15,436)","676,256","(+/-13,708)","673,022","(+/-7,892)","660,048","(+/-6,233)","652,646","(+/-14,444)","665,840","(+/-14,970)","678,297","(+/-12,730)","730,804","(+/-6,947)","675,955","(+/-10,641)","699,469","(+/-9,645)","619,182","(+/-14,191)","680,130","(+/-8,396)","660,649","(+/-10,747)","631,808","(+/-12,998)","642,388","(+/-16,146)","636,949","(+/-10,887)","656,304","(+/-13,442)","639,331","(+/-15,623)","608,090","(+/-13,925)"
Workers,"Employment Status","In labor force","403,083","(+/-6,874)","378,318","(+/-6,656)","341,060","(+/-9,548)","403,717","(+/-10,728)","433,648","(+/-9,682)","352,406","(+/-11,140)","414,998","(+/-6,748)","378,648","(+/-6,827)","441,695","(+/-12,451)","422,035","(+/-14,420)","363,218","(+/-11,549)","349,805","(+/-7,760)","373,180","(+/-8,361)","432,828","(+/-11,866)","419,788","(+/-12,862)","401,905","(+/-10,136)","358,431","(+/-8,150)","370,848","(+/-10,143)","349,998","(+/-8,636)","406,958","(+/-12,380)","378,350","(+/-9,729)","391,212","(+/-10,604)","407,894","(+/-11,614)","410,763","(+/-12,581)","414,839","(+/-9,590)","413,210","(+/-11,597)","412,032","(+/-12,805)","380,681","(+/-12,211)"
Workers,"Employment Status","Civilian labor force","370,304","(+/-6,853)","374,793","(+/-6,616)","340,115","(+/-9,532)","394,964","(+/-10,819)","422,021","(+/-10,102)","352,238","(+/-11,130)","413,389","(+/-6,799)","374,974","(+/-6,873)","440,145","(+/-12,575)","421,722","(+/-14,408)","363,130","(+/-11,568)","348,455","(+/-7,730)","372,445","(+/-8,392)","429,795","(+/-11,892)","418,519","(+/-12,771)","399,246","(+/-10,052)","357,448","(+/-8,217)","370,252","(+/-10,196)","349,606","(+/-8,631)","406,487","(+/-12,389)","377,954","(+/-9,718)","391,108","(+/-10,587)","407,032","(+/-11,476)","410,607","(+/-12,584)","413,856","(+/-9,487)","413,120","(+/-11,607)","411,972","(+/-12,811)","378,394","(+/-12,204)"
Workers,"Employment Status",Employed,"355,679","(+/-6,715)","358,668","(+/-6,871)","324,431","(+/-9,907)","377,275","(+/-10,549)","409,793","(+/-10,570)","337,628","(+/-11,214)","398,857","(+/-7,045)","359,099","(+/-7,129)","424,975","(+/-11,610)","403,543","(+/-14,133)","350,153","(+/-11,924)","332,613","(+/-7,506)","357,881","(+/-7,891)","411,789","(+/-11,636)","400,128","(+/-12,642)","385,133","(+/-10,027)","342,980","(+/-8,085)","354,939","(+/-10,142)","337,305","(+/-8,977)","382,330","(+/-11,939)","361,686","(+/-10,689)","374,610","(+/-10,432)","391,978","(+/-11,661)","391,838","(+/-12,151)","396,070","(+/-9,410)","399,335","(+/-11,089)","400,408","(+/-12,244)","368,092","(+/-12,165)"
Workers,"Employment Status",Unemployed,"14,625","(+/-2,512)","16,125","(+/-2,492)","15,684","(+/-2,835)","17,689","(+/-4,125)","12,228","(+/-2,362)","14,610","(+/-2,843)","14,532","(+/-2,080)","15,875","(+/-2,445)","15,170","(+/-3,293)","18,179","(+/-3,031)","12,977","(+/-2,496)","15,842","(+/-2,313)","14,564","(+/-2,522)","18,006","(+/-2,580)","18,391","(+/-3,047)","14,113","(+/-2,606)","14,468","(+/-2,666)","15,313","(+/-2,626)","12,301","(+/-2,841)","24,157","(+/-3,439)","16,268","(+/-3,799)","16,498","(+/-3,118)","15,054","(+/-3,058)","18,769","(+/-2,776)","17,786","(+/-3,411)","13,785","(+/-2,417)","11,564","(+/-2,115)","10,302","(+/-2,023)"
Workers,"Employment Status","Armed Forces","32,779","(+/-3,446)","3,525","(+/-1,254)",945,(+/-744),"8,753","(+/-2,017)","11,627","(+/-2,545)",168,(+/-238),"1,609",(+/-965),"3,674","(+/-1,351)","1,550","(+/-1,436)",313,(+/-365),88,(+/-148),"1,350",(+/-789),735,(+/-414),"3,033","(+/-1,048)","1,269",(+/-991),"2,659","(+/-1,056)",983,(+/-605),596,(+/-794),392,(+/-387),471,(+/-314),396,(+/-373),104,(+/-121),862,(+/-691),156,(+/-181),983,(+/-739),90,(+/-151),60,(+/-100),"2,287","(+/-1,125)"
Workers,"Employment Status","Not in labor force","237,458","(+/-6,483)","278,407","(+/-7,213)","316,673","(+/-8,384)","231,265","(+/-7,700)","221,792","(+/-9,416)","337,122","(+/-10,832)","240,718","(+/-6,930)","302,159","(+/-6,737)","221,387","(+/-9,998)","215,296","(+/-9,941)","313,038","(+/-9,952)","323,217","(+/-7,522)","286,868","(+/-7,549)","219,818","(+/-8,987)","246,052","(+/-9,501)","276,392","(+/-9,596)","372,373","(+/-7,516)","305,107","(+/-8,605)","349,471","(+/-7,769)","212,224","(+/-9,704)","301,780","(+/-8,571)","269,437","(+/-6,936)","223,914","(+/-8,873)","231,625","(+/-9,302)","222,110","(+/-9,514)","243,094","(+/-7,789)","227,299","(+/-9,541)","227,409","(+/-8,632)"
Workers,"Employment Status","Civilian labor force","370,304","(+/-6,853)","374,793","(+/-6,616)","340,115","(+/-9,532)","394,964","(+/-10,819)","422,021","(+/-10,102)","352,238","(+/-11,130)","413,389","(+/-6,799)","374,974","(+/-6,873)","440,145","(+/-12,575)","421,722","(+/-14,408)","363,130","(+/-11,568)","348,455","(+/-7,730)","372,445","(+/-8,392)","429,795","(+/-11,892)","418,519","(+/-12,771)","399,246","(+/-10,052)","357,448","(+/-8,217)","370,252","(+/-10,196)","349,606","(+/-8,631)","406,487","(+/-12,389)","377,954","(+/-9,718)","391,108","(+/-10,587)","407,032","(+/-11,476)","410,607","(+/-12,584)","413,856","(+/-9,487)","413,120","(+/-11,607)","411,972","(+/-12,811)","378,394","(+/-12,204)"
Workers,"Employment Status","Unemployment Rate",3.9,(+/-0.7),4.3,(+/-0.7),4.6,(+/-0.8),4.5,(+/-1.0),2.9,(+/-0.6),4.1,(+/-0.8),3.5,(+/-0.5),4.2,(+/-0.7),3.4,(+/-0.7),4.3,(+/-0.7),3.6,(+/-0.7),4.5,(+/-0.6),3.9,(+/-0.7),4.2,(+/-0.6),4.4,(+/-0.7),3.5,(+/-0.6),4.0,(+/-0.7),4.1,(+/-0.7),3.5,(+/-0.8),5.9,(+/-0.8),4.3,(+/-1.0),4.2,(+/-0.8),3.7,(+/-0.8),4.6,(+/-0.7),4.3,(+/-0.8),3.3,(+/-0.6),2.8,(+/-0.5),2.7,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","381,911","(+/-7,279)","356,616","(+/-6,744)","319,782","(+/-9,802)","377,647","(+/-10,447)","413,329","(+/-10,529)","331,562","(+/-10,987)","393,303","(+/-7,353)","356,486","(+/-7,293)","418,658","(+/-11,777)","397,132","(+/-14,231)","344,693","(+/-11,540)","328,753","(+/-7,535)","351,669","(+/-7,733)","409,119","(+/-11,663)","394,438","(+/-12,700)","381,715","(+/-9,951)","336,800","(+/-8,099)","350,804","(+/-10,078)","329,781","(+/-9,295)","372,925","(+/-11,565)","356,181","(+/-10,424)","365,592","(+/-10,823)","384,387","(+/-11,637)","382,997","(+/-12,188)","387,877","(+/-9,324)","392,893","(+/-11,063)","393,972","(+/-11,949)","364,696","(+/-12,338)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","281,688","(+/-9,256)","268,757","(+/-7,546)","232,621","(+/-8,908)","272,717","(+/-9,382)","276,489","(+/-11,398)","243,768","(+/-10,849)","271,228","(+/-8,118)","254,484","(+/-8,107)","291,605","(+/-11,611)","261,153","(+/-11,089)","233,283","(+/-9,857)","231,663","(+/-7,356)","234,788","(+/-7,863)","266,724","(+/-11,631)","263,105","(+/-9,990)","260,277","(+/-10,410)","238,239","(+/-8,964)","267,716","(+/-9,795)","227,012","(+/-8,013)","270,109","(+/-10,201)","255,575","(+/-9,629)","255,984","(+/-9,358)","254,729","(+/-10,032)","251,592","(+/-11,791)","276,131","(+/-10,214)","271,953","(+/-8,909)","250,008","(+/-10,388)","269,892","(+/-10,589)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","32,718","(+/-4,374)","37,154","(+/-4,234)","27,144","(+/-4,228)","33,917","(+/-5,738)","31,321","(+/-3,905)","29,671","(+/-3,765)","31,426","(+/-4,351)","28,041","(+/-3,680)","45,772","(+/-5,425)","37,391","(+/-4,578)","28,158","(+/-4,963)","26,332","(+/-3,302)","24,205","(+/-3,495)","37,561","(+/-4,761)","36,740","(+/-4,283)","30,827","(+/-4,722)","31,382","(+/-3,721)","32,039","(+/-3,840)","34,200","(+/-4,065)","39,734","(+/-5,925)","31,677","(+/-3,580)","35,094","(+/-3,685)","33,433","(+/-4,490)","29,612","(+/-4,156)","36,886","(+/-5,303)","43,078","(+/-5,125)","31,188","(+/-3,833)","36,027","(+/-4,839)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","1,714",(+/-864),"2,934","(+/-1,459)","5,370","(+/-1,943)","2,659","(+/-1,096)","1,502",(+/-950),"1,014",(+/-493),"1,844","(+/-1,071)","2,899","(+/-2,074)","4,357","(+/-2,025)","8,163","(+/-2,172)",981,(+/-733),"1,050",(+/-517),"4,674","(+/-1,360)","3,757","(+/-1,502)","1,279",(+/-689),594,(+/-436),"1,690",(+/-920),"3,130","(+/-1,124)",963,(+/-763),"9,583","(+/-2,350)",826,(+/-382),"5,424","(+/-1,896)","4,751","(+/-1,774)","18,306","(+/-3,234)","5,727","(+/-1,586)","6,992","(+/-2,214)","16,282","(+/-2,842)","5,397","(+/-1,533)"
Workers,"Commuting to Work",Walked,"7,647","(+/-1,610)","6,894","(+/-1,723)","6,265","(+/-1,535)","5,010","(+/-1,308)","4,472","(+/-1,215)","3,492","(+/-1,051)","2,630",(+/-944),"4,047","(+/-1,433)","1,902",(+/-742),"8,760","(+/-1,868)","4,989","(+/-1,966)","2,704",(+/-899),"3,584","(+/-1,117)","6,542","(+/-1,615)","4,086","(+/-1,282)","4,195","(+/-1,253)","4,359","(+/-1,931)","4,679","(+/-1,282)","3,374","(+/-1,029)","4,632","(+/-1,245)","3,280","(+/-1,135)","3,631","(+/-1,186)","6,977","(+/-1,957)","8,567","(+/-2,024)","4,479","(+/-1,469)","5,156","(+/-1,613)","12,787","(+/-1,925)","2,868","(+/-1,011)"
Workers,"Commuting to Work","Other means","7,872","(+/-1,548)","5,085","(+/-1,126)","9,598","(+/-1,674)","7,388","(+/-2,081)","7,162","(+/-1,805)","4,484","(+/-1,307)","5,304","(+/-1,363)","9,385","(+/-2,414)","7,472","(+/-2,139)","9,076","(+/-1,856)","6,153","(+/-1,567)","7,547","(+/-2,348)","10,230","(+/-2,278)","8,850","(+/-1,732)","7,643","(+/-1,890)","9,019","(+/-2,373)","7,065","(+/-1,404)","7,666","(+/-2,257)","5,652","(+/-1,919)","10,460","(+/-2,594)","8,193","(+/-2,360)","12,087","(+/-2,684)","9,922","(+/-1,984)","17,372","(+/-2,609)","8,470","(+/-1,716)","8,771","(+/-2,158)","15,317","(+/-2,374)","9,693","(+/-1,794)"
Workers,"Commuting to Work","Worked from home","50,272","(+/-4,630)","35,792","(+/-4,139)","38,784","(+/-4,665)","55,956","(+/-5,548)","92,383","(+/-6,615)","49,133","(+/-4,984)","80,871","(+/-5,828)","57,630","(+/-4,674)","67,550","(+/-5,912)","72,589","(+/-5,821)","71,129","(+/-6,500)","59,457","(+/-4,944)","74,188","(+/-5,086)","85,685","(+/-5,623)","81,585","(+/-5,869)","76,803","(+/-7,008)","54,065","(+/-5,763)","35,574","(+/-4,054)","58,580","(+/-5,096)","38,407","(+/-4,545)","56,630","(+/-4,846)","53,372","(+/-5,471)","74,575","(+/-5,681)","57,548","(+/-4,553)","56,184","(+/-4,970)","56,943","(+/-6,039)","68,390","(+/-5,058)","40,819","(+/-4,247)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.3,(+/-0.8),25.3,(+/-0.8),25.7,(+/-1.0),27.0,(+/-0.7),24.3,(+/-0.7),27.0,(+/-1.0),27.6,(+/-0.8),25.9,(+/-0.9),31.8,(+/-0.9),26.5,(+/-0.8),29.2,(+/-1.1),29.5,(+/-0.9),26.6,(+/-1.1),25.5,(+/-0.8),29.5,(+/-0.8),30.4,(+/-1.0),27.0,(+/-0.8),29.0,(+/-1.0),27.0,(+/-1.0),29.0,(+/-1.0),28.2,(+/-0.8),27.4,(+/-0.8),27.6,(+/-0.9),30.9,(+/-0.7),29.3,(+/-0.9),28.8,(+/-0.6),29.1,(+/-0.9),32.4,(+/-0.9)
