Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Veteran Status","Civilian population 18 years and over","594,132","(+/-3,275)","607,998","(+/-7,891)","539,853","(+/-6,116)","609,538","(+/-1,400)","601,337","(+/-6,372)","590,852","(+/-5,672)","609,518","(+/-3,643)","587,570","(+/-4,973)","545,706","(+/-5,952)","607,777","(+/-3,757)","623,239","(+/-2,808)","587,360","(+/-10,759)","591,609","(+/-9,324)","598,417","(+/-10,858)"
People,"Veteran Status","Civilian veterans","46,028","(+/-3,045)","27,812","(+/-2,851)","69,346","(+/-4,260)","35,998","(+/-3,631)","35,052","(+/-3,003)","40,571","(+/-3,221)","61,603","(+/-4,347)","38,959","(+/-3,268)","65,006","(+/-4,137)","42,688","(+/-3,011)","48,503","(+/-3,361)","36,123","(+/-3,906)","42,559","(+/-3,336)","30,721","(+/-2,368)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","738,178","(+/-3,984)","776,505","(+/-11,144)","699,824","(+/-7,523)","748,629","(+/-2,579)","746,142","(+/-8,055)","745,373","(+/-7,379)","759,182","(+/-4,486)","750,797","(+/-7,120)","717,637","(+/-8,516)","759,708","(+/-6,111)","746,580","(+/-3,955)","766,714","(+/-14,556)","764,837","(+/-13,505)","760,737","(+/-14,357)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","120,893","(+/-5,895)","74,836","(+/-4,635)","116,213","(+/-6,085)","89,987","(+/-5,910)","121,934","(+/-6,243)","108,202","(+/-6,244)","111,979","(+/-5,472)","105,620","(+/-6,191)","110,703","(+/-5,376)","120,502","(+/-5,518)","122,839","(+/-5,996)","72,849","(+/-5,526)","90,944","(+/-5,551)","70,435","(+/-4,388)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","157,386","(+/-2,246)","170,763","(+/-6,654)","167,568","(+/-3,136)","149,805",(+/-962),"152,559","(+/-3,998)","159,880","(+/-3,886)","157,506","(+/-2,765)","172,569","(+/-3,444)","179,668","(+/-4,949)","160,415","(+/-3,335)","132,127","(+/-1,741)","182,021","(+/-7,889)","181,908","(+/-8,011)","166,584","(+/-7,387)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,760","(+/-1,786)","6,332","(+/-1,487)","9,605","(+/-1,484)","6,196","(+/-1,805)","9,446","(+/-2,002)","9,054","(+/-2,259)","8,966","(+/-1,730)","7,552","(+/-1,951)","6,412","(+/-1,602)","8,191","(+/-1,900)","5,528","(+/-1,451)","7,792","(+/-1,827)","6,586","(+/-1,641)","4,718","(+/-1,329)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","436,299","(+/-3,300)","507,977","(+/-8,071)","394,519","(+/-6,089)","477,786","(+/-2,870)","444,939","(+/-5,666)","460,360","(+/-5,411)","442,082","(+/-3,616)","451,716","(+/-4,971)","408,794","(+/-5,894)","453,673","(+/-3,997)","431,560","(+/-3,114)","491,317","(+/-10,432)","470,612","(+/-9,761)","493,812","(+/-10,199)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","56,779","(+/-4,423)","40,214","(+/-4,239)","57,121","(+/-4,570)","47,987","(+/-4,107)","61,085","(+/-4,627)","59,885","(+/-4,973)","53,306","(+/-3,945)","52,708","(+/-4,844)","58,162","(+/-4,388)","57,021","(+/-4,590)","59,510","(+/-4,405)","35,681","(+/-4,310)","47,458","(+/-4,346)","36,470","(+/-3,121)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","144,493","(+/-2,117)","97,765","(+/-3,985)","137,737","(+/-2,063)","121,038","(+/-1,327)","148,644","(+/-2,626)","125,133","(+/-2,614)","159,594","(+/-1,607)","126,512","(+/-2,585)","129,175","(+/-2,040)","145,620","(+/-2,565)","182,893","(+/-1,934)","93,376","(+/-4,074)","112,317","(+/-4,201)","100,341","(+/-3,652)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","54,354","(+/-3,121)","28,290","(+/-3,068)","49,487","(+/-2,876)","35,804","(+/-2,846)","51,403","(+/-3,132)","39,263","(+/-3,366)","49,707","(+/-2,854)","45,360","(+/-3,000)","46,129","(+/-2,539)","55,290","(+/-3,137)","57,801","(+/-3,427)","29,376","(+/-2,721)","36,900","(+/-2,793)","29,247","(+/-2,574)"
People,"Residence 1 Year Ago","Population 1 year and over","747,009","(+/-4,165)","769,650","(+/-11,250)","749,519","(+/-6,664)","755,231","(+/-1,281)","745,842","(+/-8,326)","742,692","(+/-7,667)","767,751","(+/-4,194)","752,385","(+/-7,323)","759,953","(+/-7,557)","760,533","(+/-5,819)","749,848","(+/-4,185)","763,128","(+/-14,283)","768,881","(+/-13,453)","756,135","(+/-14,436)"
People,"Residence 1 Year Ago","Same house","648,345","(+/-9,213)","659,606","(+/-14,923)","651,887","(+/-10,625)","648,507","(+/-9,249)","658,561","(+/-12,167)","643,370","(+/-10,738)","684,935","(+/-8,107)","673,154","(+/-9,760)","645,881","(+/-9,523)","683,020","(+/-9,756)","660,875","(+/-7,456)","664,865","(+/-14,076)","683,123","(+/-13,483)","636,428","(+/-13,511)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","98,664","(+/-7,914)","110,044","(+/-10,162)","97,632","(+/-8,092)","106,724","(+/-8,987)","87,281","(+/-7,824)","99,322","(+/-10,195)","82,816","(+/-7,407)","79,231","(+/-6,696)","114,072","(+/-8,353)","77,513","(+/-7,936)","88,973","(+/-7,516)","98,263","(+/-9,189)","85,758","(+/-9,248)","119,707","(+/-10,438)"
People,"Residence 1 Year Ago","Different house in the U.S.","96,213","(+/-7,946)","103,036","(+/-9,998)","92,407","(+/-8,183)","98,704","(+/-8,752)","83,930","(+/-7,412)","96,792","(+/-10,190)","80,551","(+/-7,223)","76,621","(+/-6,474)","106,696","(+/-8,344)","76,797","(+/-7,849)","86,856","(+/-7,556)","91,471","(+/-8,864)","82,791","(+/-9,076)","114,765","(+/-10,075)"
People,"Residence 1 Year Ago","Same county","43,723","(+/-6,076)","53,921","(+/-8,483)","29,224","(+/-4,631)","35,886","(+/-5,567)","33,294","(+/-4,880)","48,018","(+/-8,273)","33,737","(+/-3,866)","27,275","(+/-4,437)","44,713","(+/-6,351)","34,589","(+/-6,090)","32,762","(+/-4,730)","46,980","(+/-8,199)","37,685","(+/-5,763)","54,074","(+/-7,836)"
People,"Residence 1 Year Ago","Different county","52,490","(+/-5,469)","49,115","(+/-6,733)","63,183","(+/-6,741)","62,818","(+/-7,211)","50,636","(+/-5,828)","48,774","(+/-5,223)","46,814","(+/-5,532)","49,346","(+/-5,354)","61,983","(+/-5,613)","42,208","(+/-5,421)","54,094","(+/-5,570)","44,491","(+/-6,060)","45,106","(+/-6,908)","60,691","(+/-7,086)"
People,"Residence 1 Year Ago","Same state","34,544","(+/-4,606)","18,988","(+/-4,145)","24,325","(+/-4,301)","31,733","(+/-5,103)","30,701","(+/-4,669)","30,354","(+/-4,139)","26,621","(+/-4,346)","31,391","(+/-4,081)","32,827","(+/-4,162)","28,172","(+/-4,492)","26,392","(+/-4,648)","23,648","(+/-4,498)","27,796","(+/-5,072)","22,675","(+/-4,363)"
People,"Residence 1 Year Ago","Different state","17,946","(+/-3,167)","30,127","(+/-5,145)","38,858","(+/-5,742)","31,085","(+/-4,776)","19,935","(+/-4,047)","18,420","(+/-3,917)","20,193","(+/-3,710)","17,955","(+/-3,560)","29,156","(+/-3,553)","14,036","(+/-3,268)","27,702","(+/-3,615)","20,843","(+/-3,953)","17,310","(+/-4,528)","38,016","(+/-5,312)"
People,"Residence 1 Year Ago",Abroad,"2,451","(+/-1,292)","7,008","(+/-2,523)","5,225","(+/-1,674)","8,020","(+/-2,423)","3,351","(+/-1,391)","2,530","(+/-1,103)","2,265","(+/-1,052)","2,610","(+/-1,290)","7,376","(+/-2,660)",716,(+/-429),"2,117",(+/-941),"6,792","(+/-3,201)","2,967","(+/-1,087)","4,942","(+/-2,393)"
Workers,"Employment Status","Population 16 years and over","613,811","(+/-3,904)","629,058","(+/-8,243)","608,538","(+/-5,300)","628,375","(+/-1,713)","619,553","(+/-6,727)","611,342","(+/-6,450)","634,752","(+/-3,275)","608,379","(+/-5,352)","609,533","(+/-5,355)","626,407","(+/-4,571)","638,224","(+/-3,524)","608,925","(+/-11,526)","616,401","(+/-9,876)","618,641","(+/-11,256)"
Workers,"Employment Status","In labor force","362,679","(+/-6,800)","442,427","(+/-8,716)","375,082","(+/-6,491)","408,999","(+/-6,724)","355,150","(+/-6,460)","379,884","(+/-8,067)","368,382","(+/-6,326)","379,937","(+/-7,269)","375,893","(+/-7,570)","383,038","(+/-6,877)","355,866","(+/-7,769)","418,965","(+/-10,323)","398,522","(+/-10,308)","442,284","(+/-9,575)"
Workers,"Employment Status","Civilian labor force","360,801","(+/-6,957)","442,111","(+/-8,609)","325,794","(+/-7,261)","407,406","(+/-6,865)","354,736","(+/-6,472)","378,887","(+/-8,118)","360,999","(+/-6,408)","379,637","(+/-7,247)","332,157","(+/-8,088)","382,815","(+/-6,842)","355,376","(+/-7,754)","418,029","(+/-10,359)","395,999","(+/-10,171)","441,207","(+/-9,519)"
Workers,"Employment Status",Employed,"341,856","(+/-6,893)","432,203","(+/-8,550)","312,158","(+/-7,538)","395,676","(+/-7,045)","337,283","(+/-6,495)","362,280","(+/-7,855)","345,524","(+/-6,643)","365,754","(+/-7,173)","316,274","(+/-7,722)","368,175","(+/-7,036)","344,247","(+/-7,607)","403,147","(+/-9,741)","382,935","(+/-9,603)","427,795","(+/-9,541)"
Workers,"Employment Status",Unemployed,"18,945","(+/-2,614)","9,908","(+/-2,654)","13,636","(+/-2,399)","11,730","(+/-1,851)","17,453","(+/-2,398)","16,607","(+/-2,469)","15,475","(+/-2,380)","13,883","(+/-2,549)","15,883","(+/-2,381)","14,640","(+/-2,426)","11,129","(+/-2,186)","14,882","(+/-2,499)","13,064","(+/-2,479)","13,412","(+/-1,964)"
Workers,"Employment Status","Armed Forces","1,878",(+/-819),316,(+/-453),"49,288","(+/-2,918)","1,593","(+/-1,040)",414,(+/-311),997,(+/-795),"7,383","(+/-1,674)",300,(+/-281),"43,736","(+/-2,644)",223,(+/-237),490,(+/-394),936,(+/-671),"2,523",(+/-723),"1,077",(+/-604)
Workers,"Employment Status","Not in labor force","251,132","(+/-6,576)","186,631","(+/-7,106)","233,456","(+/-5,410)","219,376","(+/-7,013)","264,403","(+/-6,330)","231,458","(+/-7,513)","266,370","(+/-6,379)","228,442","(+/-7,126)","233,640","(+/-8,118)","243,369","(+/-6,612)","282,358","(+/-6,798)","189,960","(+/-8,052)","217,879","(+/-7,438)","176,357","(+/-6,363)"
Workers,"Employment Status","Civilian labor force","360,801","(+/-6,957)","442,111","(+/-8,609)","325,794","(+/-7,261)","407,406","(+/-6,865)","354,736","(+/-6,472)","378,887","(+/-8,118)","360,999","(+/-6,408)","379,637","(+/-7,247)","332,157","(+/-8,088)","382,815","(+/-6,842)","355,376","(+/-7,754)","418,029","(+/-10,359)","395,999","(+/-10,171)","441,207","(+/-9,519)"
Workers,"Employment Status","Unemployment Rate",5.3,(+/-0.7),2.2,(+/-0.6),4.2,(+/-0.7),2.9,(+/-0.5),4.9,(+/-0.7),4.4,(+/-0.6),4.3,(+/-0.7),3.7,(+/-0.7),4.8,(+/-0.7),3.8,(+/-0.6),3.1,(+/-0.6),3.6,(+/-0.6),3.3,(+/-0.6),3.0,(+/-0.4)
Workers,"Commuting to Work","Workers 16 years and over","336,990","(+/-6,862)","425,156","(+/-8,377)","354,110","(+/-6,969)","387,355","(+/-6,662)","329,594","(+/-6,590)","352,590","(+/-7,773)","347,534","(+/-6,638)","358,016","(+/-7,327)","352,547","(+/-7,632)","356,720","(+/-7,065)","335,888","(+/-7,747)","396,780","(+/-9,268)","379,430","(+/-9,638)","418,063","(+/-10,132)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","264,406","(+/-7,386)","251,528","(+/-8,997)","264,027","(+/-7,775)","257,780","(+/-6,887)","254,426","(+/-7,632)","264,711","(+/-7,800)","267,293","(+/-6,415)","261,651","(+/-7,394)","272,494","(+/-6,981)","278,727","(+/-7,226)","248,070","(+/-7,755)","238,299","(+/-8,654)","267,635","(+/-8,795)","262,706","(+/-8,487)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","27,622","(+/-3,546)","27,722","(+/-3,998)","35,609","(+/-3,200)","27,743","(+/-3,739)","30,216","(+/-3,949)","31,060","(+/-3,827)","26,752","(+/-3,096)","42,514","(+/-4,437)","33,141","(+/-3,991)","30,382","(+/-3,749)","32,772","(+/-3,606)","29,451","(+/-3,397)","27,749","(+/-2,990)","31,878","(+/-4,649)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",788,(+/-438),"1,616",(+/-824),696,(+/-503),"5,677","(+/-1,592)","1,461",(+/-998),993,(+/-522),399,(+/-239),220,(+/-270),506,(+/-345),291,(+/-350),"1,265",(+/-943),"3,456",(+/-910),"1,749","(+/-1,077)","6,386","(+/-1,669)"
Workers,"Commuting to Work",Walked,"4,448","(+/-1,217)","6,663","(+/-2,500)","10,318","(+/-1,724)","9,958","(+/-1,979)","5,321","(+/-1,252)","4,951","(+/-1,259)","4,739","(+/-1,347)","3,069","(+/-1,021)","9,237","(+/-1,848)","3,558","(+/-1,041)","5,727","(+/-1,063)","2,915",(+/-978),"5,086","(+/-2,458)","8,075","(+/-1,695)"
Workers,"Commuting to Work","Other means","4,718","(+/-1,071)","8,657","(+/-2,336)","7,742","(+/-1,527)","7,852","(+/-2,441)","2,514",(+/-774),"6,101","(+/-1,600)","4,164","(+/-1,088)","3,704","(+/-1,139)","3,159","(+/-1,043)","5,118","(+/-1,423)","3,280",(+/-762),"2,937",(+/-956),"3,611","(+/-1,100)","6,093","(+/-1,603)"
Workers,"Commuting to Work","Worked from home","35,008","(+/-3,880)","128,970","(+/-8,073)","35,718","(+/-3,985)","78,345","(+/-4,948)","35,656","(+/-3,532)","44,774","(+/-4,732)","44,187","(+/-3,549)","46,858","(+/-3,459)","34,010","(+/-3,144)","38,644","(+/-3,858)","44,774","(+/-4,027)","119,722","(+/-7,310)","73,600","(+/-5,010)","102,925","(+/-7,466)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.2,(+/-0.8),23.1,(+/-0.7),24.7,(+/-0.8),25.1,(+/-0.9),23.8,(+/-0.7),23.3,(+/-0.9),24.6,(+/-0.8),27.4,(+/-0.8),24.4,(+/-0.8),25.8,(+/-0.9),23.6,(+/-0.7),25.3,(+/-0.6),28.9,(+/-0.8),24.5,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","341,856","(+/-6,893)","432,203","(+/-8,550)","312,158","(+/-7,538)","395,676","(+/-7,045)","337,283","(+/-6,495)","362,280","(+/-7,855)","345,524","(+/-6,643)","365,754","(+/-7,173)","316,274","(+/-7,722)","368,175","(+/-7,036)","344,247","(+/-7,607)","403,147","(+/-9,741)","382,935","(+/-9,603)","427,795","(+/-9,541)"
Workers,Occupation,"Management, business, science, and arts occupations","125,683","(+/-6,042)","250,435","(+/-7,770)","109,899","(+/-5,207)","197,631","(+/-6,509)","125,101","(+/-6,439)","139,582","(+/-6,593)","132,222","(+/-5,912)","134,511","(+/-6,422)","117,680","(+/-4,512)","131,536","(+/-6,997)","135,013","(+/-5,843)","173,385","(+/-8,063)","173,133","(+/-8,765)","212,141","(+/-6,591)"
Workers,Occupation,"Service occupations","53,711","(+/-4,160)","51,924","(+/-5,130)","54,779","(+/-4,469)","61,636","(+/-5,334)","58,191","(+/-4,929)","59,700","(+/-5,652)","56,739","(+/-4,842)","54,190","(+/-3,601)","54,619","(+/-4,511)","53,109","(+/-3,954)","65,846","(+/-5,104)","54,281","(+/-4,666)","57,206","(+/-4,174)","50,312","(+/-3,905)"
Workers,Occupation,"Sales and office occupations","72,496","(+/-4,943)","75,418","(+/-5,575)","64,942","(+/-4,548)","67,359","(+/-5,410)","70,160","(+/-3,951)","79,746","(+/-4,980)","75,180","(+/-5,657)","70,437","(+/-5,177)","59,046","(+/-4,419)","75,301","(+/-5,483)","67,489","(+/-4,606)","88,357","(+/-5,887)","71,350","(+/-5,137)","86,339","(+/-4,299)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","31,464","(+/-3,040)","18,490","(+/-2,703)","36,531","(+/-3,792)","31,292","(+/-3,973)","32,094","(+/-3,133)","26,286","(+/-3,509)","35,158","(+/-3,075)","42,528","(+/-3,532)","28,733","(+/-2,978)","34,197","(+/-3,674)","33,750","(+/-3,468)","29,972","(+/-4,185)","35,260","(+/-3,801)","28,846","(+/-2,988)"
Workers,Occupation,"Production, transportation, and material moving occupations","58,502","(+/-3,967)","35,936","(+/-3,338)","46,007","(+/-4,103)","37,758","(+/-3,508)","51,737","(+/-3,789)","56,966","(+/-4,058)","46,225","(+/-4,468)","64,088","(+/-5,541)","56,196","(+/-4,640)","74,032","(+/-4,772)","42,149","(+/-3,528)","57,152","(+/-5,315)","45,986","(+/-4,025)","50,157","(+/-5,021)"
Workers,Industry,"Civilian employed population 16 years and over","341,856","(+/-6,893)","432,203","(+/-8,550)","312,158","(+/-7,538)","395,676","(+/-7,045)","337,283","(+/-6,495)","362,280","(+/-7,855)","345,524","(+/-6,643)","365,754","(+/-7,173)","316,274","(+/-7,722)","368,175","(+/-7,036)","344,247","(+/-7,607)","403,147","(+/-9,741)","382,935","(+/-9,603)","427,795","(+/-9,541)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","7,331","(+/-1,450)","2,045","(+/-1,174)","8,396","(+/-1,499)","4,007","(+/-1,272)","5,099","(+/-1,319)","1,155",(+/-689),"5,101","(+/-1,283)","3,665","(+/-1,311)","3,543","(+/-1,390)","2,403",(+/-915),"5,021","(+/-1,523)","1,782",(+/-747),"4,329","(+/-1,524)","1,309",(+/-585)
Workers,Industry,Construction,"24,478","(+/-3,026)","20,437","(+/-2,955)","23,929","(+/-2,910)","24,743","(+/-3,416)","23,308","(+/-2,862)","20,747","(+/-3,089)","31,490","(+/-2,948)","34,683","(+/-3,480)","22,712","(+/-2,348)","25,059","(+/-3,317)","28,818","(+/-2,965)","29,606","(+/-3,818)","33,721","(+/-3,782)","28,506","(+/-3,038)"
Workers,Industry,Manufacturing,"48,399","(+/-3,847)","34,221","(+/-3,316)","33,007","(+/-4,101)","35,750","(+/-3,505)","48,375","(+/-4,193)","50,098","(+/-3,985)","28,618","(+/-2,915)","55,353","(+/-4,181)","44,052","(+/-4,046)","76,230","(+/-5,482)","36,617","(+/-4,007)","30,007","(+/-3,351)","40,894","(+/-4,013)","40,120","(+/-4,217)"
Workers,Industry,"Wholesale trade","7,009","(+/-1,385)","7,591","(+/-1,723)","7,200","(+/-1,638)","5,409","(+/-1,411)","5,650","(+/-1,292)","10,595","(+/-2,211)","5,595","(+/-1,416)","9,645","(+/-1,690)","5,151","(+/-1,151)","10,981","(+/-1,949)","4,988","(+/-1,458)","7,179","(+/-1,584)","7,536","(+/-1,678)","8,743","(+/-1,602)"
Workers,Industry,"Retail trade","42,550","(+/-4,704)","44,374","(+/-4,629)","41,257","(+/-3,819)","36,501","(+/-3,950)","40,301","(+/-3,714)","39,041","(+/-4,398)","45,565","(+/-3,965)","41,525","(+/-3,694)","33,297","(+/-2,952)","45,546","(+/-4,082)","40,253","(+/-3,524)","44,232","(+/-4,428)","40,662","(+/-3,427)","44,323","(+/-4,192)"
Workers,Industry,"Transportation and warehousing, and utilities","18,823","(+/-2,627)","17,316","(+/-3,169)","12,502","(+/-1,883)","11,686","(+/-2,476)","17,880","(+/-2,682)","26,425","(+/-3,892)","20,028","(+/-3,202)","21,441","(+/-2,534)","19,299","(+/-2,229)","22,158","(+/-2,846)","12,978","(+/-1,912)","38,130","(+/-4,508)","18,366","(+/-3,328)","25,638","(+/-3,122)"
Workers,Industry,Information,"3,702","(+/-1,197)","12,080","(+/-2,767)","2,627",(+/-856),"6,490","(+/-1,431)","5,152","(+/-1,197)","4,410","(+/-1,435)","6,165","(+/-1,548)","5,487","(+/-1,428)","2,584",(+/-781),"4,704","(+/-1,422)","5,024","(+/-1,468)","6,580","(+/-1,542)","8,622","(+/-1,699)","10,050","(+/-1,777)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","18,085","(+/-2,585)","39,120","(+/-4,304)","15,627","(+/-2,285)","20,483","(+/-2,968)","16,069","(+/-2,215)","24,059","(+/-3,339)","19,563","(+/-2,951)","26,272","(+/-2,829)","13,466","(+/-1,802)","14,768","(+/-2,019)","20,544","(+/-2,723)","54,017","(+/-5,206)","23,974","(+/-3,152)","65,155","(+/-4,000)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","27,927","(+/-2,392)","96,515","(+/-5,870)","34,290","(+/-3,400)","61,326","(+/-4,388)","33,734","(+/-3,452)","36,965","(+/-4,466)","43,715","(+/-3,380)","37,459","(+/-4,031)","33,434","(+/-3,160)","33,979","(+/-3,636)","36,767","(+/-3,453)","55,996","(+/-4,889)","62,425","(+/-5,350)","70,381","(+/-4,883)"
Workers,Industry,"Educational services, and health care and social assistance","82,244","(+/-5,084)","87,340","(+/-5,242)","66,494","(+/-4,463)","119,791","(+/-5,153)","84,825","(+/-5,360)","86,793","(+/-5,471)","76,532","(+/-4,395)","70,237","(+/-3,980)","77,406","(+/-4,992)","76,460","(+/-4,621)","81,911","(+/-4,595)","75,732","(+/-5,350)","75,812","(+/-5,432)","76,776","(+/-4,549)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","27,959","(+/-3,546)","34,723","(+/-4,168)","30,498","(+/-3,565)","36,292","(+/-4,262)","26,666","(+/-3,373)","32,944","(+/-3,742)","29,070","(+/-3,290)","26,228","(+/-3,367)","28,652","(+/-3,117)","22,852","(+/-2,733)","38,632","(+/-3,990)","31,892","(+/-4,347)","28,697","(+/-3,162)","29,488","(+/-3,381)"
Workers,Industry,"Other services, except public administration","13,964","(+/-2,291)","19,735","(+/-3,388)","14,674","(+/-2,102)","18,327","(+/-2,790)","17,482","(+/-2,472)","16,321","(+/-2,768)","18,473","(+/-2,753)","20,166","(+/-2,611)","16,275","(+/-2,233)","20,049","(+/-2,750)","19,553","(+/-2,408)","16,386","(+/-2,382)","18,473","(+/-2,496)","19,889","(+/-2,371)"
Workers,Industry,"Public administration","19,385","(+/-2,254)","16,706","(+/-2,577)","21,657","(+/-2,683)","14,871","(+/-2,223)","12,742","(+/-2,096)","12,727","(+/-2,128)","15,609","(+/-2,193)","13,593","(+/-2,222)","16,403","(+/-1,822)","12,986","(+/-2,420)","13,141","(+/-1,954)","11,608","(+/-2,445)","19,424","(+/-3,085)","7,417","(+/-1,428)"
Workers,"Class of Worker","Civilian employed population 16 years and over","341,856","(+/-6,893)","432,203","(+/-8,550)","312,158","(+/-7,538)","395,676","(+/-7,045)","337,283","(+/-6,495)","362,280","(+/-7,855)","345,524","(+/-6,643)","365,754","(+/-7,173)","316,274","(+/-7,722)","368,175","(+/-7,036)","344,247","(+/-7,607)","403,147","(+/-9,741)","382,935","(+/-9,603)","427,795","(+/-9,541)"
Workers,"Class of Worker","Private wage and salary workers","261,497","(+/-5,767)","361,733","(+/-9,538)","235,120","(+/-6,673)","312,200","(+/-6,768)","268,927","(+/-6,889)","298,659","(+/-8,513)","265,981","(+/-7,022)","294,109","(+/-7,385)","241,815","(+/-7,096)","304,177","(+/-6,790)","268,414","(+/-6,958)","342,780","(+/-9,234)","309,774","(+/-10,240)","371,876","(+/-9,454)"
Workers,"Class of Worker","Government workers","59,769","(+/-4,200)","49,711","(+/-4,212)","59,209","(+/-4,560)","63,227","(+/-3,594)","46,645","(+/-3,621)","45,952","(+/-4,462)","52,601","(+/-4,138)","46,293","(+/-4,855)","54,912","(+/-4,038)","42,109","(+/-3,686)","45,493","(+/-3,506)","39,303","(+/-5,182)","55,493","(+/-3,949)","31,451","(+/-2,925)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","19,406","(+/-2,482)","20,201","(+/-2,912)","17,463","(+/-2,510)","20,183","(+/-2,426)","20,662","(+/-2,628)","17,007","(+/-2,532)","26,172","(+/-3,141)","23,992","(+/-2,628)","18,840","(+/-2,153)","20,830","(+/-2,903)","29,671","(+/-3,220)","20,171","(+/-3,166)","17,258","(+/-2,676)","23,449","(+/-2,761)"
Workers,"Class of Worker","Unpaid family workers","1,184",(+/-635),558,(+/-630),366,(+/-340),66,(+/-82),"1,049",(+/-572),662,(+/-761),770,(+/-506),"1,360",(+/-712),707,(+/-445),"1,059",(+/-542),669,(+/-493),893,(+/-820),410,(+/-306),"1,019",(+/-771)
Housing,"Housing Occupancy","Total housing units","362,321","(+/-2,096)","338,942","(+/-4,633)","388,500","(+/-2,681)","336,398","(+/-1,146)","372,536","(+/-3,709)","332,191","(+/-3,313)","388,737","(+/-1,498)","315,648","(+/-2,787)","330,567","(+/-2,602)","338,348","(+/-2,117)","407,945","(+/-1,846)","318,751","(+/-5,687)","311,238","(+/-5,254)","350,505","(+/-5,830)"
Housing,"Housing Occupancy","Occupied housing units","314,179","(+/-4,555)","302,393","(+/-5,284)","309,801","(+/-5,444)","309,515","(+/-3,821)","311,617","(+/-5,503)","305,622","(+/-4,070)","323,224","(+/-4,259)","285,129","(+/-3,984)","304,107","(+/-4,245)","306,308","(+/-3,260)","313,415","(+/-5,337)","298,877","(+/-6,174)","287,709","(+/-5,480)","327,370","(+/-5,874)"
Housing,"Housing Occupancy","Vacant housing units","48,142","(+/-3,905)","36,549","(+/-4,278)","78,699","(+/-4,453)","26,883","(+/-3,494)","60,919","(+/-4,641)","26,569","(+/-3,024)","65,513","(+/-3,586)","30,519","(+/-3,047)","26,460","(+/-3,401)","32,040","(+/-3,273)","94,530","(+/-5,173)","19,874","(+/-2,747)","23,529","(+/-3,552)","23,135","(+/-2,645)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,(+/-0.4),0.8,(+/-0.5),1.1,(+/-0.5),0.6,(+/-0.4),1.3,(+/-0.5),0.8,(+/-0.5),1.1,(+/-0.4),0.5,(+/-0.4),0.5,(+/-0.2),0.9,(+/-0.4),5.9,(+/-1.0),0.9,(+/-0.5),0.5,(+/-0.3),0.7,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",3.8,(+/-1.1),15.8,(+/-2.1),10.9,(+/-2.0),5.9,(+/-1.6),6.7,(+/-2.1),4.5,(+/-1.2),9.2,(+/-1.6),2.4,(+/-1.1),3.6,(+/-1.2),5.2,(+/-1.5),10.7,(+/-2.4),7.0,(+/-1.7),10.8,(+/-2.4),5.7,(+/-1.2)
Housing,"Housing Tenure","Occupied housing units","314,179","(+/-4,555)","302,393","(+/-5,284)","309,801","(+/-5,444)","309,515","(+/-3,821)","311,617","(+/-5,503)","305,622","(+/-4,070)","323,224","(+/-4,259)","285,129","(+/-3,984)","304,107","(+/-4,245)","306,308","(+/-3,260)","313,415","(+/-5,337)","298,877","(+/-6,174)","287,709","(+/-5,480)","327,370","(+/-5,874)"
