Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE"
People,"Place of Birth","Born in United States","653,003","(+/-11,437)","605,828","(+/-15,392)","540,992","(+/-10,895)","570,660","(+/-10,789)","403,205","(+/-13,889)","334,114","(+/-13,896)","433,609","(+/-18,476)","467,632","(+/-20,243)","449,878","(+/-17,096)","483,304","(+/-19,631)","475,909","(+/-13,232)","511,606","(+/-16,310)","459,153","(+/-16,278)","407,242","(+/-17,468)","412,649","(+/-16,881)","512,132","(+/-12,021)","615,421","(+/-10,861)","669,720","(+/-8,859)","700,744","(+/-6,618)","703,131","(+/-5,166)","738,467","(+/-5,427)","697,662","(+/-5,000)","738,651","(+/-6,220)","746,092","(+/-5,722)","687,148","(+/-5,581)","687,925","(+/-8,730)"
People,"Place of Birth","State of residence","586,784","(+/-12,086)","564,584","(+/-15,585)","495,865","(+/-10,756)","531,470","(+/-10,472)","363,351","(+/-13,320)","303,044","(+/-13,787)","312,534","(+/-16,789)","395,971","(+/-20,280)","372,753","(+/-16,370)","305,016","(+/-15,114)","439,532","(+/-12,412)","296,362","(+/-12,603)","356,385","(+/-14,279)","358,158","(+/-16,594)","370,088","(+/-15,970)","422,911","(+/-11,731)","510,707","(+/-11,988)","540,033","(+/-9,112)","554,005","(+/-8,282)","581,316","(+/-7,791)","599,208","(+/-8,061)","584,594","(+/-7,097)","630,627","(+/-7,491)","647,284","(+/-6,723)","574,911","(+/-6,954)","607,626","(+/-9,540)"
People,"Place of Birth","Different state","66,219","(+/-5,124)","41,244","(+/-5,117)","45,127","(+/-4,340)","39,190","(+/-3,850)","39,854","(+/-4,194)","31,070","(+/-3,671)","121,075","(+/-7,312)","71,661","(+/-5,816)","77,125","(+/-5,613)","178,288","(+/-10,558)","36,377","(+/-3,916)","215,244","(+/-11,277)","102,768","(+/-6,876)","49,084","(+/-5,032)","42,561","(+/-4,916)","89,221","(+/-6,329)","104,714","(+/-6,448)","129,687","(+/-6,434)","146,739","(+/-5,239)","121,815","(+/-6,644)","139,259","(+/-6,584)","113,068","(+/-5,918)","108,024","(+/-4,664)","98,808","(+/-4,856)","112,237","(+/-5,800)","80,299","(+/-5,832)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","9,077","(+/-2,144)","19,193","(+/-3,608)","14,061","(+/-2,666)","17,588","(+/-3,333)","20,459","(+/-3,277)","13,497","(+/-2,495)","26,171","(+/-3,997)","21,720","(+/-3,773)","22,939","(+/-3,935)","24,952","(+/-3,476)","17,778","(+/-2,796)","16,426","(+/-2,722)","32,078","(+/-4,323)","37,978","(+/-4,896)","54,211","(+/-6,526)","25,458","(+/-4,131)","16,558","(+/-2,919)","20,604","(+/-3,382)","9,726","(+/-1,804)","10,525","(+/-1,660)","10,085","(+/-1,872)","13,077","(+/-3,078)","9,353","(+/-1,940)","6,846","(+/-1,275)","24,737","(+/-3,413)","16,425","(+/-2,684)"
People,"Place of Birth","Foreign born","113,078","(+/-7,223)","150,060","(+/-9,160)","216,155","(+/-10,419)","183,664","(+/-8,462)","328,333","(+/-13,175)","404,966","(+/-14,660)","240,150","(+/-10,644)","264,722","(+/-12,593)","283,690","(+/-10,881)","197,895","(+/-10,194)","246,338","(+/-11,964)","176,976","(+/-11,970)","279,385","(+/-13,752)","285,172","(+/-13,679)","260,839","(+/-12,577)","219,121","(+/-10,016)","139,485","(+/-8,175)","96,108","(+/-6,812)","58,130","(+/-4,573)","67,890","(+/-4,871)","27,809","(+/-3,181)","54,104","(+/-4,374)","22,353","(+/-2,934)","21,235","(+/-2,656)","56,284","(+/-4,284)","65,810","(+/-5,250)"
People,Ancestry,"Total population","775,158","(+/-10,517)","775,081","(+/-12,243)","771,208","(+/-13,673)","771,912","(+/-5,694)","751,997","(+/-19,445)","752,577","(+/-21,452)","699,930","(+/-22,305)","754,074","(+/-22,707)","756,507","(+/-19,730)","706,151","(+/-22,940)","740,025","(+/-15,772)","705,008","(+/-18,433)","770,616","(+/-17,104)","730,392","(+/-24,137)","727,699","(+/-19,070)","756,711","(+/-8,968)","771,464","(+/-5,646)","786,432","(+/-5,778)","768,600","(+/-4,934)","781,546","(+/-2,677)","776,361","(+/-4,479)","764,843",(+/-490),"770,357","(+/-5,328)","774,173","(+/-4,632)","768,169","(+/-2,075)","770,160","(+/-6,228)"
People,Ancestry,American,"34,538","(+/-5,987)","22,069","(+/-3,997)","32,414","(+/-5,164)","31,396","(+/-5,111)","33,192","(+/-6,543)","22,745","(+/-5,742)","19,958","(+/-4,233)","32,191","(+/-5,594)","35,257","(+/-6,096)","21,901","(+/-4,527)","28,085","(+/-5,033)","43,407","(+/-8,221)","19,775","(+/-4,262)","23,728","(+/-5,149)","15,875","(+/-3,168)","39,189","(+/-4,851)","49,726","(+/-6,481)","41,967","(+/-4,149)","41,208","(+/-4,953)","32,323","(+/-4,588)","52,342","(+/-5,037)","29,481","(+/-4,530)","36,610","(+/-4,198)","39,479","(+/-4,642)","31,796","(+/-4,495)","22,451","(+/-3,376)"
People,Ancestry,Arab,"11,909","(+/-8,016)","2,205","(+/-1,384)","5,757","(+/-1,995)","3,147","(+/-1,656)","5,649","(+/-2,857)","9,229","(+/-4,335)","7,475","(+/-2,440)","12,628","(+/-5,898)","13,353","(+/-4,546)","11,549","(+/-3,813)","29,006","(+/-7,029)","11,729","(+/-4,575)","6,777","(+/-3,198)","7,412","(+/-2,234)","2,322","(+/-1,429)","4,978","(+/-1,868)","5,151","(+/-2,305)","2,425","(+/-1,005)","4,364","(+/-1,374)","9,416","(+/-4,079)","2,149",(+/-759),"9,937","(+/-2,761)","6,227","(+/-3,280)","1,963",(+/-890),"4,901","(+/-1,959)","10,181","(+/-2,402)"
People,Ancestry,Czech,"2,130",(+/-778),"1,512",(+/-745),"1,866",(+/-944),801,(+/-555),156,(+/-252),671,(+/-488),"1,684","(+/-1,266)",291,(+/-252),445,(+/-301),"1,377",(+/-663),"1,112","(+/-1,590)","2,921","(+/-1,666)",562,(+/-402),757,(+/-566),124,(+/-126),"1,868",(+/-838),"1,469",(+/-511),"2,051",(+/-987),"4,415","(+/-1,003)","1,949",(+/-638),"1,188",(+/-400),"1,178",(+/-571),"2,315","(+/-1,206)",883,(+/-371),"2,369",(+/-897),583,(+/-410)
People,Ancestry,Danish,"1,520",(+/-752),"1,049",(+/-683),"1,365",(+/-765),178,(+/-188),258,(+/-312),205,(+/-181),891,(+/-408),146,(+/-177),"1,102",(+/-911),"2,850","(+/-2,203)",105,(+/-131),"2,564","(+/-1,506)",130,(+/-188),"1,189","(+/-1,155)",315,(+/-438),675,(+/-644),"1,575",(+/-650),997,(+/-425),"2,951","(+/-1,116)","1,385",(+/-860),"1,904",(+/-698),"1,261",(+/-623),"1,110",(+/-496),"2,642",(+/-781),603,(+/-382),816,(+/-474)
People,Ancestry,Dutch,"3,041","(+/-1,026)","4,478","(+/-2,407)","2,145",(+/-985),"1,101",(+/-582),463,(+/-341),806,(+/-449),"3,416","(+/-1,315)",969,(+/-528),"1,615",(+/-546),"5,336","(+/-1,792)",888,(+/-568),"3,815","(+/-1,250)","1,330","(+/-1,016)",615,(+/-497),320,(+/-269),"2,749","(+/-1,061)","7,295","(+/-2,365)","10,903","(+/-2,294)","17,759","(+/-3,157)","12,969","(+/-1,980)","17,023","(+/-2,315)","10,572","(+/-2,008)","11,381","(+/-1,983)","21,060","(+/-2,692)","12,367","(+/-1,773)","3,148",(+/-933)
People,Ancestry,English,"38,134","(+/-4,812)","28,065","(+/-3,106)","19,309","(+/-2,921)","14,345","(+/-2,783)","3,155","(+/-1,025)","5,927","(+/-1,602)","20,767","(+/-2,995)","6,718","(+/-1,651)","11,392","(+/-2,443)","47,533","(+/-4,931)","11,431","(+/-2,583)","41,581","(+/-4,596)","13,814","(+/-2,303)","5,617","(+/-1,578)","3,395","(+/-1,490)","18,621","(+/-3,441)","35,812","(+/-3,583)","50,491","(+/-4,791)","94,504","(+/-5,644)","87,180","(+/-6,903)","100,102","(+/-5,551)","88,330","(+/-5,895)","92,267","(+/-5,145)","121,591","(+/-6,868)","80,605","(+/-6,145)","52,031","(+/-5,329)"
People,Ancestry,"French (except Basque)","10,106","(+/-2,027)","6,068","(+/-1,334)","4,506","(+/-1,327)","3,308","(+/-1,050)","1,527",(+/-754),"3,429","(+/-1,369)","8,120","(+/-1,700)","3,146","(+/-1,033)","6,119","(+/-3,470)","11,511","(+/-2,234)","2,752","(+/-1,193)","14,844","(+/-3,235)","7,067","(+/-1,890)","3,134","(+/-1,411)","1,278",(+/-686),"5,922","(+/-1,673)","8,889","(+/-1,723)","10,754","(+/-1,996)","17,495","(+/-2,493)","30,851","(+/-4,075)","52,474","(+/-4,094)","23,096","(+/-2,967)","13,228","(+/-2,303)","26,553","(+/-3,034)","13,384","(+/-2,033)","10,493","(+/-1,896)"
People,Ancestry,"French Canadian","2,325",(+/-913),"2,138",(+/-869),"1,270",(+/-662),584,(+/-376),0,(+/-217),529,(+/-390),"1,119",(+/-566),156,(+/-158),754,(+/-483),"1,823",(+/-720),827,(+/-487),"2,739",(+/-985),577,(+/-400),772,(+/-705),216,(+/-300),871,(+/-650),"2,973","(+/-1,482)","3,469","(+/-1,166)","3,519",(+/-917),"13,644","(+/-2,274)","25,360","(+/-3,785)","8,591","(+/-1,530)","3,690","(+/-1,102)","9,553","(+/-2,108)","5,504","(+/-1,243)","4,908","(+/-1,890)"
People,Ancestry,German,"93,181","(+/-6,432)","77,763","(+/-6,609)","53,832","(+/-4,889)","48,851","(+/-5,545)","7,824","(+/-1,991)","13,735","(+/-2,630)","33,838","(+/-4,598)","10,732","(+/-2,093)","14,662","(+/-2,637)","41,852","(+/-4,544)","20,889","(+/-3,234)","57,285","(+/-5,749)","17,960","(+/-3,478)","13,676","(+/-2,655)","4,430","(+/-1,225)","31,542","(+/-4,442)","60,020","(+/-4,642)","80,075","(+/-5,678)","112,830","(+/-6,182)","100,237","(+/-6,274)","102,220","(+/-6,810)","110,861","(+/-5,596)","172,881","(+/-7,682)","149,767","(+/-6,060)","124,221","(+/-6,833)","136,760","(+/-7,508)"
People,Ancestry,Greek,"13,544","(+/-3,406)","6,879","(+/-2,131)","16,649","(+/-3,265)","7,680","(+/-2,018)","1,075",(+/-855),"7,873","(+/-2,800)","5,630","(+/-1,932)","1,451",(+/-657),"1,588",(+/-773),"5,005","(+/-1,566)","5,414","(+/-1,854)","6,085","(+/-1,990)","2,954","(+/-1,560)","10,925","(+/-2,172)","1,201",(+/-960),"3,742","(+/-1,295)","4,271","(+/-1,267)","5,220","(+/-1,544)","4,111","(+/-1,158)","7,068","(+/-2,196)","1,584",(+/-624),"2,890","(+/-1,321)","1,513",(+/-678),"1,616",(+/-741),"2,433",(+/-923),"3,532","(+/-1,337)"
People,Ancestry,Hungarian,"4,357","(+/-1,274)","2,764","(+/-1,059)","4,645","(+/-1,483)","5,120","(+/-1,525)","1,820","(+/-1,322)","2,667","(+/-1,251)","7,428","(+/-3,388)","2,806","(+/-2,007)","4,649","(+/-1,955)","6,117","(+/-2,368)","2,982","(+/-2,033)","6,022","(+/-1,467)","2,914","(+/-1,209)",810,(+/-505),"1,410",(+/-709),"2,956",(+/-749),"26,093","(+/-5,324)","31,312","(+/-5,545)","4,684","(+/-1,490)","4,064","(+/-1,282)","2,998",(+/-799),"2,587",(+/-841),"4,045","(+/-1,046)","2,037",(+/-669),"1,951",(+/-606),"5,746","(+/-1,535)"
People,Ancestry,Irish,"133,302","(+/-9,667)","111,701","(+/-8,244)","77,046","(+/-6,282)","87,471","(+/-9,327)","20,015","(+/-4,860)","27,009","(+/-4,366)","37,987","(+/-4,007)","19,093","(+/-3,563)","15,618","(+/-2,552)","60,480","(+/-5,358)","56,165","(+/-6,563)","68,995","(+/-6,288)","19,681","(+/-3,079)","16,809","(+/-2,032)","13,646","(+/-2,475)","62,731","(+/-7,315)","98,893","(+/-6,489)","114,154","(+/-6,012)","122,086","(+/-6,914)","151,012","(+/-7,596)","124,158","(+/-5,931)","124,551","(+/-7,732)","117,812","(+/-6,427)","128,987","(+/-6,659)","108,250","(+/-6,436)","113,733","(+/-7,182)"
People,Ancestry,Italian,"170,085","(+/-9,755)","152,064","(+/-10,187)","133,005","(+/-8,366)","117,502","(+/-8,400)","25,802","(+/-5,224)","31,570","(+/-4,752)","36,564","(+/-2,929)","24,122","(+/-4,655)","16,307","(+/-2,557)","51,052","(+/-5,497)","134,879","(+/-8,982)","55,840","(+/-6,132)","17,295","(+/-3,019)","34,534","(+/-4,322)","11,640","(+/-2,528)","84,275","(+/-7,741)","122,056","(+/-8,543)","113,743","(+/-7,169)","88,713","(+/-5,988)","119,136","(+/-8,542)","75,168","(+/-5,670)","108,535","(+/-6,485)","87,819","(+/-5,568)","95,852","(+/-6,796)","124,595","(+/-6,621)","113,468","(+/-7,056)"
People,Ancestry,Lithuanian,"2,037",(+/-753),"1,966",(+/-982),"2,181",(+/-850),"2,290","(+/-1,240)",688,(+/-569),"1,272",(+/-755),"1,286",(+/-552),586,(+/-666),831,(+/-669),"2,756",(+/-975),"1,422",(+/-843),"2,324","(+/-1,190)","1,394",(+/-670),113,(+/-146),248,(+/-168),"1,400",(+/-872),575,(+/-386),"1,320",(+/-877),"2,224",(+/-761),"2,218",(+/-808),"2,111",(+/-567),"1,577",(+/-643),980,(+/-668),673,(+/-375),"1,843",(+/-616),"1,207",(+/-605)
People,Ancestry,Norwegian,"6,734","(+/-2,130)","3,707","(+/-1,254)","2,959","(+/-1,224)","2,367",(+/-981),398,(+/-347),925,(+/-695),"1,992",(+/-710),415,(+/-253),"1,576",(+/-898),"3,097","(+/-1,482)","2,974","(+/-1,249)","6,829","(+/-3,068)","1,248",(+/-578),490,(+/-327),439,(+/-425),"2,488","(+/-1,028)","2,661",(+/-905),"4,590","(+/-1,364)","4,835","(+/-1,341)","3,797","(+/-1,051)","4,962","(+/-1,235)","3,207","(+/-1,120)","3,512","(+/-1,551)","4,416","(+/-1,224)","3,355",(+/-811),"2,778","(+/-1,520)"
People,Ancestry,Polish,"32,259","(+/-4,645)","23,004","(+/-3,620)","24,999","(+/-3,605)","24,154","(+/-4,592)","8,899","(+/-3,527)","18,838","(+/-2,889)","23,708","(+/-3,386)","5,036","(+/-1,529)","14,524","(+/-3,324)","20,697","(+/-3,039)","16,445","(+/-3,032)","31,343","(+/-5,627)","6,926","(+/-1,942)","5,164","(+/-1,368)","2,323",(+/-870),"16,735","(+/-3,698)","29,951","(+/-4,599)","26,600","(+/-3,281)","32,959","(+/-3,106)","38,067","(+/-3,783)","31,457","(+/-3,963)","50,494","(+/-3,749)","87,977","(+/-6,391)","42,285","(+/-4,253)","34,578","(+/-3,966)","89,955","(+/-6,781)"
People,Ancestry,Portuguese,"3,346","(+/-1,342)","2,209","(+/-1,131)","4,128","(+/-1,644)","2,711","(+/-1,638)",278,(+/-527),438,(+/-287),"1,542",(+/-718),490,(+/-399),756,(+/-583),"1,711",(+/-746),909,(+/-751),"2,164",(+/-933),"2,557","(+/-1,245)","1,685",(+/-903),564,(+/-530),"5,520","(+/-1,938)","3,673","(+/-1,411)","1,758",(+/-799),"1,451",(+/-790),925,(+/-588),984,(+/-417),"1,661",(+/-969),"1,216",(+/-670),871,(+/-406),"1,432",(+/-832),498,(+/-403)
People,Ancestry,Russian,"15,803","(+/-2,932)","5,750","(+/-1,260)","16,895","(+/-2,585)","14,967","(+/-3,692)","4,918","(+/-1,620)","16,410","(+/-4,685)","7,622","(+/-2,330)","18,390","(+/-3,255)","16,251","(+/-3,283)","18,282","(+/-3,406)","16,004","(+/-3,591)","34,689","(+/-5,583)","5,528","(+/-1,660)","2,342","(+/-1,021)","2,467",(+/-740),"14,856","(+/-3,104)","15,254","(+/-2,914)","7,657","(+/-1,481)","9,835","(+/-2,069)","7,450","(+/-1,896)","3,511",(+/-837),"3,572","(+/-1,027)","3,979","(+/-1,373)","4,029","(+/-1,681)","6,678","(+/-1,577)","4,641","(+/-1,323)"
People,Ancestry,Scotch-Irish,"2,433","(+/-1,017)","3,215","(+/-1,647)",785,(+/-615),412,(+/-252),244,(+/-261),294,(+/-258),"2,210",(+/-990),615,(+/-443),"1,210",(+/-540),"2,356",(+/-925),809,(+/-551),"2,811","(+/-1,449)",886,(+/-539),194,(+/-176),124,(+/-167),693,(+/-352),"2,837","(+/-1,009)","5,949","(+/-1,549)","4,686","(+/-1,369)","5,557","(+/-1,431)","5,589","(+/-1,245)","4,243","(+/-1,161)","3,040",(+/-785),"5,121",(+/-994),"3,572","(+/-1,088)","3,828","(+/-1,139)"
People,Ancestry,Scottish,"6,012","(+/-1,445)","5,276","(+/-1,866)","3,476","(+/-1,017)","1,960",(+/-690),"1,155",(+/-492),"2,112","(+/-1,084)","6,242","(+/-1,617)","2,300","(+/-1,462)","1,540",(+/-607),"9,334","(+/-2,117)","2,552",(+/-834),"10,758","(+/-2,410)","2,597",(+/-746),979,(+/-527),997,(+/-670),"4,339","(+/-1,415)","6,275","(+/-1,438)","10,602","(+/-1,755)","13,977","(+/-1,715)","11,806","(+/-2,108)","19,161","(+/-2,105)","9,928","(+/-1,646)","13,357","(+/-2,069)","15,697","(+/-2,257)","11,070","(+/-1,807)","8,942","(+/-1,699)"
People,Ancestry,Slovak,692,(+/-351),599,(+/-462),"1,051",(+/-500),462,(+/-397),0,(+/-217),648,(+/-510),857,(+/-554),132,(+/-168),358,(+/-271),"1,280",(+/-847),945,(+/-601),"1,208",(+/-767),447,(+/-527),185,(+/-254),18,(+/-29),823,(+/-656),"1,807","(+/-1,033)","1,661",(+/-794),"5,068","(+/-1,375)","1,722",(+/-702),991,(+/-419),777,(+/-469),"1,536",(+/-733),"1,169",(+/-760),857,(+/-501),555,(+/-337)
People,Ancestry,"Subsaharan African","3,717","(+/-1,879)","5,017","(+/-2,585)","2,657",(+/-987),"7,884","(+/-3,082)","20,189","(+/-4,131)","7,678","(+/-4,875)","7,458","(+/-2,753)","23,292","(+/-4,571)","18,885","(+/-5,494)","3,615","(+/-1,352)","13,309","(+/-4,993)","8,317","(+/-3,286)","30,116","(+/-6,819)","23,638","(+/-6,497)","45,755","(+/-8,599)","17,104","(+/-4,910)","6,673","(+/-2,473)","4,480","(+/-1,526)","4,844","(+/-1,855)","10,733","(+/-4,052)","2,146",(+/-977),"7,645","(+/-3,418)","1,983","(+/-1,266)","2,545","(+/-1,884)","7,609","(+/-2,163)","10,896","(+/-3,474)"
People,Ancestry,Swedish,"5,469","(+/-1,642)","4,315","(+/-1,213)","1,976",(+/-870),"3,270","(+/-1,195)","1,156",(+/-903),491,(+/-321),"3,628","(+/-1,340)","1,313",(+/-895),827,(+/-448),"3,953",(+/-997),"1,306",(+/-636),"5,197","(+/-2,635)","1,491",(+/-747),762,(+/-482),174,(+/-158),"2,242",(+/-790),"3,821","(+/-1,595)","4,846","(+/-1,563)","6,564","(+/-2,041)","6,502","(+/-1,661)","6,628","(+/-2,338)","4,254","(+/-1,258)","18,153","(+/-2,389)","5,341","(+/-1,077)","5,958","(+/-1,730)","5,326","(+/-1,574)"
People,Ancestry,Swiss,"1,264",(+/-625),437,(+/-295),803,(+/-610),443,(+/-335),23,(+/-39),256,(+/-296),849,(+/-561),441,(+/-386),96,(+/-114),"1,202",(+/-465),154,(+/-200),"3,567","(+/-1,721)","1,209",(+/-848),135,(+/-184),0,(+/-217),"1,091",(+/-611),"2,331","(+/-1,155)","1,039",(+/-682),"1,756",(+/-614),"1,738",(+/-836),"4,165","(+/-1,731)","2,101",(+/-695),"1,774",(+/-764),"4,464","(+/-1,432)","1,099",(+/-473),483,(+/-414)
People,Ancestry,Ukrainian,"3,631",(+/-974),"5,022","(+/-1,823)","3,293","(+/-1,105)","4,499","(+/-1,871)","1,302",(+/-724),"4,338","(+/-1,575)","3,682","(+/-1,272)","19,895","(+/-3,712)","10,113","(+/-3,160)","5,474","(+/-1,427)","16,269","(+/-3,944)","9,570","(+/-2,492)","2,635","(+/-1,103)","1,478",(+/-963),"1,388",(+/-937),"5,843","(+/-1,724)","4,288","(+/-1,608)","4,558","(+/-1,307)","6,118","(+/-1,266)","5,660","(+/-1,489)","3,341",(+/-957),"11,992","(+/-3,418)","4,264","(+/-1,312)","6,778","(+/-1,838)","8,622","(+/-2,326)","6,526","(+/-2,165)"
People,Ancestry,Welsh,"1,816",(+/-863),"1,016",(+/-828),476,(+/-409),616,(+/-450),632,(+/-537),409,(+/-316),"1,246",(+/-614),64,(+/-109),648,(+/-477),"2,206","(+/-1,002)",350,(+/-336),"2,059","(+/-1,086)",847,(+/-469),391,(+/-299),0,(+/-217),908,(+/-475),817,(+/-338),"1,931",(+/-583),"8,304","(+/-1,897)","4,213","(+/-1,296)","5,821","(+/-1,188)","8,439","(+/-1,490)","4,939",(+/-996),"5,725","(+/-1,202)","3,976","(+/-1,076)","3,249","(+/-1,412)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","9,701","(+/-3,007)","25,246","(+/-4,430)","5,724","(+/-1,795)","52,324","(+/-6,114)","112,616","(+/-10,375)","11,510","(+/-2,825)","17,550","(+/-3,959)","84,878","(+/-9,703)","137,210","(+/-10,784)","12,462","(+/-3,569)","12,110","(+/-3,335)","7,720","(+/-2,719)","27,872","(+/-7,096)","31,151","(+/-7,200)","39,315","(+/-6,640)","49,022","(+/-6,600)","22,628","(+/-3,954)","22,572","(+/-4,301)","7,107","(+/-2,190)","8,366","(+/-3,318)","2,146",(+/-971),"7,061","(+/-2,743)",689,(+/-246),"2,683",(+/-963),"9,575","(+/-2,598)","3,255","(+/-1,095)"
People,"Veteran Status","Civilian population 18 years and over","622,416","(+/-8,790)","612,892","(+/-10,249)","616,972","(+/-12,020)","605,244","(+/-5,988)","594,833","(+/-13,728)","608,335","(+/-15,602)","566,213","(+/-13,903)","588,410","(+/-14,271)","579,246","(+/-12,010)","581,124","(+/-15,596)","581,540","(+/-10,561)","619,427","(+/-14,953)","614,567","(+/-13,860)","572,876","(+/-16,423)","550,784","(+/-12,824)","593,411","(+/-7,359)","586,892","(+/-6,064)","613,730","(+/-4,784)","636,542","(+/-4,092)","634,648","(+/-2,541)","615,870","(+/-3,922)","605,658",(+/-752),"613,852","(+/-5,268)","619,076","(+/-3,846)","614,589","(+/-1,453)","619,457","(+/-5,935)"
People,"Veteran Status","Civilian veterans","26,592","(+/-2,531)","24,170","(+/-2,637)","16,377","(+/-2,166)","18,695","(+/-2,542)","13,382","(+/-2,110)","9,117","(+/-1,681)","6,448","(+/-1,461)","10,372","(+/-1,857)","9,792","(+/-1,832)","8,655","(+/-1,997)","14,651","(+/-1,811)","12,252","(+/-2,527)","8,633","(+/-2,269)","9,478","(+/-1,896)","11,967","(+/-1,996)","16,220","(+/-2,287)","21,500","(+/-2,809)","30,678","(+/-2,764)","39,037","(+/-2,642)","32,909","(+/-2,588)","45,701","(+/-3,199)","37,648","(+/-2,331)","47,286","(+/-2,752)","46,614","(+/-3,101)","30,744","(+/-2,216)","31,938","(+/-2,692)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","769,806","(+/-10,555)","771,228","(+/-12,267)","765,517","(+/-13,477)","767,297","(+/-5,673)","746,793","(+/-19,435)","748,483","(+/-21,481)","698,639","(+/-22,318)","749,377","(+/-22,815)","752,638","(+/-19,774)","701,769","(+/-22,937)","734,544","(+/-15,705)","702,581","(+/-18,432)","764,543","(+/-17,098)","723,977","(+/-24,325)","720,759","(+/-19,146)","751,391","(+/-8,918)","760,943","(+/-5,669)","770,206","(+/-5,887)","756,783","(+/-5,024)","774,150","(+/-2,819)","749,574","(+/-4,715)","751,277","(+/-1,224)","760,918","(+/-5,358)","755,754","(+/-4,670)","761,433","(+/-2,126)","764,666","(+/-6,296)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","83,389","(+/-5,548)","89,877","(+/-6,861)","75,512","(+/-5,220)","76,966","(+/-4,808)","88,033","(+/-4,664)","75,630","(+/-6,162)","67,752","(+/-5,392)","115,802","(+/-6,510)","91,315","(+/-6,153)","67,718","(+/-5,280)","85,144","(+/-4,485)","66,857","(+/-6,858)","123,755","(+/-8,651)","102,216","(+/-6,311)","131,184","(+/-7,572)","92,432","(+/-6,612)","75,866","(+/-4,491)","103,965","(+/-5,541)","111,721","(+/-4,919)","97,613","(+/-4,846)","122,387","(+/-4,947)","113,924","(+/-5,900)","119,006","(+/-4,641)","117,516","(+/-5,263)","109,637","(+/-4,716)","102,830","(+/-5,355)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","152,470","(+/-5,105)","161,840","(+/-5,522)","153,287","(+/-6,629)","165,994","(+/-4,863)","156,665","(+/-8,723)","144,019","(+/-9,009)","133,480","(+/-13,160)","165,243","(+/-12,855)","176,724","(+/-12,310)","124,671","(+/-11,083)","157,322","(+/-7,105)","85,532","(+/-6,676)","155,067","(+/-7,366)","157,247","(+/-11,841)","176,475","(+/-10,101)","162,239","(+/-4,816)","183,814","(+/-3,783)","168,133","(+/-2,614)","131,375","(+/-2,090)","144,829","(+/-1,933)","150,320","(+/-2,471)","157,776",(+/-379),"156,148","(+/-4,304)","152,042","(+/-2,923)","153,213",(+/-957),"150,009","(+/-4,757)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","5,600","(+/-1,498)","7,714","(+/-2,321)","4,819","(+/-1,171)","5,600","(+/-1,231)","7,093","(+/-1,858)","3,988","(+/-1,584)","3,384","(+/-1,150)","5,821","(+/-1,562)","5,350","(+/-1,936)","4,947","(+/-1,390)","4,562","(+/-1,292)","2,560","(+/-1,342)","11,799","(+/-2,429)","7,333","(+/-1,738)","14,351","(+/-2,961)","6,888","(+/-1,839)","6,734","(+/-1,637)","6,785","(+/-1,801)","7,782","(+/-1,446)","7,042","(+/-1,833)","8,980","(+/-1,338)","10,369","(+/-1,836)","7,510","(+/-1,853)","10,488","(+/-1,664)","11,287","(+/-2,079)","7,552","(+/-1,673)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","463,042","(+/-8,876)","487,591","(+/-9,821)","450,621","(+/-11,639)","463,464","(+/-6,303)","464,340","(+/-12,123)","458,032","(+/-13,755)","486,572","(+/-14,088)","454,559","(+/-14,237)","452,508","(+/-11,792)","469,765","(+/-14,756)","446,054","(+/-8,687)","478,799","(+/-12,711)","493,996","(+/-12,261)","456,602","(+/-15,898)","450,085","(+/-11,643)","458,197","(+/-6,608)","443,353","(+/-5,730)","467,759","(+/-4,258)","466,584","(+/-3,997)","487,272","(+/-2,659)","442,725","(+/-3,777)","450,601","(+/-1,374)","441,992","(+/-5,923)","449,378","(+/-3,866)","466,052","(+/-1,519)","475,797","(+/-6,250)"
