Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE"
Housing,"Housing Occupancy","Rental vacancy rate",4.1,(+/-1.1),2.4,(+/-0.8),6.9,(+/-1.9),3.4,(+/-1.2),4.8,(+/-1.6),5.4,(+/-1.2),4.0,(+/-1.4),2.9,(+/-0.9),4.2,(+/-1.3),3.0,(+/-1.5),6.5,(+/-1.1),5.8,(+/-1.1),1.9,(+/-0.8),3.1,(+/-1.1),9.0,(+/-1.8),6.2,(+/-1.8),5.4,(+/-1.4),2.2,(+/-0.8),5.7,(+/-1.7),4.8,(+/-1.7),2.3,(+/-0.7),3.5,(+/-1.1),4.2,(+/-1.5),2.9,(+/-0.8),4.3,(+/-1.6),3.2,(+/-1.3),4.2,(+/-1.7),2.8,(+/-0.9),3.0,(+/-0.9),3.7,(+/-0.8),1.0,(+/-0.7),3.7,(+/-0.9),1.8,(+/-0.9),3.5,(+/-0.6),1.7,(+/-1.0),5.0,(+/-1.1),3.9,(+/-1.0),3.2,(+/-1.1),3.8,(+/-1.1),4.2,(+/-1.7),7.4,(+/-1.9),2.7,(+/-0.8),2.2,(+/-0.7),2.2,(+/-0.6),2.7,(+/-1.0),2.3,(+/-1.0),4.8,(+/-1.3),2.4,(+/-1.2),3.8,(+/-1.7),4.3,(+/-1.1),3.3,(+/-1.0),3.3,(+/-0.9)
Housing,"Housing Tenure","Occupied housing units","285,927","(+/-3,639)","303,368","(+/-4,975)","306,342","(+/-4,314)","286,995","(+/-4,440)","287,425","(+/-5,862)","277,199","(+/-5,320)","267,995","(+/-5,973)","258,832","(+/-4,412)","237,295","(+/-3,045)","277,565","(+/-4,318)","330,088","(+/-5,363)","294,683","(+/-4,529)","220,671","(+/-4,211)","248,745","(+/-4,236)","250,186","(+/-4,571)","270,466","(+/-4,412)","269,298","(+/-4,837)","216,834","(+/-4,697)","269,201","(+/-4,797)","271,675","(+/-6,367)","233,080","(+/-5,403)","212,881","(+/-4,638)","247,577","(+/-5,041)","271,492","(+/-3,954)","246,022","(+/-5,425)","248,560","(+/-4,284)","232,683","(+/-4,669)","263,104","(+/-5,617)","237,898","(+/-6,253)","338,183","(+/-5,592)","224,092","(+/-4,476)","303,183","(+/-7,004)","225,076","(+/-5,342)","271,668","(+/-6,345)","220,715","(+/-4,568)","317,931","(+/-7,004)","252,706","(+/-6,941)","222,275","(+/-5,215)","211,319","(+/-5,090)","266,847","(+/-4,804)","265,033","(+/-4,416)","244,322","(+/-5,680)","232,056","(+/-5,344)","230,146","(+/-5,338)","242,812","(+/-5,734)","213,099","(+/-4,486)","299,308","(+/-4,753)","258,130","(+/-6,071)","271,123","(+/-5,581)","307,004","(+/-6,546)","282,964","(+/-6,276)","226,507","(+/-5,404)"
Housing,"Housing Tenure",Owner-occupied,"180,159","(+/-4,770)","192,255","(+/-5,526)","227,374","(+/-4,720)","175,479","(+/-5,292)","204,881","(+/-6,141)","154,717","(+/-4,954)","160,618","(+/-4,906)","158,946","(+/-4,685)","150,173","(+/-3,634)","199,770","(+/-4,845)","120,570","(+/-4,750)","135,382","(+/-4,310)","126,939","(+/-4,829)","157,901","(+/-4,847)","143,697","(+/-3,950)","160,255","(+/-5,126)","138,545","(+/-4,928)","108,688","(+/-4,064)","173,112","(+/-4,190)","181,049","(+/-6,166)","121,212","(+/-5,615)","113,443","(+/-4,592)","159,706","(+/-4,995)","148,428","(+/-4,706)","162,502","(+/-4,767)","166,722","(+/-4,369)","165,440","(+/-5,231)","145,544","(+/-4,264)","95,112","(+/-4,031)","99,642","(+/-4,610)","129,582","(+/-4,629)","163,295","(+/-5,286)","136,495","(+/-4,978)","61,064","(+/-3,351)","129,031","(+/-4,443)","142,332","(+/-5,617)","80,123","(+/-4,008)","147,095","(+/-4,597)","129,436","(+/-5,076)","189,459","(+/-5,300)","195,809","(+/-5,140)","91,505","(+/-4,097)","92,260","(+/-4,542)","114,399","(+/-4,282)","140,006","(+/-4,472)","87,439","(+/-4,308)","148,031","(+/-5,207)","181,748","(+/-6,043)","170,405","(+/-5,716)","145,477","(+/-4,582)","148,925","(+/-5,512)","113,325","(+/-4,416)"
Housing,"Housing Tenure",Renter-occupied,"105,768","(+/-4,834)","111,113","(+/-5,059)","78,968","(+/-3,911)","111,516","(+/-3,946)","82,544","(+/-5,010)","122,482","(+/-4,500)","107,377","(+/-5,761)","99,886","(+/-4,602)","87,122","(+/-3,734)","77,795","(+/-4,435)","209,518","(+/-6,130)","159,301","(+/-4,912)","93,732","(+/-5,185)","90,844","(+/-4,823)","106,489","(+/-3,996)","110,211","(+/-4,242)","130,753","(+/-4,924)","108,146","(+/-4,569)","96,089","(+/-4,825)","90,626","(+/-4,876)","111,868","(+/-5,417)","99,438","(+/-4,328)","87,871","(+/-4,324)","123,064","(+/-4,994)","83,520","(+/-5,126)","81,838","(+/-4,507)","67,243","(+/-4,121)","117,560","(+/-4,358)","142,786","(+/-5,539)","238,541","(+/-6,537)","94,510","(+/-4,237)","139,888","(+/-5,703)","88,581","(+/-4,375)","210,604","(+/-6,046)","91,684","(+/-4,240)","175,599","(+/-6,024)","172,583","(+/-6,799)","75,180","(+/-3,843)","81,883","(+/-4,688)","77,388","(+/-4,280)","69,224","(+/-4,426)","152,817","(+/-5,806)","139,796","(+/-4,771)","115,747","(+/-5,286)","102,806","(+/-4,731)","125,660","(+/-4,909)","151,277","(+/-4,894)","76,382","(+/-4,324)","100,718","(+/-5,340)","161,527","(+/-6,211)","134,039","(+/-6,158)","113,182","(+/-5,022)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.62,(+/-0.05),2.46,(+/-0.04),2.52,(+/-0.04),2.60,(+/-0.06),2.69,(+/-0.05),2.77,(+/-0.06),2.95,(+/-0.07),2.85,(+/-0.06),3.23,(+/-0.07),2.75,(+/-0.04),2.37,(+/-0.06),2.68,(+/-0.06),3.43,(+/-0.08),2.94,(+/-0.06),2.97,(+/-0.08),2.74,(+/-0.06),2.89,(+/-0.06),3.31,(+/-0.09),2.73,(+/-0.06),2.93,(+/-0.06),3.31,(+/-0.11),3.63,(+/-0.10),3.04,(+/-0.08),2.65,(+/-0.06),3.10,(+/-0.08),2.98,(+/-0.07),3.22,(+/-0.07),2.84,(+/-0.06),3.37,(+/-0.09),2.51,(+/-0.07),3.27,(+/-0.08),2.75,(+/-0.07),3.55,(+/-0.09),3.14,(+/-0.12),3.49,(+/-0.08),2.54,(+/-0.06),3.09,(+/-0.11),3.30,(+/-0.08),3.79,(+/-0.11),2.76,(+/-0.05),3.02,(+/-0.06),2.98,(+/-0.09),3.38,(+/-0.10),3.31,(+/-0.08),3.15,(+/-0.08),3.58,(+/-0.13),2.49,(+/-0.05),2.97,(+/-0.07),2.68,(+/-0.06),2.54,(+/-0.06),2.69,(+/-0.06),3.37,(+/-0.09)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.49,(+/-0.08),2.28,(+/-0.08),2.35,(+/-0.09),2.52,(+/-0.08),2.55,(+/-0.12),2.57,(+/-0.07),2.56,(+/-0.09),2.87,(+/-0.08),3.11,(+/-0.10),2.47,(+/-0.08),1.88,(+/-0.04),2.22,(+/-0.06),3.50,(+/-0.12),2.82,(+/-0.10),2.64,(+/-0.08),2.49,(+/-0.08),2.53,(+/-0.07),3.26,(+/-0.11),2.57,(+/-0.08),2.76,(+/-0.10),3.01,(+/-0.10),3.33,(+/-0.12),2.87,(+/-0.10),2.58,(+/-0.07),3.03,(+/-0.12),3.07,(+/-0.09),2.93,(+/-0.12),2.47,(+/-0.07),2.80,(+/-0.07),1.97,(+/-0.04),3.14,(+/-0.12),2.28,(+/-0.06),3.15,(+/-0.12),2.52,(+/-0.06),3.33,(+/-0.11),1.92,(+/-0.04),2.74,(+/-0.07),2.99,(+/-0.13),3.25,(+/-0.13),2.71,(+/-0.11),2.86,(+/-0.12),2.87,(+/-0.08),2.89,(+/-0.09),2.99,(+/-0.10),2.93,(+/-0.12),3.36,(+/-0.09),2.40,(+/-0.07),2.87,(+/-0.13),2.64,(+/-0.10),2.10,(+/-0.05),2.49,(+/-0.08),3.10,(+/-0.09)
Housing,"Year Householder Moved into Unit","Occupied housing units","285,927","(+/-3,639)","303,368","(+/-4,975)","306,342","(+/-4,314)","286,995","(+/-4,440)","287,425","(+/-5,862)","277,199","(+/-5,320)","267,995","(+/-5,973)","258,832","(+/-4,412)","237,295","(+/-3,045)","277,565","(+/-4,318)","330,088","(+/-5,363)","294,683","(+/-4,529)","220,671","(+/-4,211)","248,745","(+/-4,236)","250,186","(+/-4,571)","270,466","(+/-4,412)","269,298","(+/-4,837)","216,834","(+/-4,697)","269,201","(+/-4,797)","271,675","(+/-6,367)","233,080","(+/-5,403)","212,881","(+/-4,638)","247,577","(+/-5,041)","271,492","(+/-3,954)","246,022","(+/-5,425)","248,560","(+/-4,284)","232,683","(+/-4,669)","263,104","(+/-5,617)","237,898","(+/-6,253)","338,183","(+/-5,592)","224,092","(+/-4,476)","303,183","(+/-7,004)","225,076","(+/-5,342)","271,668","(+/-6,345)","220,715","(+/-4,568)","317,931","(+/-7,004)","252,706","(+/-6,941)","222,275","(+/-5,215)","211,319","(+/-5,090)","266,847","(+/-4,804)","265,033","(+/-4,416)","244,322","(+/-5,680)","232,056","(+/-5,344)","230,146","(+/-5,338)","242,812","(+/-5,734)","213,099","(+/-4,486)","299,308","(+/-4,753)","258,130","(+/-6,071)","271,123","(+/-5,581)","307,004","(+/-6,546)","282,964","(+/-6,276)","226,507","(+/-5,404)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","46,905","(+/-3,614)","44,611","(+/-3,546)","46,223","(+/-3,011)","49,517","(+/-3,828)","42,356","(+/-4,332)","46,241","(+/-3,652)","44,818","(+/-3,574)","32,619","(+/-3,240)","34,630","(+/-3,532)","46,251","(+/-3,535)","88,067","(+/-5,784)","64,502","(+/-4,164)","28,023","(+/-3,010)","43,751","(+/-3,689)","47,729","(+/-3,377)","52,575","(+/-4,115)","75,359","(+/-4,486)","36,077","(+/-3,188)","47,705","(+/-3,585)","45,552","(+/-4,018)","32,794","(+/-3,011)","24,181","(+/-2,529)","41,844","(+/-3,583)","50,108","(+/-3,255)","32,408","(+/-3,290)","35,169","(+/-2,994)","30,286","(+/-2,981)","38,217","(+/-3,349)","34,860","(+/-3,274)","76,809","(+/-4,153)","23,126","(+/-2,495)","54,582","(+/-4,078)","29,116","(+/-3,101)","53,598","(+/-3,661)","30,116","(+/-3,472)","65,597","(+/-3,821)","42,583","(+/-3,418)","20,719","(+/-2,660)","31,687","(+/-3,055)","39,195","(+/-3,601)","42,570","(+/-4,234)","35,225","(+/-3,329)","30,870","(+/-3,019)","25,750","(+/-2,971)","38,263","(+/-3,255)","34,833","(+/-3,339)","68,995","(+/-4,739)","35,135","(+/-2,896)","45,905","(+/-4,404)","72,066","(+/-5,125)","52,109","(+/-3,826)","33,438","(+/-3,844)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","72,398","(+/-3,920)","59,899","(+/-3,958)","70,733","(+/-4,848)","64,462","(+/-4,317)","61,715","(+/-4,801)","71,912","(+/-4,025)","56,994","(+/-4,454)","56,029","(+/-4,011)","50,986","(+/-3,816)","54,602","(+/-4,066)","62,527","(+/-3,961)","57,127","(+/-4,145)","48,278","(+/-3,601)","51,638","(+/-3,638)","44,772","(+/-2,934)","49,841","(+/-3,708)","52,761","(+/-3,744)","42,677","(+/-3,420)","50,691","(+/-3,681)","71,444","(+/-4,992)","58,147","(+/-4,400)","52,813","(+/-4,060)","61,682","(+/-3,935)","54,313","(+/-3,555)","55,383","(+/-3,597)","50,333","(+/-3,859)","52,386","(+/-4,091)","46,039","(+/-3,761)","46,261","(+/-3,186)","72,399","(+/-4,642)","41,777","(+/-2,993)","65,222","(+/-4,715)","49,824","(+/-3,798)","54,480","(+/-3,394)","52,664","(+/-3,706)","67,664","(+/-4,752)","49,159","(+/-3,934)","40,459","(+/-3,441)","52,286","(+/-4,440)","50,600","(+/-3,676)","63,022","(+/-4,604)","55,750","(+/-4,924)","46,307","(+/-3,302)","41,738","(+/-3,765)","43,627","(+/-3,677)","48,675","(+/-3,945)","78,553","(+/-5,481)","61,920","(+/-4,355)","63,727","(+/-4,169)","83,787","(+/-4,409)","69,135","(+/-5,136)","48,089","(+/-3,183)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","69,401","(+/-3,928)","72,812","(+/-4,289)","84,196","(+/-4,739)","71,767","(+/-3,834)","81,814","(+/-4,270)","80,394","(+/-4,263)","82,483","(+/-5,169)","75,088","(+/-4,863)","73,982","(+/-4,546)","77,888","(+/-4,182)","64,921","(+/-4,634)","69,690","(+/-4,230)","73,030","(+/-3,815)","64,698","(+/-3,570)","54,717","(+/-3,440)","61,365","(+/-3,455)","54,542","(+/-3,912)","60,868","(+/-3,411)","66,840","(+/-3,846)","74,499","(+/-4,530)","71,451","(+/-4,188)","62,634","(+/-3,797)","73,889","(+/-3,666)","68,366","(+/-3,167)","83,402","(+/-5,356)","60,586","(+/-3,616)","66,661","(+/-3,715)","71,623","(+/-4,215)","69,313","(+/-4,226)","85,358","(+/-4,713)","60,531","(+/-3,702)","74,281","(+/-3,985)","66,651","(+/-4,146)","75,454","(+/-3,939)","62,704","(+/-3,574)","72,805","(+/-4,317)","69,211","(+/-3,143)","55,966","(+/-3,331)","58,699","(+/-4,044)","68,972","(+/-4,087)","79,054","(+/-4,400)","69,618","(+/-3,825)","65,873","(+/-4,295)","67,898","(+/-4,103)","58,432","(+/-4,043)","57,720","(+/-4,407)","67,723","(+/-4,882)","72,977","(+/-4,022)","70,877","(+/-4,120)","72,263","(+/-4,434)","69,220","(+/-4,293)","64,748","(+/-4,119)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","46,455","(+/-3,174)","52,473","(+/-3,953)","50,297","(+/-4,034)","49,021","(+/-3,799)","49,636","(+/-3,520)","38,503","(+/-3,196)","45,494","(+/-3,589)","40,986","(+/-3,265)","40,538","(+/-3,167)","46,886","(+/-2,916)","51,699","(+/-3,387)","46,004","(+/-3,297)","38,501","(+/-3,427)","40,535","(+/-2,844)","38,802","(+/-2,681)","44,672","(+/-3,899)","37,103","(+/-3,222)","41,038","(+/-2,999)","45,259","(+/-2,874)","41,388","(+/-3,197)","36,890","(+/-3,818)","37,477","(+/-2,997)","38,141","(+/-3,477)","44,876","(+/-2,830)","46,274","(+/-4,323)","46,555","(+/-3,253)","45,012","(+/-3,153)","46,055","(+/-3,317)","43,457","(+/-2,923)","47,526","(+/-3,219)","41,320","(+/-3,546)","48,436","(+/-3,736)","41,784","(+/-3,099)","44,929","(+/-3,115)","38,391","(+/-2,831)","47,223","(+/-3,738)","45,969","(+/-3,080)","41,948","(+/-3,417)","36,510","(+/-2,786)","44,249","(+/-3,856)","48,875","(+/-3,542)","40,429","(+/-3,230)","41,181","(+/-2,929)","43,225","(+/-2,972)","42,820","(+/-3,612)","37,889","(+/-2,988)","37,333","(+/-2,954)","45,959","(+/-3,370)","43,915","(+/-3,296)","40,254","(+/-3,370)","38,967","(+/-3,082)","37,950","(+/-3,314)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","25,347","(+/-2,381)","35,981","(+/-2,991)","29,776","(+/-2,710)","27,046","(+/-2,525)","30,827","(+/-2,456)","20,699","(+/-2,282)","19,964","(+/-1,795)","26,728","(+/-2,523)","17,078","(+/-1,913)","26,643","(+/-2,820)","31,404","(+/-2,910)","28,933","(+/-2,478)","16,011","(+/-1,854)","23,280","(+/-2,418)","27,813","(+/-2,001)","27,528","(+/-2,451)","24,998","(+/-2,466)","19,347","(+/-2,133)","28,614","(+/-2,595)","22,398","(+/-2,412)","16,849","(+/-2,244)","20,131","(+/-2,174)","18,095","(+/-1,847)","26,890","(+/-2,195)","15,654","(+/-2,087)","29,708","(+/-2,318)","21,090","(+/-2,407)","26,807","(+/-2,526)","24,252","(+/-2,300)","32,111","(+/-3,074)","26,730","(+/-2,559)","28,588","(+/-2,521)","21,187","(+/-2,798)","23,753","(+/-2,138)","20,963","(+/-1,759)","32,197","(+/-2,751)","24,248","(+/-2,332)","29,213","(+/-2,350)","16,894","(+/-1,819)","38,496","(+/-2,729)","19,671","(+/-2,236)","24,171","(+/-2,759)","23,897","(+/-2,528)","27,990","(+/-2,279)","32,246","(+/-2,538)","19,398","(+/-2,134)","23,182","(+/-2,387)","25,790","(+/-2,634)","25,573","(+/-2,271)","20,572","(+/-2,066)","28,389","(+/-2,661)","19,736","(+/-2,453)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","25,421","(+/-2,180)","37,592","(+/-2,637)","25,117","(+/-2,724)","25,182","(+/-2,284)","21,077","(+/-1,980)","19,450","(+/-1,778)","18,242","(+/-2,027)","27,382","(+/-2,481)","20,081","(+/-2,060)","25,295","(+/-2,280)","31,470","(+/-3,062)","28,427","(+/-2,601)","16,828","(+/-1,982)","24,843","(+/-2,121)","36,353","(+/-2,961)","34,485","(+/-2,750)","24,535","(+/-2,342)","16,827","(+/-1,858)","30,092","(+/-2,361)","16,394","(+/-1,903)","16,949","(+/-1,873)","15,645","(+/-1,839)","13,926","(+/-1,982)","26,939","(+/-2,564)","12,901","(+/-2,066)","26,209","(+/-2,073)","17,248","(+/-1,905)","34,363","(+/-2,851)","19,755","(+/-2,142)","23,980","(+/-2,571)","30,608","(+/-2,705)","32,074","(+/-3,055)","16,514","(+/-2,231)","19,454","(+/-1,774)","15,877","(+/-1,852)","32,445","(+/-2,654)","21,536","(+/-2,140)","33,970","(+/-2,541)","15,243","(+/-2,105)","25,335","(+/-2,730)","11,841","(+/-1,690)","19,129","(+/-2,065)","23,928","(+/-2,262)","23,545","(+/-2,124)","27,424","(+/-2,373)","14,584","(+/-1,679)","23,522","(+/-2,499)","16,349","(+/-2,079)","21,126","(+/-2,423)","18,062","(+/-1,949)","25,144","(+/-2,427)","22,546","(+/-2,166)"
Housing,Value,"Owner-occupied units","180,159","(+/-4,770)","192,255","(+/-5,526)","227,374","(+/-4,720)","175,479","(+/-5,292)","204,881","(+/-6,141)","154,717","(+/-4,954)","160,618","(+/-4,906)","158,946","(+/-4,685)","150,173","(+/-3,634)","199,770","(+/-4,845)","120,570","(+/-4,750)","135,382","(+/-4,310)","126,939","(+/-4,829)","157,901","(+/-4,847)","143,697","(+/-3,950)","160,255","(+/-5,126)","138,545","(+/-4,928)","108,688","(+/-4,064)","173,112","(+/-4,190)","181,049","(+/-6,166)","121,212","(+/-5,615)","113,443","(+/-4,592)","159,706","(+/-4,995)","148,428","(+/-4,706)","162,502","(+/-4,767)","166,722","(+/-4,369)","165,440","(+/-5,231)","145,544","(+/-4,264)","95,112","(+/-4,031)","99,642","(+/-4,610)","129,582","(+/-4,629)","163,295","(+/-5,286)","136,495","(+/-4,978)","61,064","(+/-3,351)","129,031","(+/-4,443)","142,332","(+/-5,617)","80,123","(+/-4,008)","147,095","(+/-4,597)","129,436","(+/-5,076)","189,459","(+/-5,300)","195,809","(+/-5,140)","91,505","(+/-4,097)","92,260","(+/-4,542)","114,399","(+/-4,282)","140,006","(+/-4,472)","87,439","(+/-4,308)","148,031","(+/-5,207)","181,748","(+/-6,043)","170,405","(+/-5,716)","145,477","(+/-4,582)","148,925","(+/-5,512)","113,325","(+/-4,416)"
Housing,Value,"Less than $50,000","10,465","(+/-2,057)","4,928","(+/-1,021)","5,533","(+/-1,309)","4,282","(+/-1,116)","5,548","(+/-1,203)","5,712","(+/-1,526)","5,747","(+/-1,267)","2,710",(+/-863),"3,057",(+/-838),"2,812",(+/-893),"1,587",(+/-693),"1,789",(+/-720),"4,820","(+/-1,109)","1,877",(+/-641),"1,277",(+/-489),"2,172",(+/-663),"2,902",(+/-967),"3,067",(+/-798),"2,668",(+/-627),"8,833","(+/-1,925)","6,167","(+/-1,158)","5,175","(+/-1,028)","7,962","(+/-1,506)","4,128",(+/-876),"12,769","(+/-2,036)","3,102",(+/-953),"4,128","(+/-1,150)","1,768",(+/-587),"1,732",(+/-575),930,(+/-432),"3,125",(+/-840),"2,655",(+/-804),"4,561","(+/-1,113)",971,(+/-417),"4,581","(+/-1,078)","3,011",(+/-793),"1,044",(+/-374),"2,555",(+/-708),"4,502","(+/-1,038)","2,587",(+/-763),"4,592","(+/-1,284)","2,096",(+/-762),"2,635",(+/-684),"3,325","(+/-1,030)","2,074",(+/-797),"1,959",(+/-438),"3,051",(+/-809),"4,054","(+/-1,036)","2,253",(+/-780),"1,866",(+/-645),"3,073",(+/-976),"3,290",(+/-802)
Housing,Value,"$50,000 to $99,999","5,505","(+/-1,131)","3,873","(+/-1,025)","3,563",(+/-784),"4,207","(+/-1,090)","3,986","(+/-1,037)","2,803","(+/-1,100)","2,856",(+/-789),"2,852",(+/-834),"1,982",(+/-723),"1,701",(+/-673),173,(+/-167),"1,287",(+/-517),"3,683",(+/-955),"1,938",(+/-726),"1,271",(+/-576),636,(+/-487),671,(+/-274),"1,465",(+/-627),"1,527",(+/-633),"2,765",(+/-818),"2,632",(+/-855),"5,531","(+/-1,299)","4,901","(+/-1,170)","2,481",(+/-792),"7,059","(+/-1,443)","3,123",(+/-733),"2,813",(+/-903),930,(+/-413),"2,247",(+/-765),419,(+/-211),"4,434","(+/-1,112)",705,(+/-387),"5,013","(+/-1,243)",713,(+/-365),"5,001","(+/-1,162)",643,(+/-392),965,(+/-458),"3,341",(+/-768),"4,753","(+/-1,215)","1,496",(+/-491),"4,290",(+/-901),936,(+/-354),"1,564",(+/-605),"3,845",(+/-991),"2,693","(+/-1,030)","2,477",(+/-665),"1,746",(+/-599),"3,748","(+/-1,037)","2,336",(+/-883),935,(+/-396),"1,472",(+/-622),"2,704",(+/-642)
Housing,Value,"$100,000 to $149,999","7,307","(+/-1,240)","3,632","(+/-1,285)","3,030",(+/-867),"4,436",(+/-942),"2,544",(+/-713),"1,347",(+/-560),"1,423",(+/-557),"1,729",(+/-669),804,(+/-343),528,(+/-262),"1,190",(+/-671),"1,081",(+/-516),"2,331",(+/-729),"1,664",(+/-538),"1,507",(+/-549),"1,320",(+/-733),"1,051",(+/-363),"1,690",(+/-691),"1,545",(+/-644),"3,747","(+/-1,003)","3,636","(+/-1,169)","5,705","(+/-1,270)","3,353",(+/-781),"2,849","(+/-1,085)","5,837","(+/-1,229)","1,543",(+/-582),"1,826",(+/-526),752,(+/-389),915,(+/-396),"1,019",(+/-587),"1,565",(+/-751),"1,105",(+/-387),"2,414",(+/-656),600,(+/-271),"1,977",(+/-847),835,(+/-466),762,(+/-464),"1,033",(+/-833),"1,365",(+/-497),"1,712",(+/-685),"3,044","(+/-1,052)",520,(+/-314),826,(+/-554),"1,206",(+/-530),"2,218",(+/-711),"2,213",(+/-919),"1,186",(+/-468),"2,951",(+/-826),"1,726",(+/-696),730,(+/-416),"1,126",(+/-566),"1,228",(+/-493)
Housing,Value,"$150,000 to $199,999","9,092","(+/-1,389)","2,598",(+/-764),"4,000","(+/-1,273)","4,071","(+/-1,026)","3,107",(+/-958),"1,904",(+/-666),"1,626",(+/-569),"1,355",(+/-728),"2,925","(+/-1,023)","1,693",(+/-828),304,(+/-228),453,(+/-307),"3,265",(+/-907),"1,343",(+/-533),601,(+/-334),952,(+/-431),"1,840",(+/-841),"2,030",(+/-744),"1,077",(+/-450),"6,130","(+/-1,159)","7,083","(+/-1,500)","10,413","(+/-1,737)","4,057","(+/-1,223)","1,772",(+/-560),"5,593","(+/-1,089)","1,096",(+/-450),"2,473","(+/-1,060)",138,(+/-150),379,(+/-309),119,(+/-144),"1,314",(+/-580),664,(+/-376),918,(+/-459),194,(+/-204),"1,502",(+/-637),335,(+/-221),245,(+/-250),861,(+/-371),"1,348",(+/-547),"1,876",(+/-823),"3,891","(+/-1,001)",181,(+/-172),361,(+/-269),"1,019",(+/-487),"1,208",(+/-533),"1,351",(+/-596),"1,785",(+/-751),"2,943",(+/-953),"1,144",(+/-457),"1,214",(+/-663),988,(+/-523),"1,240",(+/-543)
Housing,Value,"$200,000 to $299,999","28,985","(+/-2,506)","10,632","(+/-1,712)","5,925","(+/-1,268)","7,531","(+/-1,519)","12,881","(+/-1,823)","8,852","(+/-1,282)","6,253","(+/-1,201)","2,768",(+/-743),"6,740","(+/-1,312)","2,353",(+/-885),"1,151",(+/-383),"1,712",(+/-651),"17,457","(+/-2,274)","2,003",(+/-622),"1,021",(+/-509),"2,218",(+/-669),"2,806",(+/-907),"1,071",(+/-482),"2,529",(+/-791),"24,200","(+/-2,728)","32,036","(+/-3,436)","39,953","(+/-3,174)","19,545","(+/-2,721)","4,816",(+/-950),"26,047","(+/-3,153)","1,741",(+/-586),"4,812","(+/-1,181)",415,(+/-274),"1,512",(+/-692),452,(+/-260),"1,637",(+/-719),"1,662",(+/-603),"4,939","(+/-1,204)",617,(+/-292),"1,718",(+/-520),"1,222",(+/-576),549,(+/-309),"1,522",(+/-719),"3,295",(+/-981),"2,633",(+/-796),"7,512","(+/-1,221)","1,204",(+/-547),"1,026",(+/-439),"3,162","(+/-1,203)","1,673",(+/-717),"1,853",(+/-787),"3,518",(+/-916),"4,906","(+/-1,309)","2,217",(+/-772),"1,388",(+/-446),"1,709",(+/-562),"1,614",(+/-583)
