Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,Ancestry,Norwegian,"3,558","(+/-1,238)",919,(+/-626),"2,080",(+/-831),"2,721","(+/-1,181)","2,244",(+/-899),"4,214","(+/-1,303)","3,697","(+/-1,469)","2,877","(+/-1,395)","2,237",(+/-674),"1,870",(+/-750),"2,625","(+/-1,225)","3,466","(+/-1,910)","1,726",(+/-591),"2,136","(+/-1,150)","2,903","(+/-1,026)","2,302",(+/-726),"1,849",(+/-878)
People,Ancestry,Polish,"45,817","(+/-4,254)","23,210","(+/-3,708)","18,031","(+/-3,414)","42,916","(+/-4,444)","28,080","(+/-3,279)","33,115","(+/-3,594)","29,049","(+/-3,460)","92,922","(+/-6,486)","50,946","(+/-4,725)","24,032","(+/-3,514)","17,598","(+/-2,502)","58,615","(+/-4,963)","26,687","(+/-3,046)","53,198","(+/-4,203)","30,436","(+/-3,346)","57,643","(+/-5,266)","57,117","(+/-5,186)"
People,Ancestry,Portuguese,"2,034",(+/-875),"2,396","(+/-1,641)","1,492",(+/-723),"1,526","(+/-1,077)","1,668",(+/-759),"2,540","(+/-1,345)","4,544","(+/-2,133)","2,580","(+/-1,205)",624,(+/-396),"1,605","(+/-1,125)",616,(+/-466),502,(+/-311),605,(+/-387),413,(+/-304),313,(+/-203),"1,040",(+/-496),375,(+/-259)
People,Ancestry,Russian,"12,670","(+/-2,483)","5,427","(+/-1,892)","6,995","(+/-1,421)","13,532","(+/-2,259)","6,713","(+/-1,443)","7,532","(+/-1,746)","5,050","(+/-1,617)","15,574","(+/-3,136)","5,422","(+/-1,518)","3,592","(+/-1,105)","2,116",(+/-808),"8,731","(+/-1,981)","1,787",(+/-628),"9,144","(+/-2,519)","4,008","(+/-1,201)","3,786",(+/-851),"9,381","(+/-3,169)"
People,Ancestry,Scotch-Irish,"5,314","(+/-1,852)","1,822","(+/-1,201)","1,792",(+/-700),"4,396","(+/-1,281)","2,984",(+/-861),"5,880","(+/-1,373)","3,297",(+/-882),"1,890",(+/-614),"3,349",(+/-911),"7,810","(+/-1,778)","6,831","(+/-1,551)","9,757","(+/-1,791)","7,641","(+/-1,317)","11,401","(+/-1,495)","7,231","(+/-1,293)","12,696","(+/-2,037)","14,978","(+/-2,766)"
People,Ancestry,Scottish,"12,789","(+/-2,009)","5,787","(+/-1,924)","6,724","(+/-1,975)","13,204","(+/-2,332)","8,325","(+/-1,974)","12,667","(+/-1,735)","8,871","(+/-1,927)","7,123","(+/-1,403)","8,925","(+/-1,620)","11,425","(+/-1,607)","15,931","(+/-4,274)","12,401","(+/-2,034)","12,730","(+/-1,720)","12,305","(+/-2,132)","14,915","(+/-2,335)","17,259","(+/-2,612)","12,940","(+/-2,355)"
People,Ancestry,Slovak,"3,489","(+/-1,068)","1,030",(+/-544),"1,843","(+/-1,085)","4,261","(+/-1,196)","2,337","(+/-1,434)","4,169","(+/-1,218)","13,520","(+/-2,630)","15,210","(+/-2,516)","7,214","(+/-1,308)","3,332","(+/-1,070)","2,500",(+/-852),"23,113","(+/-2,808)","8,311","(+/-1,326)","26,857","(+/-3,437)","7,478","(+/-1,275)","12,750","(+/-2,178)","18,735","(+/-2,683)"
People,Ancestry,"Subsaharan African","3,744","(+/-1,681)","12,265","(+/-4,717)","20,180","(+/-5,169)","6,861","(+/-2,419)","25,428","(+/-5,947)","6,844","(+/-2,361)","5,764","(+/-2,572)","4,413","(+/-1,933)","2,764","(+/-1,020)","6,637","(+/-2,074)","5,413","(+/-2,123)","6,238","(+/-2,201)","3,105","(+/-2,511)",958,(+/-810),"1,397",(+/-658),"5,745","(+/-2,311)","4,960","(+/-2,369)"
People,Ancestry,Swedish,"4,808","(+/-1,418)","1,440",(+/-741),"3,281","(+/-1,021)","5,085","(+/-1,368)","3,751","(+/-1,121)","6,116","(+/-1,799)","2,598",(+/-910),"2,581",(+/-846),"3,718",(+/-989),"5,182","(+/-1,481)","4,290","(+/-1,337)","6,220","(+/-1,631)","5,418","(+/-1,889)","5,668","(+/-1,779)","13,891","(+/-2,072)","10,404","(+/-1,992)","5,598","(+/-1,299)"
People,Ancestry,Swiss,"2,957",(+/-999),592,(+/-831),"1,206",(+/-542),"2,692","(+/-1,116)","2,005",(+/-983),"6,205","(+/-4,119)","2,402","(+/-1,019)",556,(+/-316),"5,169","(+/-1,888)","5,332","(+/-1,989)","20,305","(+/-3,638)","1,476",(+/-694),"4,976","(+/-1,418)","2,411",(+/-784),"5,208","(+/-1,429)","2,502","(+/-1,141)","2,137",(+/-751)
People,Ancestry,Ukrainian,"12,237","(+/-2,524)","12,155","(+/-3,633)","3,424",(+/-998),"8,958","(+/-1,858)","5,367","(+/-1,446)","6,782","(+/-1,709)","6,153","(+/-1,298)","7,186","(+/-1,387)","7,061","(+/-1,360)","2,884","(+/-1,151)","3,117","(+/-1,073)","6,456","(+/-1,353)","1,935",(+/-628),"4,698","(+/-1,524)","3,735","(+/-1,212)","5,870","(+/-1,661)","7,173","(+/-1,325)"
People,Ancestry,Welsh,"5,330","(+/-1,337)","2,032","(+/-1,096)","2,357",(+/-999),"7,304","(+/-1,694)","3,650","(+/-1,114)","8,242","(+/-1,659)","6,846","(+/-1,298)","18,630","(+/-2,790)","11,195","(+/-1,815)","6,119","(+/-1,213)","6,456","(+/-1,472)","6,474","(+/-1,362)","7,163","(+/-1,310)","6,300","(+/-1,833)","6,617","(+/-1,686)","6,769","(+/-1,661)","7,025","(+/-1,482)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","3,412","(+/-1,787)","16,456","(+/-4,882)","12,608","(+/-3,098)","6,588","(+/-1,967)","13,107","(+/-5,083)","3,793","(+/-1,351)","4,922","(+/-1,957)","6,432","(+/-1,692)","1,859","(+/-1,043)","1,523",(+/-785),"3,378","(+/-1,860)","3,134","(+/-1,666)",994,(+/-765),668,(+/-560),"1,077",(+/-478),750,(+/-586),682,(+/-454)
People,"Veteran Status","Civilian population 18 years and over","609,368","(+/-4,766)","553,336","(+/-13,303)","624,878","(+/-13,849)","617,889","(+/-6,972)","599,476","(+/-6,363)","599,914","(+/-4,787)","614,285","(+/-2,749)","616,891","(+/-3,656)","606,885","(+/-4,334)","607,537","(+/-5,845)","598,471","(+/-4,996)","627,775","(+/-8,859)","611,088","(+/-2,655)","616,982","(+/-4,250)","622,151","(+/-3,087)","611,707","(+/-1,373)","602,802","(+/-8,114)"
People,"Veteran Status","Civilian veterans","35,933","(+/-2,638)","19,582","(+/-2,987)","23,362","(+/-3,649)","30,364","(+/-2,221)","27,060","(+/-3,279)","30,508","(+/-2,332)","37,115","(+/-3,042)","39,202","(+/-2,494)","45,419","(+/-2,468)","46,193","(+/-3,303)","38,700","(+/-2,963)","37,408","(+/-2,840)","51,334","(+/-2,724)","46,990","(+/-2,658)","45,156","(+/-2,305)","46,794","(+/-2,569)","37,316","(+/-3,382)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","752,794","(+/-6,275)","711,643","(+/-17,677)","767,119","(+/-18,596)","768,054","(+/-9,700)","761,082","(+/-8,058)","765,590","(+/-5,898)","766,123","(+/-3,667)","753,163","(+/-4,604)","740,994","(+/-6,302)","766,766","(+/-7,970)","759,919","(+/-7,184)","751,657","(+/-10,933)","752,802","(+/-3,858)","740,323","(+/-5,759)","737,013","(+/-3,705)","748,308","(+/-1,916)","746,493","(+/-9,921)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","85,613","(+/-5,106)","130,053","(+/-8,792)","128,600","(+/-8,811)","87,409","(+/-4,882)","99,498","(+/-6,313)","90,171","(+/-4,834)","105,493","(+/-6,237)","112,674","(+/-5,182)","114,361","(+/-5,073)","109,122","(+/-6,234)","92,057","(+/-5,007)","115,830","(+/-6,288)","120,772","(+/-5,087)","125,104","(+/-5,008)","118,440","(+/-4,687)","121,525","(+/-5,886)","106,342","(+/-5,733)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","149,782","(+/-2,912)","164,191","(+/-8,446)","146,508","(+/-8,650)","161,934","(+/-4,705)","168,432","(+/-4,537)","170,811","(+/-3,000)","159,523","(+/-1,450)","149,181","(+/-1,792)","152,985","(+/-3,160)","169,884","(+/-3,928)","169,234","(+/-3,371)","130,396","(+/-5,579)","152,728","(+/-2,341)","138,253","(+/-2,743)","136,318","(+/-1,760)","148,956","(+/-1,080)","148,990","(+/-5,268)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","5,720","(+/-1,543)","15,244","(+/-3,584)","6,844","(+/-2,225)","7,684","(+/-1,521)","6,645","(+/-1,777)","9,948","(+/-1,822)","8,832","(+/-2,127)","8,591","(+/-1,671)","9,040","(+/-1,349)","9,780","(+/-2,020)","9,005","(+/-2,000)","7,634","(+/-1,758)","9,326","(+/-1,809)","7,972","(+/-1,447)","8,245","(+/-1,252)","11,755","(+/-2,259)","7,802","(+/-1,771)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","450,723","(+/-4,867)","440,130","(+/-12,259)","512,694","(+/-12,786)","457,352","(+/-6,692)","469,514","(+/-6,282)","463,440","(+/-4,546)","465,112","(+/-2,827)","452,001","(+/-3,411)","432,525","(+/-4,126)","459,090","(+/-5,407)","441,892","(+/-4,649)","471,596","(+/-8,954)","438,796","(+/-2,687)","433,525","(+/-4,233)","445,844","(+/-2,490)","442,471","(+/-1,628)","438,181","(+/-8,013)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","37,733","(+/-3,731)","71,012","(+/-6,158)","77,545","(+/-6,833)","39,913","(+/-3,605)","54,382","(+/-4,615)","44,199","(+/-3,357)","51,835","(+/-4,651)","58,625","(+/-4,194)","57,033","(+/-3,808)","54,838","(+/-4,415)","39,493","(+/-3,229)","58,360","(+/-4,751)","55,381","(+/-3,705)","61,245","(+/-3,590)","58,108","(+/-3,351)","59,895","(+/-4,192)","49,136","(+/-4,330)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","152,289","(+/-2,389)","107,322","(+/-4,595)","107,917","(+/-4,997)","148,768","(+/-4,042)","123,136","(+/-3,069)","131,339","(+/-2,357)","141,488","(+/-1,106)","151,981","(+/-1,688)","155,484","(+/-2,071)","137,792","(+/-2,986)","148,793","(+/-2,694)","149,665","(+/-4,719)","161,278","(+/-1,332)","168,545","(+/-2,608)","154,851","(+/-1,768)","156,881","(+/-1,117)","159,322","(+/-3,711)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","42,160","(+/-2,686)","43,797","(+/-3,647)","44,211","(+/-4,054)","39,812","(+/-2,721)","38,471","(+/-2,831)","36,024","(+/-2,368)","44,826","(+/-2,957)","45,458","(+/-2,578)","48,288","(+/-2,492)","44,504","(+/-3,225)","43,559","(+/-2,979)","49,836","(+/-3,185)","56,065","(+/-2,788)","55,887","(+/-2,627)","52,087","(+/-2,723)","49,875","(+/-2,708)","49,404","(+/-2,961)"
People,"Residence 1 Year Ago","Population 1 year and over","754,845","(+/-6,169)","707,824","(+/-17,249)","764,780","(+/-18,142)","773,310","(+/-9,631)","760,022","(+/-8,072)","763,437","(+/-6,034)","765,852","(+/-4,178)","759,909","(+/-4,594)","753,663","(+/-6,388)","770,234","(+/-8,449)","759,289","(+/-6,863)","752,560","(+/-10,860)","757,734","(+/-3,558)","749,186","(+/-5,628)","753,611","(+/-3,636)","754,418","(+/-2,191)","744,762","(+/-10,015)"
People,"Residence 1 Year Ago","Same house","686,290","(+/-8,596)","618,521","(+/-19,054)","654,381","(+/-18,130)","696,694","(+/-10,693)","690,161","(+/-11,482)","678,393","(+/-9,345)","695,386","(+/-8,237)","669,272","(+/-9,277)","684,427","(+/-7,990)","678,135","(+/-11,360)","680,246","(+/-9,136)","657,739","(+/-13,629)","691,762","(+/-5,934)","682,103","(+/-7,169)","654,706","(+/-6,343)","674,123","(+/-7,273)","674,107","(+/-10,741)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","68,555","(+/-7,232)","89,303","(+/-10,131)","110,399","(+/-8,275)","76,616","(+/-6,892)","69,861","(+/-7,417)","85,044","(+/-7,979)","70,466","(+/-8,056)","90,637","(+/-7,957)","69,236","(+/-4,965)","92,099","(+/-8,749)","79,043","(+/-7,075)","94,821","(+/-6,138)","65,972","(+/-4,527)","67,083","(+/-5,540)","98,905","(+/-5,359)","80,295","(+/-6,675)","70,655","(+/-6,701)"
People,"Residence 1 Year Ago","Different house in the U.S.","66,331","(+/-7,180)","81,878","(+/-9,731)","102,623","(+/-7,439)","73,882","(+/-6,877)","66,443","(+/-7,275)","81,670","(+/-7,679)","66,938","(+/-7,932)","87,432","(+/-7,995)","68,644","(+/-4,985)","89,837","(+/-8,717)","77,402","(+/-6,698)","90,514","(+/-6,022)","64,566","(+/-4,555)","64,493","(+/-5,591)","94,952","(+/-5,403)","77,431","(+/-6,657)","66,880","(+/-6,551)"
People,"Residence 1 Year Ago","Same county","34,076","(+/-5,874)","55,162","(+/-8,434)","55,638","(+/-5,662)","39,646","(+/-5,684)","35,892","(+/-5,590)","43,505","(+/-6,235)","30,953","(+/-5,371)","42,967","(+/-4,945)","34,874","(+/-4,309)","49,013","(+/-7,357)","47,345","(+/-5,244)","57,955","(+/-5,417)","34,447","(+/-3,185)","36,672","(+/-4,172)","44,560","(+/-4,684)","44,349","(+/-4,624)","44,820","(+/-5,173)"
People,"Residence 1 Year Ago","Different county","32,255","(+/-4,854)","26,716","(+/-5,551)","46,985","(+/-5,360)","34,236","(+/-4,104)","30,551","(+/-3,971)","38,165","(+/-5,079)","35,985","(+/-5,525)","44,465","(+/-5,737)","33,770","(+/-3,861)","40,824","(+/-5,575)","30,057","(+/-4,362)","32,559","(+/-3,390)","30,119","(+/-3,241)","27,821","(+/-3,107)","50,392","(+/-3,762)","33,082","(+/-4,033)","22,060","(+/-3,583)"
People,"Residence 1 Year Ago","Same state","19,038","(+/-3,573)","13,235","(+/-5,620)","14,951","(+/-2,695)","22,747","(+/-3,251)","16,977","(+/-3,276)","22,694","(+/-3,233)","20,285","(+/-3,849)","19,443","(+/-3,321)","24,863","(+/-3,330)","25,048","(+/-3,505)","15,828","(+/-3,290)","13,054","(+/-2,086)","16,420","(+/-1,953)","19,871","(+/-2,126)","31,132","(+/-2,729)","20,196","(+/-3,270)","11,560","(+/-2,733)"
People,"Residence 1 Year Ago","Different state","13,217","(+/-2,868)","13,481","(+/-3,155)","32,034","(+/-5,072)","11,489","(+/-2,709)","13,574","(+/-2,179)","15,471","(+/-3,475)","15,700","(+/-4,744)","25,022","(+/-4,528)","8,907","(+/-2,428)","15,776","(+/-4,208)","14,229","(+/-2,992)","19,505","(+/-2,783)","13,699","(+/-2,477)","7,950","(+/-2,301)","19,260","(+/-3,191)","12,886","(+/-2,496)","10,500","(+/-2,332)"
People,"Residence 1 Year Ago",Abroad,"2,224","(+/-1,126)","7,425","(+/-2,199)","7,776","(+/-2,341)","2,734",(+/-928),"3,418","(+/-1,541)","3,374","(+/-1,446)","3,528","(+/-1,605)","3,205","(+/-2,052)",592,(+/-314),"2,262","(+/-1,055)","1,641","(+/-1,097)","4,307","(+/-1,309)","1,406",(+/-543),"2,590","(+/-1,642)","3,953","(+/-1,355)","2,864",(+/-935),"3,775","(+/-2,200)"
Workers,"Employment Status","Population 16 years and over","630,368","(+/-4,955)","569,583","(+/-13,719)","637,743","(+/-14,317)","637,931","(+/-7,278)","619,269","(+/-7,015)","622,249","(+/-5,103)","633,078","(+/-2,912)","636,603","(+/-3,905)","626,684","(+/-4,869)","630,650","(+/-6,079)","619,120","(+/-5,230)","641,616","(+/-9,167)","630,560","(+/-3,197)","633,887","(+/-4,529)","639,396","(+/-3,115)","629,428","(+/-1,949)","622,176","(+/-8,193)"
Workers,"Employment Status","In labor force","421,086","(+/-7,003)","349,801","(+/-12,256)","424,711","(+/-13,896)","420,982","(+/-6,855)","412,154","(+/-8,110)","420,386","(+/-6,363)","404,925","(+/-7,102)","387,245","(+/-6,788)","370,302","(+/-6,090)","406,975","(+/-7,082)","406,254","(+/-7,036)","407,687","(+/-9,064)","370,564","(+/-5,796)","365,677","(+/-5,536)","357,773","(+/-4,894)","366,845","(+/-4,368)","405,102","(+/-7,156)"
Workers,"Employment Status","Civilian labor force","420,075","(+/-7,044)","349,801","(+/-12,256)","424,338","(+/-13,951)","420,592","(+/-6,927)","412,064","(+/-8,115)","420,258","(+/-6,385)","404,674","(+/-7,131)","386,837","(+/-6,800)","369,536","(+/-6,070)","404,880","(+/-7,073)","405,711","(+/-7,039)","407,133","(+/-9,003)","369,986","(+/-5,834)","365,484","(+/-5,540)","357,194","(+/-4,870)","366,678","(+/-4,377)","404,717","(+/-7,112)"
Workers,"Employment Status",Employed,"406,759","(+/-6,966)","327,760","(+/-12,161)","392,358","(+/-13,211)","407,452","(+/-6,820)","388,567","(+/-8,078)","404,320","(+/-6,617)","386,028","(+/-7,198)","365,962","(+/-6,480)","354,785","(+/-6,041)","390,497","(+/-7,419)","393,747","(+/-6,753)","388,085","(+/-8,642)","358,927","(+/-6,058)","347,384","(+/-5,504)","344,955","(+/-4,979)","354,238","(+/-4,655)","390,418","(+/-7,231)"
Workers,"Employment Status",Unemployed,"13,316","(+/-2,057)","22,041","(+/-3,987)","31,980","(+/-4,386)","13,140","(+/-2,022)","23,497","(+/-2,803)","15,938","(+/-2,429)","18,646","(+/-2,707)","20,875","(+/-2,662)","14,751","(+/-1,691)","14,383","(+/-2,618)","11,964","(+/-1,835)","19,048","(+/-2,454)","11,059","(+/-1,418)","18,100","(+/-2,236)","12,239","(+/-1,574)","12,440","(+/-1,769)","14,299","(+/-1,902)"
Workers,"Employment Status","Armed Forces","1,011",(+/-614),0,(+/-190),373,(+/-480),390,(+/-329),90,(+/-107),128,(+/-167),251,(+/-249),408,(+/-357),766,(+/-570),"2,095","(+/-1,076)",543,(+/-362),554,(+/-516),578,(+/-330),193,(+/-159),579,(+/-331),167,(+/-225),385,(+/-268)
Workers,"Employment Status","Not in labor force","209,282","(+/-5,945)","219,782","(+/-8,918)","213,032","(+/-10,160)","216,949","(+/-6,514)","207,115","(+/-5,922)","201,863","(+/-4,668)","228,153","(+/-6,839)","249,358","(+/-5,938)","256,382","(+/-4,791)","223,675","(+/-6,661)","212,866","(+/-5,634)","233,929","(+/-6,314)","259,996","(+/-5,029)","268,210","(+/-5,449)","281,623","(+/-5,014)","262,583","(+/-4,812)","217,074","(+/-6,119)"
Workers,"Employment Status","Civilian labor force","420,075","(+/-7,044)","349,801","(+/-12,256)","424,338","(+/-13,951)","420,592","(+/-6,927)","412,064","(+/-8,115)","420,258","(+/-6,385)","404,674","(+/-7,131)","386,837","(+/-6,800)","369,536","(+/-6,070)","404,880","(+/-7,073)","405,711","(+/-7,039)","407,133","(+/-9,003)","369,986","(+/-5,834)","365,484","(+/-5,540)","357,194","(+/-4,870)","366,678","(+/-4,377)","404,717","(+/-7,112)"
Workers,"Employment Status","Unemployment Rate",3.2,(+/-0.5),6.3,(+/-1.1),7.5,(+/-1.0),3.1,(+/-0.5),5.7,(+/-0.7),3.8,(+/-0.6),4.6,(+/-0.7),5.4,(+/-0.7),4.0,(+/-0.5),3.6,(+/-0.6),2.9,(+/-0.4),4.7,(+/-0.6),3.0,(+/-0.4),5.0,(+/-0.6),3.4,(+/-0.4),3.4,(+/-0.5),3.5,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","400,655","(+/-6,762)","319,198","(+/-12,231)","383,555","(+/-12,793)","401,214","(+/-7,056)","380,733","(+/-8,036)","397,205","(+/-6,489)","379,035","(+/-7,165)","358,573","(+/-6,615)","349,502","(+/-6,195)","383,664","(+/-7,738)","386,589","(+/-7,019)","380,812","(+/-8,580)","349,902","(+/-6,078)","341,795","(+/-5,680)","339,755","(+/-5,084)","348,261","(+/-4,810)","383,481","(+/-7,205)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","282,270","(+/-8,084)","172,522","(+/-10,283)","153,208","(+/-9,630)","268,823","(+/-7,263)","240,516","(+/-7,836)","270,152","(+/-7,474)","282,090","(+/-7,846)","265,870","(+/-7,135)","271,718","(+/-6,308)","274,550","(+/-6,769)","289,301","(+/-8,021)","227,322","(+/-8,958)","274,849","(+/-6,609)","268,622","(+/-6,832)","255,550","(+/-4,830)","262,737","(+/-5,413)","261,903","(+/-7,070)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","23,701","(+/-3,000)","33,917","(+/-6,157)","12,023","(+/-2,446)","23,908","(+/-3,252)","26,699","(+/-3,857)","30,049","(+/-3,673)","30,156","(+/-3,828)","38,640","(+/-3,953)","30,035","(+/-3,122)","25,856","(+/-3,344)","33,931","(+/-3,954)","27,304","(+/-3,427)","27,112","(+/-2,710)","21,450","(+/-2,701)","29,680","(+/-2,476)","29,202","(+/-3,017)","25,344","(+/-2,956)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","7,493","(+/-1,480)","37,068","(+/-5,479)","72,794","(+/-7,909)","6,955","(+/-1,298)","22,754","(+/-2,888)","6,174","(+/-1,496)","5,391","(+/-1,416)","4,552","(+/-1,290)","1,204",(+/-455),"2,919","(+/-1,077)","2,455","(+/-1,044)","22,957","(+/-2,926)","1,226",(+/-670),"1,750",(+/-851),"3,072",(+/-885),"1,755",(+/-745),"10,113","(+/-1,737)"
Workers,"Commuting to Work",Walked,"3,833",(+/-949),"13,629","(+/-2,147)","36,162","(+/-3,882)","6,653","(+/-1,244)","13,046","(+/-2,496)","9,112","(+/-2,019)","6,426","(+/-1,765)","7,237","(+/-1,395)","10,585","(+/-1,482)","9,464","(+/-1,639)","12,263","(+/-2,119)","19,909","(+/-2,331)","10,641","(+/-2,052)","8,984","(+/-1,429)","15,430","(+/-2,094)","11,158","(+/-1,478)","6,446","(+/-1,424)"
Workers,"Commuting to Work","Other means","5,970","(+/-1,700)","12,536","(+/-4,114)","20,964","(+/-3,118)","5,658","(+/-1,920)","8,012","(+/-1,788)","7,175","(+/-1,831)","7,919","(+/-2,233)","5,724","(+/-1,493)","3,397",(+/-847),"8,202","(+/-1,349)","7,910","(+/-1,880)","6,078","(+/-1,397)","3,917",(+/-919),"3,615","(+/-1,383)","5,844","(+/-1,030)","5,827","(+/-1,419)","5,300","(+/-1,610)"
Workers,"Commuting to Work","Worked from home","77,388","(+/-5,231)","49,526","(+/-5,617)","88,404","(+/-7,188)","89,217","(+/-5,486)","69,706","(+/-5,010)","74,543","(+/-4,604)","47,053","(+/-3,242)","36,550","(+/-2,360)","32,563","(+/-2,920)","62,673","(+/-3,984)","40,729","(+/-3,030)","77,242","(+/-4,275)","32,157","(+/-2,699)","37,374","(+/-3,011)","30,179","(+/-2,522)","37,582","(+/-3,408)","74,375","(+/-4,331)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",29.2,(+/-0.7),32.5,(+/-1.2),30.8,(+/-1.2),27.2,(+/-0.9),28.2,(+/-0.8),26.0,(+/-0.6),26.8,(+/-0.9),26.4,(+/-0.8),24.2,(+/-0.5),22.9,(+/-0.9),25.3,(+/-0.8),25.7,(+/-0.7),26.1,(+/-0.6),27.1,(+/-0.7),22.9,(+/-0.5),22.4,(+/-0.5),25.6,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","406,759","(+/-6,966)","327,760","(+/-12,161)","392,358","(+/-13,211)","407,452","(+/-6,820)","388,567","(+/-8,078)","404,320","(+/-6,617)","386,028","(+/-7,198)","365,962","(+/-6,480)","354,785","(+/-6,041)","390,497","(+/-7,419)","393,747","(+/-6,753)","388,085","(+/-8,642)","358,927","(+/-6,058)","347,384","(+/-5,504)","344,955","(+/-4,979)","354,238","(+/-4,655)","390,418","(+/-7,231)"
Workers,Occupation,"Management, business, science, and arts occupations","201,086","(+/-5,716)","118,880","(+/-7,584)","207,097","(+/-10,331)","211,305","(+/-6,500)","181,167","(+/-6,793)","199,058","(+/-6,599)","148,818","(+/-5,918)","128,746","(+/-4,631)","125,750","(+/-5,028)","166,395","(+/-6,924)","153,933","(+/-5,711)","195,518","(+/-7,570)","120,125","(+/-5,216)","132,580","(+/-4,991)","125,032","(+/-4,494)","139,934","(+/-4,564)","198,006","(+/-5,885)"
Workers,Occupation,"Service occupations","52,556","(+/-5,117)","77,846","(+/-6,225)","76,232","(+/-6,656)","47,597","(+/-3,483)","66,706","(+/-4,792)","55,668","(+/-4,532)","61,808","(+/-4,193)","63,330","(+/-3,474)","54,453","(+/-3,148)","60,810","(+/-5,226)","64,015","(+/-5,333)","60,297","(+/-4,734)","57,654","(+/-3,230)","57,691","(+/-3,281)","53,965","(+/-3,144)","58,187","(+/-3,802)","53,148","(+/-3,556)"
Workers,Occupation,"Sales and office occupations","82,571","(+/-5,423)","63,509","(+/-6,532)","67,118","(+/-6,711)","80,155","(+/-5,298)","76,388","(+/-5,151)","73,930","(+/-3,916)","75,234","(+/-4,780)","76,352","(+/-4,777)","67,136","(+/-3,922)","76,251","(+/-5,087)","72,115","(+/-4,121)","71,932","(+/-4,621)","71,323","(+/-3,856)","68,901","(+/-3,337)","62,560","(+/-2,653)","73,616","(+/-4,382)","73,280","(+/-3,974)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","26,988","(+/-2,959)","22,444","(+/-3,920)","12,437","(+/-2,598)","26,808","(+/-3,025)","20,607","(+/-2,850)","28,222","(+/-3,024)","29,352","(+/-3,010)","32,006","(+/-3,339)","36,300","(+/-2,855)","25,988","(+/-2,924)","35,115","(+/-3,284)","22,548","(+/-3,460)","38,316","(+/-2,582)","36,139","(+/-2,677)","38,568","(+/-2,151)","28,345","(+/-2,268)","25,272","(+/-2,930)"
Workers,Occupation,"Production, transportation, and material moving occupations","43,558","(+/-4,130)","45,081","(+/-4,528)","29,474","(+/-4,292)","41,587","(+/-3,330)","43,699","(+/-4,078)","47,442","(+/-3,617)","70,816","(+/-4,621)","65,528","(+/-4,116)","71,146","(+/-3,830)","61,053","(+/-5,142)","68,569","(+/-4,302)","37,790","(+/-3,259)","71,509","(+/-3,511)","52,073","(+/-3,005)","64,830","(+/-3,037)","54,156","(+/-3,660)","40,712","(+/-3,648)"
Workers,Industry,"Civilian employed population 16 years and over","406,759","(+/-6,966)","327,760","(+/-12,161)","392,358","(+/-13,211)","407,452","(+/-6,820)","388,567","(+/-8,078)","404,320","(+/-6,617)","386,028","(+/-7,198)","365,962","(+/-6,480)","354,785","(+/-6,041)","390,497","(+/-7,419)","393,747","(+/-6,753)","388,085","(+/-8,642)","358,927","(+/-6,058)","347,384","(+/-5,504)","344,955","(+/-4,979)","354,238","(+/-4,655)","390,418","(+/-7,231)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","2,328",(+/-697),"1,010",(+/-891),"1,945","(+/-1,161)","4,016","(+/-2,214)","1,274",(+/-544),"8,023","(+/-2,020)","2,686","(+/-1,047)","2,314",(+/-765),"8,581","(+/-1,491)","4,032",(+/-846),"8,619","(+/-1,686)","1,367",(+/-593),"7,959","(+/-1,251)","8,890","(+/-1,521)","8,841","(+/-1,066)","4,705",(+/-816),"2,740",(+/-812)
