Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","42,746","(+/-2,348)","34,426","(+/-1,957)","34,972","(+/-2,470)","39,079","(+/-2,629)","36,349","(+/-3,155)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","28,251","(+/-1,873)","15,474","(+/-1,367)","19,882","(+/-1,831)","26,671","(+/-2,570)","36,349","(+/-2,986)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","13,908","(+/-1,422)","7,711",(+/-901),"8,301","(+/-1,215)","10,566","(+/-1,251)","17,060","(+/-2,112)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","7,798","(+/-1,034)","3,256",(+/-645),"2,602",(+/-581),"4,820","(+/-1,009)","8,764","(+/-1,545)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","9,299","(+/-1,075)","3,745",(+/-692),"3,689",(+/-817),"4,710",(+/-962),"11,371","(+/-1,419)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,482",(+/-20),"1,170",(+/-19),"1,306",(+/-33),"1,373",(+/-28),"1,632",(+/-32)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","79,588","(+/-2,706)","119,411","(+/-3,085)","100,470","(+/-3,816)","89,480","(+/-3,429)","86,865","(+/-3,451)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","4,514",(+/-750),"22,261","(+/-1,412)","12,751","(+/-1,359)","8,874","(+/-1,121)","7,674","(+/-1,150)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","14,500","(+/-1,513)","36,041","(+/-1,807)","29,825","(+/-2,397)","21,866","(+/-1,888)","16,321","(+/-1,438)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","28,912","(+/-2,033)","35,823","(+/-1,844)","31,789","(+/-2,162)","28,413","(+/-1,734)","24,210","(+/-2,096)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","16,387","(+/-1,502)","15,570","(+/-1,288)","15,339","(+/-1,431)","17,062","(+/-1,833)","18,712","(+/-2,060)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","6,498","(+/-1,134)","5,051",(+/-691),"6,041","(+/-1,020)","6,501","(+/-1,003)","9,042","(+/-1,393)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","8,777",(+/-872),"4,665",(+/-641),"4,725",(+/-933),"6,764","(+/-1,063)","10,906","(+/-1,449)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",545,(+/-9),407,(+/-8),445,(+/-12),488,(+/-12),560,(+/-14)
Housing,"Gross Rent","Occupied units paying rent","116,023","(+/-3,045)","79,271","(+/-2,878)","96,297","(+/-4,186)","106,436","(+/-4,391)","104,774","(+/-4,195)"
Housing,"Gross Rent","Less than $500","7,878",(+/-981),"13,435","(+/-1,190)","10,948","(+/-1,648)","8,323","(+/-1,515)","7,453","(+/-1,630)"
Housing,"Gross Rent","$500 to $999","49,091","(+/-2,285)","47,432","(+/-2,533)","51,753","(+/-3,613)","47,868","(+/-3,594)","43,252","(+/-3,618)"
Housing,"Gross Rent","$1,000 to $1,499","42,443","(+/-2,472)","15,019","(+/-1,554)","26,204","(+/-2,417)","36,876","(+/-2,727)","35,718","(+/-3,523)"
Housing,"Gross Rent","$1,500 to $1,999","11,782","(+/-1,291)","2,608",(+/-651),"5,649","(+/-1,444)","9,301","(+/-1,723)","12,948","(+/-1,920)"
Housing,"Gross Rent","$2,000 to $2,499","2,657",(+/-622),338,(+/-216),404,(+/-268),"1,725",(+/-652),"2,357",(+/-639)
Housing,"Gross Rent","$2,500 to $2,999",670,(+/-284),104,(+/-126),433,(+/-384),780,(+/-495),894,(+/-455)
Housing,"Gross Rent","$3,000 or more","1,502",(+/-449),335,(+/-250),906,(+/-455),"1,563",(+/-715),"2,152",(+/-885)
Housing,"Gross Rent","Median (dollars)","1,010",(+/-20),782,(+/-14),869,(+/-21),976,(+/-19),"1,019",(+/-34)
Housing,"Gross Rent","No rent paid","4,281",(+/-839),"13,416","(+/-1,232)","10,372","(+/-1,494)","7,329","(+/-1,092)","5,978","(+/-1,091)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","321,676","(+/-1,948)","314,567","(+/-2,100)","299,034","(+/-4,133)","315,069","(+/-3,356)","322,834","(+/-5,133)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","19,712","(+/-1,694)","22,425","(+/-1,587)","20,883","(+/-2,430)","19,191","(+/-2,007)","18,739","(+/-2,621)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","11,256","(+/-1,413)","18,494","(+/-1,471)","16,203","(+/-1,834)","13,752","(+/-1,857)","12,728","(+/-1,787)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","23,388","(+/-1,807)","37,504","(+/-1,834)","30,371","(+/-2,527)","25,608","(+/-2,163)","27,497","(+/-2,647)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$25,000 to $34,999","25,661","(+/-1,727)","32,987","(+/-2,229)","30,496","(+/-2,650)","27,392","(+/-2,472)","21,392","(+/-2,147)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$35,000 to $49,999","42,412","(+/-2,275)","43,728","(+/-2,314)","38,902","(+/-3,077)","41,136","(+/-2,925)","41,778","(+/-2,989)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$50,000 to $74,999","60,113","(+/-2,534)","57,081","(+/-2,606)","58,478","(+/-3,569)","57,413","(+/-3,333)","51,713","(+/-3,988)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$75,000 to $99,999","40,775","(+/-2,257)","35,403","(+/-2,153)","35,585","(+/-2,392)","43,069","(+/-3,174)","40,183","(+/-3,180)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$100,000 to $149,999","50,611","(+/-2,355)","41,051","(+/-2,133)","39,760","(+/-2,993)","49,321","(+/-3,066)","52,630","(+/-3,615)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$150,000 to $199,000","22,989","(+/-1,969)","13,972","(+/-1,295)","15,194","(+/-1,670)","21,533","(+/-2,303)","24,901","(+/-2,261)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$200,000 or more","24,759","(+/-1,921)","11,922","(+/-1,258)","13,162","(+/-1,568)","16,654","(+/-1,689)","31,273","(+/-2,700)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Median household income (dollars)","64,465","(+/-1,257)","50,776","(+/-1,169)","54,397","(+/-1,152)","62,067","(+/-1,607)","68,269","(+/-1,963)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Mean household income (dollars)","90,391","(+/-2,130)","69,280","(+/-1,649)","72,927","(+/-1,580)","81,790","(+/-1,915)","98,254","(+/-3,502)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","800,602","(+/-3,644)","782,953","(+/-3,386)","772,818","(+/-11,406)","777,318","(+/-5,625)","796,568","(+/-11,993)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","709,168","(+/-5,484)","675,713","(+/-5,123)","672,031","(+/-10,662)","691,520","(+/-6,661)","720,947","(+/-10,256)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","512,703","(+/-8,341)","408,631","(+/-6,783)","444,564","(+/-9,108)","514,745","(+/-8,288)","545,015","(+/-10,478)"
Socioeconomic,"Health Insurance Coverage","With public coverage","287,381","(+/-7,855)","374,156","(+/-6,742)","323,906","(+/-9,938)","292,601","(+/-7,943)","277,543","(+/-9,467)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","91,434","(+/-4,319)","107,240","(+/-4,446)","100,787","(+/-6,399)","85,798","(+/-5,067)","75,621","(+/-5,277)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","207,649","(+/-1,809)","194,985","(+/-2,102)","215,459","(+/-5,621)","193,300","(+/-3,354)","198,839","(+/-6,101)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","11,691","(+/-1,775)","19,591","(+/-2,362)","15,987","(+/-2,339)","15,107","(+/-1,943)","10,977","(+/-1,924)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",10.5,(+/-0.9),13.6,(+/-0.9),13.2,(+/-1.2),10.5,(+/-1.0),9.2,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",15.9,(+/-1.6),20.7,(+/-1.7),18.3,(+/-2.0),15.0,(+/-1.5),14.8,(+/-2.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",14.1,(+/-3.3),20.8,(+/-4.0),22.6,(+/-6.1),17.7,(+/-4.8),11.6,(+/-4.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",5.5,(+/-0.6),7.7,(+/-0.9),7.4,(+/-1.0),5.8,(+/-0.9),4.7,(+/-0.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",7.1,(+/-1.2),10.4,(+/-1.6),7.8,(+/-1.5),6.9,(+/-1.5),6.8,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.2,(+/-1.9),6.9,(+/-3.5),5.7,(+/-3.1),7.7,(+/-3.8),5.2,(+/-2.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",28.5,(+/-3.1),32.7,(+/-3.1),34.2,(+/-4.3),26.0,(+/-3.2),24.2,(+/-4.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",37.4,(+/-4.1),42.8,(+/-4.1),45.0,(+/-5.5),33.8,(+/-4.7),33.1,(+/-6.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",48.7,(+/-11.9),49.5,(+/-10.0),65.4,(+/-14.0),39.6,(+/-16.1),28.9,(+/-15.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",14.6,(+/-0.8),17.8,(+/-0.8),18.2,(+/-1.1),14.8,(+/-0.9),13.1,(+/-1.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",19.8,(+/-1.7),22.7,(+/-1.9),22.3,(+/-2.3),17.0,(+/-1.8),16.8,(+/-2.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",19.4,(+/-1.8),22.3,(+/-1.9),22.1,(+/-2.3),16.6,(+/-1.8),16.7,(+/-2.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",21.5,(+/-2.9),25.3,(+/-3.3),24.2,(+/-3.9),20.6,(+/-3.1),16.0,(+/-3.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",18.7,(+/-1.8),21.3,(+/-2.0),21.4,(+/-2.4),15.4,(+/-2.0),16.9,(+/-2.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",13.0,(+/-0.7),16.3,(+/-0.7),16.7,(+/-0.9),14.1,(+/-0.9),11.9,(+/-0.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",9.5,(+/-1.0),13.3,(+/-0.9),12.8,(+/-1.5),10.1,(+/-1.3),9.9,(+/-1.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",12.1,(+/-1.0),14.2,(+/-0.9),14.3,(+/-1.2),11.0,(+/-1.0),9.9,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",24.7,(+/-1.3),33.0,(+/-1.4),34.1,(+/-1.7),29.7,(+/-1.8),25.4,(+/-2.3)
Education,"School Enrollment","Population 3 years and over enrolled in school","202,232","(+/-3,451)","183,258","(+/-3,203)","206,204","(+/-5,537)","207,509","(+/-5,876)","201,440","(+/-6,683)"
Education,"School Enrollment","Nursery school, preschool","11,863","(+/-1,250)","10,861","(+/-1,294)","12,104","(+/-1,663)","11,873","(+/-1,433)","12,075","(+/-2,131)"
Education,"School Enrollment",Kindergarten,"10,410","(+/-1,137)","10,477","(+/-1,082)","12,115","(+/-1,644)","10,127","(+/-1,357)","10,964","(+/-1,738)"
Education,"School Enrollment","Elementary school (grades 1-8)","89,394","(+/-2,070)","84,766","(+/-1,852)","88,690","(+/-3,908)","83,116","(+/-3,039)","85,505","(+/-3,691)"
Education,"School Enrollment","High school (grades 9-12)","47,739","(+/-1,601)","43,105","(+/-1,717)","46,162","(+/-2,758)","44,024","(+/-2,488)","43,750","(+/-3,027)"
Education,"School Enrollment","College or graduate school","42,826","(+/-2,640)","34,049","(+/-2,255)","47,133","(+/-3,128)","58,369","(+/-4,334)","49,146","(+/-3,809)"
Education,"Educational Attainment","Population 25 years and over","535,442","(+/-2,321)","545,694","(+/-2,958)","507,450","(+/-6,435)","526,573","(+/-3,531)","545,982","(+/-7,064)"
Education,"Educational Attainment","Less than 9th grade","20,664","(+/-1,712)","17,778","(+/-1,400)","27,565","(+/-2,280)","13,542","(+/-1,745)","14,884","(+/-2,160)"
Education,"Educational Attainment","9th to 12th grade, no diploma","29,872","(+/-2,317)","44,390","(+/-2,422)","42,670","(+/-3,033)","36,644","(+/-2,907)","29,859","(+/-2,679)"
Education,"Educational Attainment","High school graduate (includes equivalency)","138,443","(+/-4,344)","202,158","(+/-4,364)","175,930","(+/-5,363)","165,702","(+/-4,892)","131,312","(+/-6,179)"
Education,"Educational Attainment","Some college, no degree","115,727","(+/-4,703)","120,358","(+/-3,718)","107,822","(+/-4,733)","124,110","(+/-4,466)","119,153","(+/-5,281)"
Education,"Educational Attainment","Associate's degree","51,157","(+/-2,678)","50,733","(+/-2,076)","39,708","(+/-2,990)","40,792","(+/-2,398)","41,251","(+/-3,308)"
Education,"Educational Attainment","Bachelor's degree","115,816","(+/-3,919)","73,864","(+/-3,641)","75,987","(+/-3,373)","93,107","(+/-4,524)","136,693","(+/-5,501)"
Education,"Educational Attainment","Graduate or professional degree","63,763","(+/-2,853)","36,413","(+/-2,232)","37,768","(+/-2,974)","52,676","(+/-2,965)","72,830","(+/-4,400)"
Education,"Educational Attainment","Percent high school graduate or higher",90.6,(+/-0.5),88.6,(+/-0.5),86.2,(+/-0.6),90.5,(+/-0.6),91.8,(+/-0.6)
Education,"Educational Attainment","Percent bachelor's degree or higher",33.5,(+/-0.8),20.2,(+/-0.8),22.4,(+/-0.8),27.7,(+/-1.0),38.4,(+/-1.2)

"Source: 2022 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","350,620",G,"178,652",G,"249,585",G,"211,074",G,"298,904",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",53,J,525,G,299,G,178,J,98,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction","4,005",G,"2,037",G,"8,543",G,"3,466",G,"5,509",G
Business,"Paid employees for pay period including March 12",Utilities,"3,319",J,"1,743",H,"2,325",H,"1,205",G,"1,458",J
Business,"Paid employees for pay period including March 12",Construction,"20,485",G,"8,298",G,"16,287",G,"12,375",G,"15,188",G
Business,"Paid employees for pay period including March 12",Manufacturing,"41,425",G,"24,154",G,"27,376",G,"16,248",G,"12,960",G
Business,"Paid employees for pay period including March 12","Wholesale trade","16,602",G,"4,679",G,"16,500",G,"5,181",G,"9,984",G
Business,"Paid employees for pay period including March 12","Retail trade","41,062",G,"28,919",G,"35,506",G,"38,842",G,"39,330",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","15,983",H,"5,569",G,"17,374",G,"7,844",G,"7,674",G
Business,"Paid employees for pay period including March 12",Information,"8,832",G,"1,996",H,"2,759",G,"2,752",G,"5,899",G
Business,"Paid employees for pay period including March 12","Finance and insurance","14,265",G,"6,436",G,"9,187",G,"7,752",G,"17,956",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","5,238",G,"1,599",G,"3,837",G,"3,117",G,"5,072",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","21,968",G,"5,761",G,"10,321",G,"10,011",G,"21,780",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","11,208",G,"4,216",H,"10,680",H,"2,245",H,"11,307",G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","26,418",G,"7,777",G,"12,822",G,"9,473",G,"21,611",G
Business,"Paid employees for pay period including March 12","Educational services","7,425",G,"1,043",G,"1,702",G,"1,954",G,"9,394",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","54,875",G,"41,020",G,"31,116",G,"38,383",G,"55,893",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","4,450",G,"2,794",H,"4,794",H,"6,813",H,"6,201",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","37,031",G,"22,776",G,"27,833",G,"32,885",G,"36,589",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","15,943",G,"7,246",G,"10,285",G,"10,284",G,"14,954",G
Business,"Paid employees for pay period including March 12","Industries not classified",33,J,64,H,39,J,66,G,47,J
Business,"Annual payroll ($1,000)","Total for all sectors","18,910,603",G,"7,395,851",G,"11,558,850",G,"8,818,472",G,"15,983,104",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting","2,237",H,"21,803",G,"15,102",G,"4,907",G,"3,952",G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","532,478",G,"142,148",G,"735,416",G,"237,035",G,"587,974",G
Business,"Annual payroll ($1,000)",Utilities,"342,583",J,"159,635",H,"202,885",H,"100,207",H,"172,780",J
Business,"Annual payroll ($1,000)",Construction,"1,210,979",G,"463,725",G,"920,990",G,"667,148",G,"844,129",G
Business,"Annual payroll ($1,000)",Manufacturing,"2,698,459",G,"1,306,665",G,"1,556,590",G,"1,021,616",G,"720,204",G
Business,"Annual payroll ($1,000)","Wholesale trade","1,119,477",G,"238,758",G,"1,013,874",G,"288,687",G,"711,511",G
Business,"Annual payroll ($1,000)","Retail trade","1,350,087",G,"858,147",G,"1,111,269",G,"1,286,152",H,"1,320,549",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","955,832",H,"270,732",G,"1,011,165",G,"406,276",G,"452,796",G
Business,"Annual payroll ($1,000)",Information,"583,133",G,"119,968",G,"143,763",G,"168,867",G,"394,214",G
Business,"Annual payroll ($1,000)","Finance and insurance","1,250,816",G,"344,397",G,"641,928",G,"430,570",G,"1,456,612",G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","266,696",G,"61,478",G,"191,536",G,"137,137",G,"271,165",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","1,614,365",G,"318,119",G,"672,807",G,"571,305",G,"1,551,972",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","1,105,522",G,"404,208",H,"516,509",H,"115,887",H,"1,352,543",G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","1,089,136",G,"210,009",G,"475,239",G,"317,617",G,"910,440",G
Business,"Annual payroll ($1,000)","Educational services","262,888",G,"24,491",G,"71,308",G,"54,392",G,"363,911",G
Business,"Annual payroll ($1,000)","Health care and social assistance","3,001,794",G,"1,735,097",G,"1,326,504",G,"1,862,115",G,"3,391,403",H
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","112,794",G,"82,651",H,"143,001",H,"233,017",J,"267,256",H
Business,"Annual payroll ($1,000)","Accommodation and food services","775,095",G,"436,967",G,"478,447",G,"590,908",G,"710,343",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","635,290",G,"195,538",G,"329,826",G,"323,304",G,"497,444",G
Business,"Annual payroll ($1,000)","Industries not classified",942,G,"1,315",G,691,H,"1,325",H,"1,906",G
Business,"Total Establishments","Total for all sectors","21,346",X,"14,686",X,"18,687",X,"16,983",X,"22,461",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",12,X,69,X,66,X,31,X,27,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",261,X,230,X,767,X,406,X,580,X
Business,"Total Establishments",Utilities,59,X,108,X,114,X,63,X,49,X
Business,"Total Establishments",Construction,"1,950",X,"1,297",X,"1,739",X,"1,636",X,"1,985",X
Business,"Total Establishments",Manufacturing,942,X,641,X,737,X,459,X,477,X
Business,"Total Establishments","Wholesale trade","1,201",X,481,X,"1,217",X,555,X,842,X
Business,"Total Establishments","Retail trade","2,580",X,"2,535",X,"2,933",X,"2,595",X,"2,627",X
Business,"Total Establishments","Transportation and warehousing",552,X,437,X,871,X,499,X,462,X
Business,"Total Establishments",Information,377,X,256,X,299,X,230,X,344,X
Business,"Total Establishments","Finance and insurance","1,475",X,"1,101",X,"1,155",X,"1,186",X,"1,767",X
Business,"Total Establishments","Real estate and rental and leasing","1,120",X,529,X,729,X,902,X,"1,316",X
Business,"Total Establishments","Professional, scientific, and technical services","2,617",X,"1,103",X,"1,334",X,"1,632",X,"3,143",X
Business,"Total Establishments","Management of companies and enterprises",176,X,65,X,83,X,67,X,149,X
Business,"Total Establishments","Administrative and support and waste management and remediation services","1,267",X,576,X,810,X,796,X,"1,299",X
Business,"Total Establishments","Educational services",229,X,62,X,107,X,162,X,238,X
Business,"Total Establishments","Health care and social assistance","2,327",X,"1,944",X,"1,743",X,"2,212",X,"2,973",X
Business,"Total Establishments","Arts, entertainment, and recreation",292,X,185,X,230,X,230,X,307,X
Business,"Total Establishments","Accommodation and food services","1,893",X,"1,452",X,"1,741",X,"1,657",X,"1,910",X
Business,"Total Establishments","Other services (except public administration)","1,998",X,"1,594",X,"1,981",X,"1,642",X,"1,940",X
Business,"Total Establishments","Industries not classified",18,X,21,X,31,X,23,X,26,X

"Source: 2021 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
