Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
Workers,"Commuting to Work","Other means","5,890","(+/-1,533)","4,189","(+/-1,185)","3,479","(+/-1,572)","3,511","(+/-1,148)","6,051","(+/-1,606)","6,333","(+/-1,953)","8,457","(+/-1,713)","6,155","(+/-1,277)","6,690","(+/-1,667)"
Workers,"Commuting to Work","Worked from home","30,572","(+/-3,246)","49,653","(+/-4,196)","43,715","(+/-4,169)","45,974","(+/-4,069)","86,021","(+/-5,293)","53,945","(+/-4,445)","67,694","(+/-5,458)","35,311","(+/-3,974)","35,562","(+/-4,065)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.5,(+/-0.7),23.5,(+/-0.6),24.4,(+/-0.7),28.7,(+/-0.8),26.2,(+/-0.7),26.8,(+/-0.8),28.0,(+/-0.7),24.8,(+/-0.6),22.0,(+/-0.9)
Workers,Occupation,"Civilian employed population 16 years and over","357,887","(+/-7,097)","391,114","(+/-7,951)","375,773","(+/-6,578)","394,205","(+/-6,407)","420,407","(+/-9,528)","380,679","(+/-8,474)","392,916","(+/-8,158)","344,880","(+/-8,197)","355,599","(+/-8,958)"
Workers,Occupation,"Management, business, science, and arts occupations","124,395","(+/-6,109)","156,143","(+/-6,340)","148,345","(+/-6,974)","134,867","(+/-5,927)","205,849","(+/-7,017)","151,285","(+/-6,510)","171,254","(+/-7,349)","133,313","(+/-5,588)","122,575","(+/-8,883)"
Workers,Occupation,"Service occupations","57,679","(+/-4,233)","61,652","(+/-4,421)","50,827","(+/-3,696)","57,033","(+/-4,780)","49,939","(+/-4,670)","55,413","(+/-4,581)","57,517","(+/-5,169)","44,025","(+/-3,962)","53,818","(+/-5,003)"
Workers,Occupation,"Sales and office occupations","76,806","(+/-5,074)","84,287","(+/-5,498)","79,449","(+/-4,966)","79,343","(+/-5,747)","92,965","(+/-6,212)","76,132","(+/-4,985)","79,336","(+/-4,829)","69,761","(+/-4,666)","78,282","(+/-5,325)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","34,704","(+/-3,248)","32,871","(+/-3,144)","32,318","(+/-3,009)","41,600","(+/-4,638)","24,919","(+/-3,480)","36,208","(+/-3,540)","33,672","(+/-3,657)","30,111","(+/-2,941)","25,575","(+/-3,409)"
Workers,Occupation,"Production, transportation, and material moving occupations","64,303","(+/-4,206)","56,161","(+/-4,286)","64,834","(+/-4,453)","81,362","(+/-6,412)","46,735","(+/-5,178)","61,641","(+/-4,671)","51,137","(+/-3,919)","67,670","(+/-4,516)","75,349","(+/-6,323)"
Workers,Industry,"Civilian employed population 16 years and over","357,887","(+/-7,097)","391,114","(+/-7,951)","375,773","(+/-6,578)","394,205","(+/-6,407)","420,407","(+/-9,528)","380,679","(+/-8,474)","392,916","(+/-8,158)","344,880","(+/-8,197)","355,599","(+/-8,958)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","2,559",(+/-821),"2,048",(+/-824),"2,912",(+/-960),"6,099","(+/-1,598)","2,447","(+/-1,023)","4,149","(+/-1,014)","2,145",(+/-702),"4,417","(+/-1,089)","1,039",(+/-716)
Workers,Industry,Construction,"28,048","(+/-3,411)","28,758","(+/-3,353)","22,997","(+/-2,294)","29,322","(+/-4,067)","23,196","(+/-3,380)","33,264","(+/-3,742)","25,747","(+/-3,353)","20,493","(+/-2,346)","16,747","(+/-2,552)"
Workers,Industry,Manufacturing,"62,020","(+/-4,934)","40,836","(+/-3,590)","60,256","(+/-4,013)","64,092","(+/-5,203)","36,777","(+/-4,541)","44,538","(+/-4,426)","40,032","(+/-3,469)","57,813","(+/-3,842)","30,989","(+/-4,556)"
Workers,Industry,"Wholesale trade","5,979","(+/-1,923)","8,810","(+/-1,909)","7,881","(+/-1,550)","9,818","(+/-2,125)","8,757","(+/-2,292)","8,085","(+/-1,651)","8,289","(+/-1,719)","8,051","(+/-1,717)","8,856","(+/-2,087)"
Workers,Industry,"Retail trade","46,418","(+/-4,244)","52,243","(+/-4,472)","42,473","(+/-3,822)","47,952","(+/-4,423)","53,033","(+/-4,706)","47,052","(+/-4,035)","42,816","(+/-3,794)","42,154","(+/-4,324)","43,413","(+/-3,903)"
Workers,Industry,"Transportation and warehousing, and utilities","20,297","(+/-2,471)","22,344","(+/-2,411)","25,631","(+/-3,240)","26,580","(+/-3,538)","20,773","(+/-2,688)","26,201","(+/-2,905)","23,124","(+/-3,322)","28,298","(+/-3,129)","54,900","(+/-5,134)"
Workers,Industry,Information,"4,729","(+/-1,308)","5,196","(+/-1,156)","2,729",(+/-810),"7,000","(+/-1,779)","10,905","(+/-2,116)","9,412","(+/-2,038)","7,190","(+/-1,570)","5,519","(+/-1,178)","3,535","(+/-1,086)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","18,679","(+/-2,380)","26,364","(+/-3,384)","27,106","(+/-3,205)","23,283","(+/-2,976)","39,517","(+/-4,548)","25,244","(+/-3,123)","26,920","(+/-3,351)","18,507","(+/-2,213)","16,794","(+/-2,994)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","29,111","(+/-3,038)","47,096","(+/-4,056)","40,077","(+/-2,896)","36,176","(+/-3,904)","57,312","(+/-3,767)","36,352","(+/-3,417)","50,749","(+/-4,989)","29,273","(+/-3,190)","37,367","(+/-4,170)"
Workers,Industry,"Educational services, and health care and social assistance","74,207","(+/-4,950)","88,929","(+/-5,101)","79,372","(+/-4,106)","79,098","(+/-4,826)","88,798","(+/-5,381)","78,721","(+/-4,896)","93,547","(+/-5,161)","80,379","(+/-4,260)","80,498","(+/-6,528)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","38,755","(+/-4,031)","34,641","(+/-3,792)","31,165","(+/-3,000)","32,480","(+/-3,836)","40,210","(+/-4,720)","37,920","(+/-3,567)","33,829","(+/-3,700)","21,654","(+/-2,422)","28,502","(+/-4,032)"
Workers,Industry,"Other services, except public administration","16,120","(+/-2,505)","19,945","(+/-2,854)","18,819","(+/-2,672)","17,479","(+/-2,514)","21,061","(+/-2,840)","16,153","(+/-2,376)","18,363","(+/-2,647)","15,313","(+/-2,261)","17,094","(+/-3,013)"
Workers,Industry,"Public administration","10,965","(+/-1,592)","13,904","(+/-2,088)","14,355","(+/-2,169)","14,826","(+/-2,108)","17,621","(+/-3,282)","13,588","(+/-2,135)","20,165","(+/-2,961)","13,009","(+/-1,743)","15,865","(+/-2,543)"
Workers,"Class of Worker","Civilian employed population 16 years and over","357,887","(+/-7,097)","391,114","(+/-7,951)","375,773","(+/-6,578)","394,205","(+/-6,407)","420,407","(+/-9,528)","380,679","(+/-8,474)","392,916","(+/-8,158)","344,880","(+/-8,197)","355,599","(+/-8,958)"
Workers,"Class of Worker","Private wage and salary workers","283,160","(+/-7,005)","309,630","(+/-7,592)","303,147","(+/-7,341)","311,704","(+/-6,387)","342,579","(+/-8,754)","305,930","(+/-8,250)","304,363","(+/-7,645)","275,808","(+/-8,055)","286,251","(+/-8,650)"
Workers,"Class of Worker","Government workers","47,152","(+/-3,671)","58,286","(+/-4,717)","50,401","(+/-4,542)","52,469","(+/-3,905)","45,286","(+/-4,447)","43,135","(+/-3,855)","56,029","(+/-4,232)","45,788","(+/-3,484)","47,681","(+/-4,675)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","26,475","(+/-3,054)","22,325","(+/-2,960)","21,645","(+/-2,792)","29,254","(+/-2,810)","32,205","(+/-3,767)","31,268","(+/-3,231)","31,573","(+/-3,352)","22,907","(+/-2,306)","21,496","(+/-2,610)"
Workers,"Class of Worker","Unpaid family workers","1,100",(+/-622),873,(+/-689),580,(+/-390),778,(+/-495),337,(+/-479),346,(+/-257),951,(+/-613),377,(+/-260),171,(+/-169)
Housing,"Housing Occupancy","Total housing units","377,301",(+/-905),"355,923","(+/-1,510)","349,231","(+/-1,802)","331,750","(+/-1,354)","338,301","(+/-5,805)","355,270","(+/-4,652)","359,114","(+/-5,029)","336,130","(+/-3,261)","341,563","(+/-3,189)"
Housing,"Housing Occupancy","Occupied housing units","329,065","(+/-4,534)","324,320","(+/-3,181)","316,538","(+/-3,825)","304,736","(+/-3,209)","318,244","(+/-6,154)","326,355","(+/-4,975)","326,490","(+/-5,075)","297,512","(+/-4,997)","303,424","(+/-4,285)"
Housing,"Housing Occupancy","Vacant housing units","48,236","(+/-4,565)","31,603","(+/-3,011)","32,693","(+/-3,773)","27,014","(+/-2,957)","20,057","(+/-3,746)","28,915","(+/-3,404)","32,624","(+/-3,714)","38,618","(+/-3,815)","38,139","(+/-3,675)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,(+/-0.5),1.2,(+/-0.6),0.6,(+/-0.4),0.9,(+/-0.4),0.8,(+/-0.5),1.1,(+/-0.5),0.9,(+/-0.4),0.8,(+/-0.3),0.3,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",6.3,(+/-1.8),4.2,(+/-1.4),3.3,(+/-1.1),3.7,(+/-1.4),5.5,(+/-1.5),3.9,(+/-1.2),6.6,(+/-1.7),4.7,(+/-1.4),8.3,(+/-1.5)
Housing,"Housing Tenure","Occupied housing units","329,065","(+/-4,534)","324,320","(+/-3,181)","316,538","(+/-3,825)","304,736","(+/-3,209)","318,244","(+/-6,154)","326,355","(+/-4,975)","326,490","(+/-5,075)","297,512","(+/-4,997)","303,424","(+/-4,285)"
Housing,"Housing Tenure",Owner-occupied,"237,314","(+/-4,657)","226,938","(+/-4,513)","222,912","(+/-5,348)","216,941","(+/-4,453)","220,475","(+/-5,214)","215,446","(+/-5,241)","211,680","(+/-5,762)","214,793","(+/-4,956)","147,531","(+/-5,284)"
Housing,"Housing Tenure",Renter-occupied,"91,751","(+/-4,942)","97,382","(+/-4,434)","93,626","(+/-5,224)","87,795","(+/-4,931)","97,769","(+/-6,010)","110,909","(+/-6,117)","114,810","(+/-5,921)","82,719","(+/-4,578)","155,893","(+/-5,742)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.38,(+/-0.04),2.49,(+/-0.04),2.53,(+/-0.04),2.56,(+/-0.04),2.60,(+/-0.04),2.43,(+/-0.05),2.51,(+/-0.05),2.57,(+/-0.04),2.53,(+/-0.07)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.20,(+/-0.07),2.13,(+/-0.08),2.23,(+/-0.07),2.60,(+/-0.10),2.10,(+/-0.07),2.22,(+/-0.08),2.11,(+/-0.07),2.36,(+/-0.09),2.37,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","329,065","(+/-4,534)","324,320","(+/-3,181)","316,538","(+/-3,825)","304,736","(+/-3,209)","318,244","(+/-6,154)","326,355","(+/-4,975)","326,490","(+/-5,075)","297,512","(+/-4,997)","303,424","(+/-4,285)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","45,300","(+/-3,910)","55,211","(+/-3,853)","57,315","(+/-3,694)","53,197","(+/-4,432)","67,066","(+/-4,451)","64,055","(+/-4,760)","73,624","(+/-5,352)","40,825","(+/-3,401)","60,564","(+/-4,290)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","74,830","(+/-4,477)","81,354","(+/-4,805)","71,123","(+/-4,475)","71,204","(+/-4,519)","81,916","(+/-5,614)","86,209","(+/-4,396)","81,133","(+/-4,803)","68,805","(+/-3,746)","82,500","(+/-6,027)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","81,956","(+/-4,839)","76,900","(+/-3,962)","73,995","(+/-4,448)","75,836","(+/-4,216)","77,782","(+/-4,725)","76,276","(+/-4,950)","77,082","(+/-5,304)","73,301","(+/-4,122)","62,422","(+/-4,494)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","51,604","(+/-3,723)","50,680","(+/-3,272)","49,379","(+/-3,565)","49,239","(+/-4,042)","48,717","(+/-3,675)","45,347","(+/-4,014)","43,432","(+/-3,714)","51,338","(+/-3,464)","46,741","(+/-3,641)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","33,675","(+/-2,783)","30,845","(+/-2,386)","30,047","(+/-2,765)","29,112","(+/-2,610)","26,063","(+/-2,748)","26,868","(+/-2,361)","27,922","(+/-2,399)","31,919","(+/-2,482)","26,434","(+/-3,185)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","41,700","(+/-2,709)","29,330","(+/-2,342)","34,679","(+/-2,897)","26,148","(+/-2,481)","16,700","(+/-1,823)","27,600","(+/-1,951)","23,297","(+/-2,395)","31,324","(+/-2,397)","24,763","(+/-2,280)"
Housing,Value,"Owner-occupied units","237,314","(+/-4,657)","226,938","(+/-4,513)","222,912","(+/-5,348)","216,941","(+/-4,453)","220,475","(+/-5,214)","215,446","(+/-5,241)","211,680","(+/-5,762)","214,793","(+/-4,956)","147,531","(+/-5,284)"
Housing,Value,"Less than $50,000","17,391","(+/-2,175)","11,396","(+/-1,484)","11,441","(+/-1,598)","11,720","(+/-1,784)","4,938","(+/-1,323)","10,239","(+/-1,474)","8,410","(+/-1,613)","16,367","(+/-1,948)","10,381","(+/-1,648)"
Housing,Value,"$50,000 to $99,999","28,431","(+/-3,194)","13,217","(+/-2,118)","15,010","(+/-1,869)","14,398","(+/-1,787)","3,162","(+/-1,041)","12,641","(+/-1,835)","10,603","(+/-1,568)","26,139","(+/-2,360)","24,166","(+/-2,418)"
Housing,Value,"$100,000 to $149,999","31,467","(+/-2,781)","13,616","(+/-1,868)","21,741","(+/-2,628)","16,730","(+/-2,065)","4,667","(+/-1,354)","13,503","(+/-1,613)","12,866","(+/-1,877)","24,092","(+/-2,272)","19,749","(+/-2,536)"
Housing,Value,"$150,000 to $199,999","34,006","(+/-3,051)","27,948","(+/-2,423)","29,879","(+/-2,935)","17,623","(+/-2,277)","7,645","(+/-1,539)","15,991","(+/-2,278)","17,849","(+/-2,270)","26,289","(+/-2,637)","22,596","(+/-2,935)"
Housing,Value,"$200,000 to $299,999","54,347","(+/-3,537)","55,118","(+/-3,157)","53,360","(+/-4,016)","52,598","(+/-3,155)","26,771","(+/-3,564)","44,050","(+/-3,205)","45,265","(+/-3,342)","41,072","(+/-2,870)","35,808","(+/-2,980)"
Housing,Value,"$300,000 to $499,999","49,410","(+/-3,863)","65,105","(+/-3,260)","61,634","(+/-3,962)","66,997","(+/-3,593)","72,487","(+/-3,987)","72,112","(+/-3,644)","65,314","(+/-3,844)","52,554","(+/-2,593)","26,792","(+/-2,557)"
Housing,Value,"$500,000 to $999,999","19,756","(+/-2,140)","34,521","(+/-2,219)","25,607","(+/-2,358)","33,798","(+/-3,206)","72,034","(+/-4,184)","39,964","(+/-2,610)","41,251","(+/-3,151)","24,787","(+/-2,181)","6,828","(+/-1,411)"
Housing,Value,"$1,000,000 or more","2,506",(+/-819),"6,017","(+/-1,200)","4,240",(+/-989),"3,077",(+/-992),"28,771","(+/-2,823)","6,946","(+/-1,264)","10,122","(+/-1,860)","3,493",(+/-914),"1,211",(+/-534)
Housing,Value,"Median (dollars)","212,200","(+/-6,941)","284,400","(+/-6,290)","261,300","(+/-6,744)","291,800","(+/-5,419)","470,800","(+/-11,274)","325,800","(+/-7,162)","327,500","(+/-7,135)","235,100","(+/-7,188)","192,200","(+/-7,774)"
Housing,"Mortgage Status","Owner-occupied units","237,314","(+/-4,657)","226,938","(+/-4,513)","222,912","(+/-5,348)","216,941","(+/-4,453)","220,475","(+/-5,214)","215,446","(+/-5,241)","211,680","(+/-5,762)","214,793","(+/-4,956)","147,531","(+/-5,284)"
Housing,"Mortgage Status","Housing units with a mortgage","115,777","(+/-4,718)","127,780","(+/-4,379)","119,188","(+/-4,698)","124,479","(+/-4,626)","149,665","(+/-5,300)","124,476","(+/-4,604)","131,314","(+/-4,759)","117,816","(+/-4,604)","89,681","(+/-4,540)"
Housing,"Mortgage Status","Housing units without a mortgage","121,537","(+/-4,383)","99,158","(+/-4,315)","103,724","(+/-4,957)","92,462","(+/-4,248)","70,810","(+/-3,991)","90,970","(+/-3,872)","80,366","(+/-4,309)","96,977","(+/-3,664)","57,850","(+/-3,436)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","115,777","(+/-4,718)","127,780","(+/-4,379)","119,188","(+/-4,698)","124,479","(+/-4,626)","149,665","(+/-5,300)","124,476","(+/-4,604)","131,314","(+/-4,759)","117,816","(+/-4,604)","89,681","(+/-4,540)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","2,418",(+/-731),"1,414",(+/-604),976,(+/-426),"1,132",(+/-470),"1,000",(+/-573),"1,685",(+/-655),"1,779",(+/-681),"1,576",(+/-452),"1,066",(+/-435)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","41,498","(+/-3,006)","27,808","(+/-2,662)","27,116","(+/-2,480)","26,135","(+/-2,714)","13,207","(+/-2,188)","22,375","(+/-2,494)","19,574","(+/-2,291)","28,618","(+/-2,267)","19,771","(+/-2,311)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","38,984","(+/-3,266)","46,043","(+/-3,318)","43,927","(+/-3,621)","42,878","(+/-3,845)","33,229","(+/-3,559)","39,641","(+/-3,161)","40,259","(+/-3,300)","32,522","(+/-3,208)","32,096","(+/-3,320)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","18,055","(+/-2,024)","26,756","(+/-2,380)","26,831","(+/-2,936)","28,721","(+/-2,886)","36,974","(+/-3,042)","31,149","(+/-3,059)","32,584","(+/-2,973)","23,072","(+/-2,560)","20,418","(+/-2,709)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","8,067","(+/-1,860)","12,585","(+/-1,653)","10,664","(+/-1,419)","13,490","(+/-2,459)","25,952","(+/-2,772)","14,758","(+/-1,915)","17,482","(+/-2,389)","13,224","(+/-1,949)","9,007","(+/-1,651)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","3,428","(+/-1,064)","5,143","(+/-1,067)","4,762","(+/-1,430)","6,469","(+/-1,657)","13,745","(+/-2,115)","7,972","(+/-1,393)","8,028","(+/-1,537)","8,147","(+/-1,455)","3,878","(+/-1,062)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","3,327",(+/-896),"8,031","(+/-1,550)","4,912","(+/-1,114)","5,654","(+/-1,361)","25,558","(+/-2,968)","6,896","(+/-1,329)","11,608","(+/-1,746)","10,657","(+/-1,292)","3,445","(+/-1,071)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,149",(+/-27),"1,354",(+/-31),"1,343",(+/-33),"1,410",(+/-32),"1,869",(+/-48),"1,482",(+/-34),"1,553",(+/-38),"1,437",(+/-42),"1,358",(+/-46)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","121,537","(+/-4,383)","99,158","(+/-4,315)","103,724","(+/-4,957)","92,462","(+/-4,248)","70,810","(+/-3,991)","90,970","(+/-3,872)","80,366","(+/-4,309)","96,977","(+/-3,664)","57,850","(+/-3,436)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","22,140","(+/-2,466)","13,095","(+/-1,726)","14,674","(+/-2,133)","12,427","(+/-1,997)","3,718","(+/-1,303)","10,868","(+/-1,478)","7,287","(+/-1,384)","12,727","(+/-1,751)","4,544","(+/-1,196)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","46,626","(+/-3,304)","31,150","(+/-2,581)","32,134","(+/-3,517)","31,413","(+/-3,102)","13,317","(+/-2,027)","28,175","(+/-2,216)","22,075","(+/-2,817)","26,274","(+/-2,195)","11,589","(+/-1,829)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","37,722","(+/-2,529)","35,097","(+/-3,207)","33,070","(+/-3,101)","31,113","(+/-3,174)","23,463","(+/-2,715)","30,304","(+/-2,600)","26,147","(+/-2,520)","29,794","(+/-2,350)","20,423","(+/-2,519)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","9,976","(+/-1,442)","11,455","(+/-1,674)","14,840","(+/-1,899)","11,211","(+/-1,509)","16,282","(+/-2,385)","13,534","(+/-2,027)","15,468","(+/-2,103)","13,504","(+/-1,887)","11,648","(+/-1,567)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","2,589",(+/-832),"4,232",(+/-886),"3,738","(+/-1,048)","3,393","(+/-1,184)","5,847","(+/-1,266)","3,377",(+/-946),"4,378","(+/-1,009)","6,656",(+/-991),"4,592","(+/-1,050)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","2,484",(+/-677),"4,129","(+/-1,077)","5,268","(+/-1,085)","2,905",(+/-821),"8,183","(+/-1,297)","4,712","(+/-1,084)","5,011","(+/-1,387)","8,022","(+/-1,395)","5,054","(+/-1,267)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",376,(+/-8),427,(+/-12),427,(+/-13),413,(+/-16),555,(+/-18),432,(+/-10),466,(+/-14),453,(+/-11),509,(+/-20)
Housing,"Gross Rent","Occupied units paying rent","81,569","(+/-4,469)","89,862","(+/-4,517)","86,298","(+/-4,834)","79,376","(+/-4,747)","92,790","(+/-5,590)","102,011","(+/-5,830)","109,136","(+/-5,678)","72,379","(+/-4,289)","149,492","(+/-5,961)"
Housing,"Gross Rent","Less than $500","13,261","(+/-2,543)","8,703","(+/-1,501)","8,335","(+/-1,694)","7,263","(+/-1,867)","2,721","(+/-1,144)","11,549","(+/-1,891)","7,655","(+/-1,897)","10,483","(+/-1,764)","7,705","(+/-2,091)"
Housing,"Gross Rent","$500 to $999","45,617","(+/-3,795)","32,450","(+/-3,149)","34,553","(+/-3,395)","29,597","(+/-3,019)","12,693","(+/-2,239)","30,328","(+/-3,510)","22,554","(+/-2,876)","36,008","(+/-3,238)","49,902","(+/-3,624)"
Housing,"Gross Rent","$1,000 to $1,499","16,946","(+/-2,692)","29,613","(+/-3,286)","29,144","(+/-3,080)","24,805","(+/-3,187)","31,767","(+/-3,900)","35,322","(+/-3,815)","35,073","(+/-3,480)","17,724","(+/-2,636)","60,650","(+/-5,203)"
Housing,"Gross Rent","$1,500 to $1,999","4,191","(+/-1,291)","12,843","(+/-2,351)","9,704","(+/-1,752)","12,172","(+/-2,512)","29,992","(+/-4,169)","14,933","(+/-2,251)","26,366","(+/-3,392)","3,801","(+/-1,158)","23,265","(+/-3,752)"
Housing,"Gross Rent","$2,000 to $2,499","1,051",(+/-668),"4,221","(+/-1,152)","3,425","(+/-1,191)","3,346","(+/-1,447)","10,762","(+/-1,923)","6,340","(+/-1,863)","9,070","(+/-1,691)","2,482",(+/-885),"5,210","(+/-1,723)"
Housing,"Gross Rent","$2,500 to $2,999",73,(+/-120),809,(+/-437),232,(+/-234),"1,505","(+/-1,023)","1,852",(+/-853),"1,741",(+/-825),"4,248","(+/-1,603)",236,(+/-251),"1,887","(+/-1,243)"
Housing,"Gross Rent","$3,000 or more",430,(+/-305),"1,223",(+/-539),905,(+/-595),688,(+/-497),"3,003","(+/-1,119)","1,798",(+/-940),"4,170","(+/-1,422)","1,645",(+/-875),873,(+/-477)
Housing,"Gross Rent","Median (dollars)",820,(+/-28),"1,055",(+/-32),"1,004",(+/-42),"1,051",(+/-46),"1,488",(+/-53),"1,138",(+/-46),"1,350",(+/-45),853,(+/-28),"1,114",(+/-22)
Housing,"Gross Rent","No rent paid","10,182","(+/-1,898)","7,520","(+/-1,560)","7,328","(+/-1,623)","8,419","(+/-1,513)","4,979","(+/-1,295)","8,898","(+/-2,228)","5,674","(+/-1,152)","10,340","(+/-1,558)","6,401","(+/-1,869)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","329,065","(+/-4,534)","324,320","(+/-3,181)","316,538","(+/-3,825)","304,736","(+/-3,209)","318,244","(+/-6,154)","326,355","(+/-4,975)","326,490","(+/-5,075)","297,512","(+/-4,997)","303,424","(+/-4,285)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","19,245","(+/-2,339)","16,297","(+/-2,326)","12,299","(+/-1,771)","14,712","(+/-2,137)","12,255","(+/-2,292)","19,700","(+/-3,086)","18,158","(+/-2,966)","16,908","(+/-2,224)","25,219","(+/-2,836)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","19,229","(+/-2,548)","15,169","(+/-2,340)","17,537","(+/-2,499)","10,843","(+/-1,529)","6,480","(+/-1,758)","15,965","(+/-2,856)","9,671","(+/-1,944)","14,049","(+/-1,800)","13,190","(+/-2,001)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","33,328","(+/-3,479)","25,679","(+/-2,701)","24,007","(+/-2,397)","19,700","(+/-2,056)","15,733","(+/-2,274)","25,685","(+/-2,491)","20,812","(+/-2,854)","27,025","(+/-2,964)","29,084","(+/-3,465)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$25,000 to $34,999","31,949","(+/-3,174)","26,014","(+/-2,438)","26,923","(+/-2,565)","25,070","(+/-2,960)","16,886","(+/-2,264)","27,358","(+/-2,790)","21,965","(+/-3,006)","25,523","(+/-2,425)","31,820","(+/-3,903)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$35,000 to $49,999","45,628","(+/-3,611)","41,351","(+/-3,402)","37,050","(+/-3,361)","41,681","(+/-3,771)","33,425","(+/-3,401)","38,973","(+/-3,410)","42,624","(+/-3,972)","36,545","(+/-3,293)","42,782","(+/-3,725)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$50,000 to $74,999","61,570","(+/-3,913)","55,385","(+/-3,618)","54,708","(+/-3,716)","62,254","(+/-4,189)","54,857","(+/-4,885)","58,817","(+/-4,867)","61,354","(+/-4,599)","47,125","(+/-2,939)","56,540","(+/-4,428)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$75,000 to $99,999","40,220","(+/-3,737)","44,265","(+/-3,244)","44,219","(+/-3,429)","44,460","(+/-4,188)","40,209","(+/-4,602)","46,201","(+/-3,681)","46,510","(+/-4,246)","36,831","(+/-2,930)","34,395","(+/-3,555)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$100,000 to $149,999","42,572","(+/-4,203)","52,509","(+/-4,248)","54,645","(+/-3,942)","46,687","(+/-3,664)","57,184","(+/-3,934)","50,105","(+/-3,579)","55,483","(+/-4,196)","46,807","(+/-3,569)","41,460","(+/-4,050)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$150,000 to $199,000","17,584","(+/-2,693)","21,912","(+/-2,403)","22,247","(+/-2,750)","24,771","(+/-2,894)","32,362","(+/-2,975)","22,169","(+/-2,478)","25,087","(+/-2,960)","22,350","(+/-1,947)","15,548","(+/-2,662)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$200,000 or more","17,740","(+/-2,353)","25,739","(+/-2,667)","22,903","(+/-2,130)","14,558","(+/-2,031)","48,853","(+/-3,383)","21,382","(+/-2,341)","24,826","(+/-2,929)","24,349","(+/-2,350)","13,386","(+/-2,046)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Median household income (dollars)","54,716","(+/-1,945)","66,809","(+/-2,157)","68,127","(+/-2,160)","65,227","(+/-2,385)","86,017","(+/-2,497)","64,687","(+/-2,445)","70,095","(+/-2,845)","63,678","(+/-2,977)","53,183","(+/-1,866)"
