Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
Housing,"Year Householder Moved into Unit","Occupied housing units","307,822","(+/-4,994)","285,770","(+/-3,345)","275,775","(+/-4,702)","303,285","(+/-3,526)","285,704","(+/-5,444)","267,984","(+/-3,385)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","77,010","(+/-5,083)","48,118","(+/-3,854)","55,858","(+/-4,075)","59,164","(+/-4,460)","52,487","(+/-3,981)","50,052","(+/-3,773)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","77,533","(+/-4,297)","66,478","(+/-4,210)","62,959","(+/-4,009)","73,751","(+/-4,164)","70,149","(+/-4,915)","68,458","(+/-4,170)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","72,478","(+/-4,300)","78,881","(+/-4,170)","74,057","(+/-3,966)","78,859","(+/-3,973)","75,927","(+/-4,310)","68,318","(+/-4,120)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","40,684","(+/-2,707)","45,571","(+/-3,401)","44,814","(+/-3,051)","42,812","(+/-2,960)","45,899","(+/-3,950)","43,770","(+/-2,985)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","22,362","(+/-1,958)","25,853","(+/-2,150)","20,778","(+/-2,246)","27,121","(+/-2,048)","24,426","(+/-2,496)","22,136","(+/-2,496)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","17,755","(+/-1,823)","20,869","(+/-1,806)","17,309","(+/-1,961)","21,578","(+/-2,122)","16,816","(+/-1,746)","15,250","(+/-1,645)"
Housing,Value,"Owner-occupied units","171,191","(+/-4,175)","192,873","(+/-4,922)","164,221","(+/-4,949)","193,607","(+/-4,449)","196,223","(+/-5,174)","166,671","(+/-4,089)"
Housing,Value,"Less than $50,000","4,226","(+/-1,025)","11,044","(+/-2,040)","5,375","(+/-1,404)","10,095","(+/-1,278)","6,079","(+/-1,324)","5,526","(+/-1,064)"
Housing,Value,"$50,000 to $99,999","2,213",(+/-615),"7,796","(+/-1,273)","2,197",(+/-756),"4,585",(+/-968),"3,433","(+/-1,088)","4,742","(+/-1,294)"
Housing,Value,"$100,000 to $149,999","1,499",(+/-552),"7,777","(+/-1,345)","1,557",(+/-520),"3,633",(+/-868),"2,613","(+/-1,108)","2,870",(+/-989)
Housing,Value,"$150,000 to $199,999","1,913",(+/-686),"10,804","(+/-1,400)","1,930",(+/-889),"5,875","(+/-1,300)","2,442",(+/-733),"3,463","(+/-1,111)"
Housing,Value,"$200,000 to $299,999","9,279","(+/-1,506)","35,041","(+/-3,188)","6,008","(+/-1,073)","23,109","(+/-1,985)","10,169","(+/-1,733)","13,399","(+/-1,917)"
Housing,Value,"$300,000 to $499,999","50,398","(+/-3,855)","70,658","(+/-4,239)","59,457","(+/-3,456)","81,574","(+/-4,066)","57,368","(+/-4,300)","63,365","(+/-2,984)"
Housing,Value,"$500,000 to $999,999","87,498","(+/-3,713)","43,598","(+/-2,893)","80,280","(+/-4,059)","57,658","(+/-3,441)","89,508","(+/-4,194)","65,611","(+/-3,001)"
Housing,Value,"$1,000,000 or more","14,165","(+/-1,771)","6,155","(+/-1,364)","7,417","(+/-1,281)","7,078","(+/-1,258)","24,611","(+/-2,500)","7,695","(+/-1,265)"
Housing,Value,"Median (dollars)","565,900","(+/-12,304)","363,100","(+/-8,374)","523,800","(+/-11,963)","420,600","(+/-7,029)","565,000","(+/-13,858)","469,300","(+/-7,923)"
Housing,"Mortgage Status","Owner-occupied units","171,191","(+/-4,175)","192,873","(+/-4,922)","164,221","(+/-4,949)","193,607","(+/-4,449)","196,223","(+/-5,174)","166,671","(+/-4,089)"
Housing,"Mortgage Status","Housing units with a mortgage","116,015","(+/-4,409)","112,696","(+/-4,257)","118,686","(+/-4,821)","112,815","(+/-4,606)","132,960","(+/-5,057)","113,412","(+/-3,940)"
Housing,"Mortgage Status","Housing units without a mortgage","55,176","(+/-2,973)","80,177","(+/-3,700)","45,535","(+/-2,883)","80,792","(+/-3,963)","63,263","(+/-3,686)","53,259","(+/-3,635)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","116,015","(+/-4,409)","112,696","(+/-4,257)","118,686","(+/-4,821)","112,815","(+/-4,606)","132,960","(+/-5,057)","113,412","(+/-3,940)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",528,(+/-404),"1,982",(+/-693),363,(+/-265),975,(+/-619),529,(+/-317),205,(+/-154)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","4,783",(+/-889),"16,649","(+/-2,018)","4,539","(+/-1,287)","10,710","(+/-1,878)","5,255","(+/-1,135)","6,788","(+/-1,285)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","14,574","(+/-2,061)","35,411","(+/-3,024)","15,080","(+/-1,755)","28,907","(+/-2,537)","23,014","(+/-2,745)","19,676","(+/-1,868)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","24,018","(+/-2,284)","28,630","(+/-2,697)","30,871","(+/-2,578)","33,032","(+/-2,732)","32,204","(+/-3,006)","34,541","(+/-3,287)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","28,939","(+/-3,011)","15,624","(+/-2,277)","26,544","(+/-2,629)","20,341","(+/-2,292)","27,657","(+/-2,866)","22,235","(+/-2,325)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","18,802","(+/-1,912)","6,406","(+/-1,207)","17,698","(+/-2,071)","9,535","(+/-1,518)","17,319","(+/-2,469)","13,822","(+/-2,074)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","24,371","(+/-2,594)","7,994","(+/-1,483)","23,591","(+/-2,497)","9,315","(+/-1,574)","26,982","(+/-2,631)","16,145","(+/-1,713)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","2,244",(+/-46),"1,537",(+/-54),"2,160",(+/-45),"1,721",(+/-37),"2,099",(+/-53),"1,938",(+/-35)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","55,176","(+/-2,973)","80,177","(+/-3,700)","45,535","(+/-2,883)","80,792","(+/-3,963)","63,263","(+/-3,686)","53,259","(+/-3,635)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","2,220",(+/-766),"9,332","(+/-1,251)","1,437",(+/-603),"5,188","(+/-1,122)","3,499","(+/-1,313)","2,321",(+/-931)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","4,554","(+/-1,004)","17,514","(+/-2,082)","2,604",(+/-766),"13,226","(+/-1,504)","5,521","(+/-1,041)","5,251","(+/-1,165)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","10,146","(+/-1,506)","28,675","(+/-2,317)","8,903","(+/-1,333)","27,616","(+/-2,472)","16,998","(+/-1,790)","14,332","(+/-1,978)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","14,854","(+/-1,717)","13,901","(+/-1,828)","14,219","(+/-1,592)","19,121","(+/-1,810)","14,089","(+/-1,949)","13,526","(+/-1,678)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","8,754","(+/-1,146)","5,884",(+/-947),"10,192","(+/-1,667)","9,052","(+/-1,272)","11,336","(+/-1,577)","8,225","(+/-1,617)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","14,648","(+/-1,675)","4,871",(+/-967),"8,180","(+/-1,309)","6,589","(+/-1,161)","11,820","(+/-1,701)","9,604","(+/-1,729)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",735,(+/-25),481,(+/-12),738,(+/-23),559,(+/-13),671,(+/-26),659,(+/-21)
Housing,"Gross Rent","Occupied units paying rent","133,198","(+/-5,194)","85,137","(+/-4,008)","107,781","(+/-5,071)","103,606","(+/-4,153)","85,395","(+/-4,602)","97,634","(+/-4,720)"
Housing,"Gross Rent","Less than $500","5,472","(+/-1,464)","8,123","(+/-1,689)","4,502","(+/-1,337)","5,737","(+/-1,284)","2,924",(+/-796),"2,796",(+/-984)
Housing,"Gross Rent","$500 to $999","14,831","(+/-2,351)","31,610","(+/-2,861)","10,954","(+/-2,204)","30,051","(+/-2,856)","14,662","(+/-2,232)","13,032","(+/-2,283)"
Housing,"Gross Rent","$1,000 to $1,499","41,581","(+/-3,601)","28,731","(+/-2,880)","41,105","(+/-3,622)","40,195","(+/-3,256)","28,242","(+/-3,024)","40,235","(+/-3,288)"
Housing,"Gross Rent","$1,500 to $1,999","41,896","(+/-4,365)","11,133","(+/-1,854)","30,104","(+/-3,703)","19,092","(+/-2,432)","21,462","(+/-2,404)","27,630","(+/-3,053)"
Housing,"Gross Rent","$2,000 to $2,499","18,890","(+/-2,471)","3,387","(+/-1,003)","12,521","(+/-2,047)","5,497","(+/-1,413)","10,537","(+/-1,734)","9,775","(+/-1,695)"
Housing,"Gross Rent","$2,500 to $2,999","6,797","(+/-1,366)",755,(+/-527),"5,117","(+/-1,124)","1,472",(+/-724),"3,539","(+/-1,246)","3,193",(+/-961)
Housing,"Gross Rent","$3,000 or more","3,731","(+/-1,003)","1,398",(+/-652),"3,478","(+/-1,044)","1,562",(+/-529),"4,029",(+/-885),973,(+/-509)
Housing,"Gross Rent","Median (dollars)","1,556",(+/-42),"1,038",(+/-33),"1,472",(+/-40),"1,194",(+/-32),"1,450",(+/-37),"1,411",(+/-32)
Housing,"Gross Rent","No rent paid","3,433",(+/-995),"7,760","(+/-1,773)","3,773","(+/-1,130)","6,072","(+/-1,442)","4,086","(+/-1,307)","3,679","(+/-1,276)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","307,822","(+/-4,994)","285,770","(+/-3,345)","275,775","(+/-4,702)","303,285","(+/-3,526)","285,704","(+/-5,444)","267,984","(+/-3,385)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","13,397","(+/-2,121)","17,061","(+/-2,362)","13,564","(+/-2,046)","21,152","(+/-2,671)","10,355","(+/-1,725)","11,768","(+/-2,082)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","8,575","(+/-1,415)","13,832","(+/-1,934)","9,326","(+/-1,798)","13,143","(+/-1,902)","7,339","(+/-1,458)","7,177","(+/-1,499)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","16,518","(+/-2,423)","24,795","(+/-2,558)","16,493","(+/-2,268)","28,618","(+/-2,900)","13,833","(+/-2,091)","18,303","(+/-2,245)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$25,000 to $34,999","17,719","(+/-2,124)","23,358","(+/-2,735)","16,346","(+/-2,799)","24,109","(+/-2,447)","16,038","(+/-1,970)","17,305","(+/-2,757)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$35,000 to $49,999","27,678","(+/-3,168)","37,534","(+/-3,494)","27,594","(+/-2,776)","39,536","(+/-2,898)","28,385","(+/-3,223)","27,754","(+/-3,421)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$50,000 to $74,999","44,831","(+/-3,300)","50,507","(+/-3,757)","45,226","(+/-3,819)","50,762","(+/-3,943)","48,893","(+/-3,769)","47,142","(+/-3,598)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$75,000 to $99,999","39,801","(+/-3,008)","38,347","(+/-2,936)","36,016","(+/-3,011)","40,879","(+/-3,316)","39,343","(+/-3,185)","34,718","(+/-3,164)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$100,000 to $149,999","60,480","(+/-4,218)","45,291","(+/-3,077)","50,925","(+/-3,658)","46,939","(+/-3,634)","53,589","(+/-3,502)","51,955","(+/-3,702)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$150,000 to $199,000","31,181","(+/-3,033)","17,144","(+/-2,018)","26,315","(+/-2,646)","18,729","(+/-2,121)","31,586","(+/-2,705)","23,659","(+/-2,618)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$200,000 or more","47,642","(+/-3,169)","17,901","(+/-2,295)","33,970","(+/-3,067)","19,418","(+/-2,327)","36,343","(+/-2,741)","28,203","(+/-2,327)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Median household income (dollars)","89,182","(+/-2,588)","62,171","(+/-2,166)","80,939","(+/-3,508)","61,845","(+/-2,705)","86,573","(+/-2,467)","78,442","(+/-2,879)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Mean household income (dollars)","121,788","(+/-3,188)","82,649","(+/-3,193)","107,142","(+/-3,330)","83,460","(+/-2,918)","118,546","(+/-3,667)","103,902","(+/-3,222)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","709,358","(+/-10,092)","688,188","(+/-4,541)","682,689","(+/-10,662)","711,184","(+/-3,620)","715,402","(+/-10,755)","692,650","(+/-8,326)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","669,989","(+/-10,864)","642,944","(+/-6,394)","639,218","(+/-11,576)","672,637","(+/-4,947)","676,585","(+/-11,019)","645,661","(+/-10,674)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","518,882","(+/-11,726)","411,214","(+/-11,006)","471,237","(+/-12,156)","455,059","(+/-9,758)","499,341","(+/-13,736)","462,246","(+/-11,826)"
Socioeconomic,"Health Insurance Coverage","With public coverage","227,794","(+/-8,562)","358,241","(+/-10,210)","241,432","(+/-11,405)","339,651","(+/-9,493)","284,960","(+/-10,601)","276,237","(+/-10,542)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","39,369","(+/-4,922)","45,244","(+/-4,050)","43,471","(+/-4,690)","38,547","(+/-4,234)","38,817","(+/-3,768)","46,989","(+/-6,038)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","141,550","(+/-4,817)","153,015","(+/-3,249)","141,636","(+/-5,688)","132,216","(+/-2,583)","154,595","(+/-4,877)","165,260","(+/-5,580)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","2,615","(+/-1,126)","6,149","(+/-1,402)","3,406","(+/-1,572)","3,189","(+/-1,717)","5,520","(+/-1,198)","5,945","(+/-1,997)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",4.9,(+/-1.1),8.4,(+/-1.2),7.8,(+/-1.6),9.5,(+/-1.5),7.0,(+/-1.0),8.5,(+/-1.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",8.0,(+/-2.3),12.6,(+/-2.1),11.4,(+/-2.7),16.0,(+/-3.1),11.5,(+/-2.1),13.4,(+/-2.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",5.6,(+/-4.6),14.2,(+/-5.4),13.5,(+/-6.0),12.3,(+/-6.2),16.9,(+/-6.3),10.9,(+/-5.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.6,(+/-1.0),4.4,(+/-0.9),4.1,(+/-1.1),5.3,(+/-1.1),3.9,(+/-0.9),3.2,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.3,(+/-2.2),4.7,(+/-1.7),5.0,(+/-2.1),6.9,(+/-2.2),4.5,(+/-1.7),3.9,(+/-1.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.3,(+/-5.5),3.5,(+/-3.3),3.7,(+/-3.4),5.5,(+/-5.1),4.0,(+/-3.2),1.8,(+/-2.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",16.8,(+/-5.1),24.4,(+/-5.4),19.7,(+/-5.3),26.0,(+/-4.6),19.8,(+/-4.3),26.4,(+/-4.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",21.6,(+/-7.5),31.9,(+/-6.9),26.9,(+/-7.1),39.9,(+/-7.2),31.7,(+/-7.7),35.6,(+/-6.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",11.8,(+/-12.1),45.0,(+/-16.3),48.8,(+/-19.6),21.1,(+/-12.4),57.9,(+/-20.3),38.9,(+/-17.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",9.5,(+/-1.0),13.6,(+/-1.0),11.6,(+/-1.2),16.3,(+/-1.2),10.4,(+/-0.9),11.4,(+/-1.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",10.3,(+/-2.5),13.4,(+/-2.2),13.0,(+/-2.9),17.8,(+/-3.0),14.3,(+/-2.6),14.4,(+/-3.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",9.5,(+/-2.6),13.1,(+/-2.2),12.4,(+/-2.8),17.3,(+/-2.9),13.7,(+/-2.6),14.0,(+/-3.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",7.7,(+/-3.7),16.3,(+/-4.0),15.0,(+/-5.2),15.7,(+/-4.4),20.6,(+/-5.3),15.4,(+/-4.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",10.2,(+/-3.0),12.1,(+/-2.4),11.6,(+/-2.9),17.8,(+/-3.2),11.4,(+/-2.3),13.6,(+/-3.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",9.3,(+/-0.9),13.7,(+/-1.0),11.3,(+/-1.0),16.0,(+/-1.1),9.4,(+/-0.8),10.5,(+/-1.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",8.9,(+/-1.3),9.7,(+/-1.2),13.4,(+/-1.7),10.0,(+/-1.3),9.1,(+/-1.3),8.6,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",5.3,(+/-1.2),8.5,(+/-1.2),7.9,(+/-1.5),10.1,(+/-1.5),7.6,(+/-1.1),8.5,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",19.8,(+/-1.4),30.4,(+/-2.1),20.2,(+/-1.7),30.6,(+/-2.1),21.4,(+/-2.0),22.2,(+/-2.4)
Education,"School Enrollment","Population 3 years and over enrolled in school","150,585","(+/-5,315)","145,664","(+/-5,111)","145,965","(+/-5,643)","160,987","(+/-4,360)","143,821","(+/-6,088)","162,792","(+/-6,080)"
Education,"School Enrollment","Nursery school, preschool","10,748","(+/-1,628)","6,048","(+/-1,408)","9,659","(+/-1,584)","6,626","(+/-1,170)","9,232","(+/-1,492)","7,334","(+/-1,421)"
Education,"School Enrollment",Kindergarten,"7,263","(+/-1,528)","6,261","(+/-1,158)","7,628","(+/-1,605)","6,011","(+/-1,371)","8,672","(+/-1,528)","7,398","(+/-1,372)"
Education,"School Enrollment","Elementary school (grades 1-8)","56,514","(+/-3,414)","69,713","(+/-2,834)","59,222","(+/-3,928)","55,610","(+/-2,601)","64,824","(+/-3,393)","69,478","(+/-3,628)"
Education,"School Enrollment","High school (grades 9-12)","33,352","(+/-2,620)","34,254","(+/-2,434)","33,392","(+/-2,514)","28,823","(+/-1,754)","32,928","(+/-2,646)","42,055","(+/-3,373)"
Education,"School Enrollment","College or graduate school","42,708","(+/-3,636)","29,388","(+/-3,337)","36,064","(+/-3,017)","63,917","(+/-3,842)","28,165","(+/-3,599)","36,527","(+/-3,067)"
Education,"Educational Attainment","Population 25 years and over","523,564","(+/-8,320)","505,762","(+/-3,636)","502,238","(+/-7,536)","507,864","(+/-2,990)","520,110","(+/-7,164)","484,392","(+/-5,302)"
Education,"Educational Attainment","Less than 9th grade","18,832","(+/-3,346)","21,087","(+/-2,833)","20,708","(+/-3,188)","11,612","(+/-2,373)","10,592","(+/-2,158)","26,310","(+/-2,996)"
Education,"Educational Attainment","9th to 12th grade, no diploma","20,487","(+/-2,973)","31,208","(+/-2,784)","23,918","(+/-2,886)","24,985","(+/-3,086)","20,364","(+/-2,739)","24,493","(+/-3,016)"
Education,"Educational Attainment","High school graduate (includes equivalency)","91,818","(+/-5,425)","152,780","(+/-6,146)","101,033","(+/-6,079)","121,492","(+/-5,168)","116,537","(+/-6,780)","106,588","(+/-6,204)"
Education,"Educational Attainment","Some college, no degree","105,675","(+/-5,842)","132,446","(+/-5,282)","113,510","(+/-5,852)","131,584","(+/-5,868)","122,019","(+/-6,555)","115,927","(+/-5,567)"
Education,"Educational Attainment","Associate's degree","46,362","(+/-4,168)","49,116","(+/-3,519)","37,985","(+/-2,902)","47,595","(+/-3,850)","49,440","(+/-4,153)","41,188","(+/-3,672)"
Education,"Educational Attainment","Bachelor's degree","138,923","(+/-6,684)","73,965","(+/-4,293)","126,954","(+/-5,333)","98,141","(+/-5,905)","130,165","(+/-6,073)","107,677","(+/-5,539)"
Education,"Educational Attainment","Graduate or professional degree","101,467","(+/-5,066)","45,160","(+/-3,814)","78,130","(+/-4,702)","72,455","(+/-4,274)","70,993","(+/-3,872)","62,209","(+/-4,487)"
Education,"Educational Attainment","Percent high school graduate or higher",92.5,(+/-0.8),89.7,(+/-0.8),91.1,(+/-0.8),92.8,(+/-0.8),94.0,(+/-0.7),89.5,(+/-0.9)
Education,"Educational Attainment","Percent bachelor's degree or higher",45.9,(+/-1.2),23.6,(+/-1.2),40.8,(+/-1.4),33.6,(+/-1.4),38.7,(+/-1.3),35.1,(+/-1.2)

"Source: 2022 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","375,979",G,"240,807",G,"258,959",G,"212,265",G,"193,407",G,"266,665",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting","1,250",G,"3,561",G,235,H,"3,578",G,"1,831",G,"2,995",G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",120,G,639,G,80,H,337,H,167,G,183,G
Business,"Paid employees for pay period including March 12",Utilities,"3,170",G,"1,380",H,"1,670",J,455,H,365,J,"1,345",H
Business,"Paid employees for pay period including March 12",Construction,"20,993",G,"16,006",G,"16,526",G,"12,930",G,"18,309",G,"22,616",G
Business,"Paid employees for pay period including March 12",Manufacturing,"35,830",G,"27,036",G,"25,186",G,"22,081",G,"24,227",G,"32,638",G
Business,"Paid employees for pay period including March 12","Wholesale trade","16,955",G,"7,655",G,"17,136",G,"7,124",G,"9,378",G,"15,394",G
Business,"Paid employees for pay period including March 12","Retail trade","34,835",G,"41,890",G,"36,583",G,"35,952",H,"27,371",G,"37,401",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","8,665",H,"10,570",G,"23,305",G,"5,558",G,"7,681",G,"11,229",G
Business,"Paid employees for pay period including March 12",Information,"13,778",G,"3,558",G,"3,356",H,"2,769",G,"3,166",G,"7,066",G
Business,"Paid employees for pay period including March 12","Finance and insurance","21,667",G,"7,096",G,"6,472",G,"7,458",G,"6,644",G,"10,295",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","9,471",G,"3,844",G,"4,896",G,"3,824",G,"3,327",G,"4,854",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","42,060",G,"9,599",G,"9,963",G,"10,437",G,"9,692",G,"13,295",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","32,412",H,"6,126",H,"4,733",H,"5,536",H,"1,955",G,"3,156",G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","21,555",G,"12,111",G,"12,232",G,"12,443",G,"11,096",G,"19,243",G
Business,"Paid employees for pay period including March 12","Educational services","8,489",G,"3,058",G,"6,763",H,"2,370",G,"3,889",H,"6,963",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","55,311",G,"44,891",G,"47,146",G,"42,924",G,"33,773",G,"41,063",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","4,755",G,"3,021",G,"4,064",G,"3,414",G,"2,821",H,"2,499",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","31,282",G,"29,046",G,"26,398",G,"24,857",G,"18,149",G,"24,042",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","13,336",G,"9,688",G,"12,190",G,"8,195",G,"9,551",G,"10,371",G
Business,"Paid employees for pay period including March 12","Industries not classified",45,J,32,J,25,J,23,H,15,G,17,G
Business,"Annual payroll ($1,000)","Total for all sectors","30,781,463",G,"11,446,519",G,"13,858,622",G,"10,879,501",G,"10,596,421",G,"15,417,109",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting","86,695",G,"213,680",G,"14,419",H,"213,533",G,"94,837",G,"178,614",G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","11,512",H,"40,983",G,"5,417",G,"21,639",H,"12,004",H,"12,070",H
Business,"Annual payroll ($1,000)",Utilities,"364,651",G,"140,894",H,"180,164",J,"50,560",H,"43,411",H,"127,426",H
Business,"Annual payroll ($1,000)",Construction,"1,684,366",G,"951,253",G,"1,229,811",G,"753,698",G,"1,195,487",G,"1,636,821",G
Business,"Annual payroll ($1,000)",Manufacturing,"3,725,678",G,"1,401,325",G,"1,575,280",G,"1,347,178",G,"1,530,108",G,"2,573,682",G
Business,"Annual payroll ($1,000)","Wholesale trade","1,750,226",H,"462,715",G,"1,243,380",G,"450,236",G,"631,077",G,"1,273,265",G
Business,"Annual payroll ($1,000)","Retail trade","1,311,233",G,"1,423,875",G,"1,321,766",G,"1,218,198",H,"1,025,211",G,"1,365,857",G
