Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,Ancestry,Norwegian,"3,009","(+/-1,381)","3,139",(+/-858),"5,528","(+/-1,433)","2,562","(+/-1,518)","9,706","(+/-2,174)","9,079","(+/-2,493)","4,455","(+/-1,524)","6,741","(+/-1,306)","9,450","(+/-2,008)","10,165","(+/-1,822)","12,909","(+/-2,371)","5,204","(+/-2,366)","3,270",(+/-999),"14,203","(+/-2,383)","4,368","(+/-1,485)","19,190","(+/-2,475)","10,560","(+/-1,885)"
People,Ancestry,Polish,"46,589","(+/-4,690)","20,015","(+/-3,095)","52,129","(+/-4,899)","38,368","(+/-4,800)","83,230","(+/-6,892)","102,057","(+/-8,716)","29,705","(+/-6,167)","88,265","(+/-8,089)","57,617","(+/-5,206)","52,173","(+/-5,346)","70,589","(+/-5,871)","16,755","(+/-2,627)","16,701","(+/-2,969)","52,886","(+/-6,401)","10,104","(+/-1,373)","27,312","(+/-3,565)","15,657","(+/-2,466)"
People,Ancestry,Portuguese,72,(+/-118),283,(+/-211),"1,435",(+/-785),189,(+/-161),919,(+/-775),"1,115",(+/-889),728,(+/-530),536,(+/-352),"1,356",(+/-834),451,(+/-288),648,(+/-424),237,(+/-197),"2,679","(+/-1,474)",558,(+/-415),534,(+/-302),"1,674","(+/-2,124)",347,(+/-290)
People,Ancestry,Russian,"1,525",(+/-656),"1,624",(+/-799),"4,448","(+/-1,929)","1,407",(+/-753),"12,153","(+/-2,664)","4,054","(+/-1,416)","7,144","(+/-3,834)","4,382","(+/-1,127)","12,323","(+/-2,346)","13,707","(+/-2,693)","6,968","(+/-2,723)","1,233",(+/-503),"1,760",(+/-757),"1,751",(+/-628),632,(+/-336),"2,216",(+/-774),"2,296",(+/-904)
People,Ancestry,Scotch-Irish,"1,398",(+/-749),"1,238",(+/-477),"2,158",(+/-779),"1,670",(+/-779),"2,622",(+/-784),"2,859",(+/-976),"2,556","(+/-1,136)","1,913",(+/-714),"3,309","(+/-1,148)","3,187",(+/-816),"3,380","(+/-1,150)","8,799","(+/-1,841)","6,309","(+/-1,552)","3,720","(+/-1,273)","5,833","(+/-2,239)","4,638","(+/-1,176)","5,104","(+/-1,215)"
People,Ancestry,Scottish,"3,036",(+/-857),"4,191","(+/-1,011)","5,792","(+/-1,682)","4,026","(+/-1,600)","9,369","(+/-2,120)","6,339","(+/-1,506)","4,214","(+/-1,249)","5,655","(+/-1,368)","9,149","(+/-2,240)","8,387","(+/-1,601)","7,390","(+/-1,604)","11,912","(+/-1,700)","10,042","(+/-2,002)","9,470","(+/-1,952)","13,921","(+/-2,133)","12,000","(+/-1,952)","11,743","(+/-1,846)"
People,Ancestry,Slovak,"2,252","(+/-1,002)","1,154",(+/-700),"1,029",(+/-535),694,(+/-454),"3,056","(+/-1,221)","3,703","(+/-1,162)",901,(+/-610),657,(+/-314),"1,229",(+/-604),"1,380",(+/-778),"1,993",(+/-708),368,(+/-222),"1,499",(+/-851),"2,315",(+/-661),"1,073",(+/-631),"2,583","(+/-1,088)",749,(+/-604)
People,Ancestry,"Subsaharan African","19,880","(+/-4,316)","24,689","(+/-4,498)","5,281","(+/-2,120)","1,232",(+/-766),"4,615","(+/-2,047)","3,608","(+/-1,717)","16,017","(+/-5,917)","2,799","(+/-1,885)","12,889","(+/-3,510)","3,707","(+/-1,950)","4,777","(+/-1,783)","2,217",(+/-988),"6,666","(+/-2,611)","16,642","(+/-4,404)","2,914","(+/-1,797)","4,062","(+/-2,501)","9,502","(+/-3,716)"
People,Ancestry,Swedish,"6,322","(+/-1,517)","5,960","(+/-1,341)","10,198","(+/-1,953)","2,900","(+/-1,065)","15,440","(+/-2,646)","12,702","(+/-2,126)","5,995","(+/-1,687)","14,750","(+/-2,998)","9,858","(+/-1,754)","13,329","(+/-1,916)","16,892","(+/-2,391)","7,031","(+/-1,356)","5,226","(+/-1,273)","15,940","(+/-2,571)","7,073","(+/-1,688)","30,008","(+/-3,549)","30,504","(+/-3,759)"
People,Ancestry,Swiss,908,(+/-631),"1,516",(+/-603),736,(+/-378),375,(+/-284),"2,061",(+/-857),"1,386",(+/-640),"1,227",(+/-542),"2,239","(+/-1,147)","2,638",(+/-908),"1,313",(+/-592),808,(+/-435),"1,472",(+/-784),"2,749","(+/-1,127)","1,200",(+/-642),"1,724",(+/-666),"6,175","(+/-1,644)","3,143",(+/-962)
People,Ancestry,Ukrainian,"2,993","(+/-2,201)",706,(+/-499),"5,280","(+/-2,138)","1,659",(+/-819),"8,376","(+/-2,707)","2,912","(+/-1,543)","2,849",(+/-962),"6,341","(+/-1,824)","9,434","(+/-2,871)","6,743","(+/-2,201)","4,762","(+/-2,110)",427,(+/-316),"1,137",(+/-684),"3,407","(+/-1,569)",501,(+/-356),"2,038","(+/-1,905)","1,058",(+/-550)
People,Ancestry,Welsh,811,(+/-378),562,(+/-316),"1,303",(+/-583),434,(+/-426),"2,239","(+/-1,021)","1,757",(+/-717),"1,695",(+/-819),"1,945",(+/-810),"2,630",(+/-845),"1,653",(+/-625),"2,900",(+/-914),"3,644",(+/-870),"3,700","(+/-1,196)","3,158","(+/-1,377)","3,524","(+/-1,079)","3,841","(+/-1,458)","3,430",(+/-884)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","7,657","(+/-3,155)","4,069","(+/-2,147)","1,300",(+/-579),602,(+/-485),"2,047",(+/-856),59,(+/-99),"6,351","(+/-2,955)","1,216",(+/-815),"7,071","(+/-2,889)","6,086","(+/-3,377)","1,152",(+/-721),776,(+/-516),"1,052","(+/-1,009)","2,027","(+/-1,130)",485,(+/-359),400,(+/-395),"1,156",(+/-747)
People,"Veteran Status","Civilian population 18 years and over","566,678","(+/-12,673)","560,212","(+/-11,785)","556,882","(+/-13,401)","553,452","(+/-13,709)","598,927","(+/-16,489)","579,703","(+/-9,885)","601,615","(+/-15,520)","584,903","(+/-9,815)","593,038","(+/-13,621)","565,818","(+/-6,533)","587,929","(+/-10,678)","583,592","(+/-3,889)","591,499","(+/-7,458)","576,275","(+/-7,696)","585,774","(+/-6,905)","577,381","(+/-7,972)","582,015","(+/-6,928)"
People,"Veteran Status","Civilian veterans","29,068","(+/-3,101)","31,143","(+/-2,757)","17,271","(+/-2,243)","13,623","(+/-1,925)","15,407","(+/-2,126)","24,468","(+/-2,427)","16,467","(+/-2,700)","18,822","(+/-2,279)","17,983","(+/-2,394)","27,540","(+/-2,677)","25,905","(+/-2,310)","52,003","(+/-3,080)","36,335","(+/-2,764)","26,964","(+/-2,459)","45,272","(+/-2,721)","40,221","(+/-3,304)","37,004","(+/-2,249)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","724,221","(+/-17,280)","720,265","(+/-14,811)","704,012","(+/-18,858)","708,921","(+/-18,043)","727,508","(+/-20,946)","732,967","(+/-12,917)","755,573","(+/-22,125)","745,833","(+/-10,022)","720,633","(+/-16,906)","725,483","(+/-7,695)","760,838","(+/-12,675)","725,089","(+/-4,813)","730,510","(+/-10,746)","747,804","(+/-8,621)","725,898","(+/-10,134)","735,840","(+/-11,096)","722,011","(+/-9,318)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","110,589","(+/-6,432)","104,688","(+/-7,086)","70,045","(+/-5,028)","75,129","(+/-5,956)","66,217","(+/-4,490)","76,511","(+/-4,163)","86,017","(+/-6,505)","66,472","(+/-4,959)","79,388","(+/-5,005)","72,937","(+/-5,055)","75,041","(+/-4,999)","130,269","(+/-5,912)","110,870","(+/-5,726)","83,711","(+/-5,038)","116,639","(+/-5,463)","88,247","(+/-4,654)","109,243","(+/-5,442)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","161,498","(+/-10,058)","169,928","(+/-9,056)","151,208","(+/-10,078)","165,160","(+/-9,269)","133,863","(+/-8,315)","157,912","(+/-8,292)","157,029","(+/-11,178)","164,533","(+/-7,178)","137,876","(+/-7,757)","167,099","(+/-4,040)","177,522","(+/-5,797)","161,325","(+/-3,471)","147,104","(+/-5,926)","179,987","(+/-4,081)","159,880","(+/-5,167)","166,432","(+/-5,557)","155,830","(+/-5,086)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","7,757","(+/-1,787)","7,797","(+/-1,936)","5,200","(+/-1,416)","5,768","(+/-1,634)","1,980",(+/-769),"5,359","(+/-1,204)","3,224","(+/-1,280)","3,120","(+/-1,067)","4,353","(+/-1,385)","6,372","(+/-1,628)","4,978","(+/-1,434)","10,159","(+/-1,788)","5,160","(+/-1,159)","8,492","(+/-1,775)","8,335","(+/-1,550)","6,864","(+/-1,565)","8,150","(+/-1,566)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","429,549","(+/-12,129)","422,954","(+/-11,722)","455,709","(+/-12,900)","443,649","(+/-12,225)","478,652","(+/-16,287)","432,100","(+/-8,979)","500,717","(+/-16,311)","467,817","(+/-8,647)","452,121","(+/-13,506)","435,867","(+/-6,860)","463,897","(+/-9,968)","421,071","(+/-3,273)","457,100","(+/-6,319)","469,361","(+/-7,679)","415,269","(+/-6,297)","421,202","(+/-7,995)","431,741","(+/-6,621)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","55,095","(+/-4,747)","49,707","(+/-4,761)","36,087","(+/-3,983)","35,487","(+/-4,464)","31,334","(+/-3,827)","30,542","(+/-2,882)","50,108","(+/-5,190)","29,316","(+/-3,163)","37,398","(+/-3,585)","33,462","(+/-3,518)","34,942","(+/-3,681)","65,854","(+/-3,882)","61,794","(+/-4,793)","44,197","(+/-3,463)","56,750","(+/-3,845)","41,190","(+/-3,639)","56,152","(+/-4,278)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","133,174","(+/-5,395)","127,383","(+/-5,457)","97,095","(+/-5,464)","100,112","(+/-5,958)","114,993","(+/-5,704)","142,955","(+/-6,008)","97,827","(+/-6,315)","113,483","(+/-6,310)","130,636","(+/-5,677)","122,517","(+/-3,531)","119,419","(+/-5,223)","142,693","(+/-2,004)","126,306","(+/-3,364)","98,456","(+/-3,634)","150,749","(+/-3,311)","148,206","(+/-3,283)","134,440","(+/-3,215)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","47,737","(+/-3,636)","47,184","(+/-4,006)","28,758","(+/-2,625)","33,874","(+/-3,753)","32,903","(+/-2,677)","40,610","(+/-2,842)","32,685","(+/-3,285)","34,036","(+/-3,431)","37,637","(+/-3,435)","33,103","(+/-2,784)","35,121","(+/-3,005)","54,256","(+/-2,795)","43,916","(+/-2,775)","31,022","(+/-2,746)","51,554","(+/-3,008)","40,193","(+/-2,486)","44,941","(+/-2,801)"
People,"Residence 1 Year Ago","Population 1 year and over","720,838","(+/-17,639)","725,621","(+/-14,830)","698,597","(+/-18,968)","712,545","(+/-18,411)","724,559","(+/-20,726)","730,034","(+/-12,867)","750,245","(+/-22,129)","743,876","(+/-10,415)","724,165","(+/-16,703)","737,866","(+/-7,653)","758,447","(+/-12,799)","740,051","(+/-5,008)","730,686","(+/-10,693)","748,878","(+/-8,536)","739,260","(+/-10,535)","738,726","(+/-10,721)","731,047","(+/-9,274)"
People,"Residence 1 Year Ago","Same house","657,470","(+/-18,704)","659,075","(+/-15,805)","619,960","(+/-18,721)","661,084","(+/-19,215)","610,137","(+/-17,613)","666,163","(+/-14,390)","611,732","(+/-21,118)","666,990","(+/-13,772)","614,871","(+/-16,034)","645,684","(+/-10,707)","684,483","(+/-14,021)","649,523","(+/-8,098)","622,903","(+/-11,274)","670,097","(+/-10,065)","665,484","(+/-10,084)","667,019","(+/-12,045)","630,256","(+/-10,344)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","63,368","(+/-8,196)","66,546","(+/-7,402)","78,637","(+/-8,114)","51,461","(+/-7,204)","114,422","(+/-10,037)","63,871","(+/-6,097)","138,513","(+/-16,090)","76,886","(+/-8,760)","109,294","(+/-9,048)","92,182","(+/-7,745)","73,964","(+/-7,687)","90,528","(+/-6,996)","107,783","(+/-7,703)","78,781","(+/-6,550)","73,776","(+/-5,938)","71,707","(+/-7,458)","100,791","(+/-6,387)"
People,"Residence 1 Year Ago","Different house in the U.S.","60,597","(+/-8,150)","64,443","(+/-7,425)","71,060","(+/-8,138)","48,788","(+/-6,953)","107,634","(+/-9,350)","60,709","(+/-5,922)","130,286","(+/-14,489)","71,291","(+/-8,449)","98,708","(+/-8,492)","86,028","(+/-7,270)","71,053","(+/-7,957)","89,534","(+/-6,900)","103,044","(+/-7,799)","75,694","(+/-6,372)","72,895","(+/-5,944)","70,063","(+/-7,403)","96,536","(+/-6,143)"
People,"Residence 1 Year Ago","Same county","36,682","(+/-5,517)","46,691","(+/-6,270)","45,667","(+/-6,885)","38,452","(+/-6,034)","72,115","(+/-7,228)","42,601","(+/-4,936)","92,296","(+/-13,019)","36,004","(+/-6,830)","68,963","(+/-7,899)","44,511","(+/-6,318)","32,362","(+/-5,306)","45,371","(+/-5,728)","63,623","(+/-6,853)","37,982","(+/-4,725)","36,619","(+/-4,904)","33,911","(+/-5,188)","52,605","(+/-4,770)"
People,"Residence 1 Year Ago","Different county","23,915","(+/-5,519)","17,752","(+/-4,219)","25,393","(+/-4,751)","10,336","(+/-3,685)","35,519","(+/-4,438)","18,108","(+/-3,153)","37,990","(+/-6,246)","35,287","(+/-4,630)","29,745","(+/-4,119)","41,517","(+/-5,766)","38,691","(+/-5,513)","44,163","(+/-4,815)","39,421","(+/-4,665)","37,712","(+/-4,865)","36,276","(+/-3,658)","36,152","(+/-4,915)","43,931","(+/-4,032)"
People,"Residence 1 Year Ago","Same state","9,771","(+/-2,063)","11,398","(+/-3,782)","12,532","(+/-2,838)","4,591","(+/-1,799)","10,594","(+/-2,708)","13,517","(+/-2,560)","8,185","(+/-2,429)","28,340","(+/-4,756)","11,782","(+/-2,832)","21,034","(+/-3,515)","29,681","(+/-4,926)","25,020","(+/-3,223)","23,660","(+/-2,556)","31,911","(+/-4,499)","26,925","(+/-3,061)","23,533","(+/-3,838)","31,126","(+/-3,246)"
People,"Residence 1 Year Ago","Different state","14,144","(+/-5,321)","6,354","(+/-2,034)","12,861","(+/-3,727)","5,745","(+/-3,326)","24,925","(+/-3,554)","4,591","(+/-1,324)","29,805","(+/-5,616)","6,947","(+/-2,338)","17,963","(+/-3,429)","20,483","(+/-4,865)","9,010","(+/-2,232)","19,143","(+/-3,688)","15,761","(+/-3,788)","5,801","(+/-1,428)","9,351","(+/-1,735)","12,619","(+/-2,821)","12,805","(+/-2,417)"
People,"Residence 1 Year Ago",Abroad,"2,771","(+/-1,039)","2,103",(+/-996),"7,577","(+/-3,330)","2,673","(+/-1,597)","6,788","(+/-2,332)","3,162","(+/-1,498)","8,227","(+/-4,831)","5,595","(+/-2,236)","10,586","(+/-3,150)","6,154","(+/-1,890)","2,911","(+/-2,012)",994,(+/-477),"4,739","(+/-1,440)","3,087","(+/-1,154)",881,(+/-388),"1,644",(+/-695),"4,255","(+/-1,482)"
Workers,"Employment Status","Population 16 years and over","586,962","(+/-13,816)","581,594","(+/-12,480)","578,556","(+/-14,146)","576,850","(+/-14,645)","612,004","(+/-17,133)","600,801","(+/-10,118)","618,239","(+/-16,223)","605,090","(+/-9,826)","610,006","(+/-13,886)","596,133","(+/-6,690)","611,823","(+/-10,449)","606,223","(+/-4,074)","609,402","(+/-8,151)","600,204","(+/-8,111)","606,933","(+/-7,127)","597,978","(+/-8,477)","600,800","(+/-7,495)"
Workers,"Employment Status","In labor force","360,825","(+/-10,850)","357,619","(+/-10,938)","396,157","(+/-11,578)","367,253","(+/-11,658)","437,458","(+/-15,218)","393,670","(+/-9,874)","418,967","(+/-14,151)","432,420","(+/-9,870)","408,166","(+/-12,998)","404,643","(+/-8,150)","422,501","(+/-9,919)","356,810","(+/-5,746)","368,106","(+/-7,950)","400,203","(+/-8,989)","361,889","(+/-7,228)","374,439","(+/-8,647)","367,628","(+/-7,067)"
Workers,"Employment Status","Civilian labor force","360,646","(+/-10,806)","357,013","(+/-10,897)","395,801","(+/-11,545)","367,011","(+/-11,586)","437,458","(+/-15,218)","393,545","(+/-9,867)","418,803","(+/-14,149)","432,040","(+/-9,817)","408,166","(+/-12,998)","393,649","(+/-7,931)","422,068","(+/-9,933)","353,672","(+/-5,642)","367,050","(+/-8,109)","400,121","(+/-8,993)","361,142","(+/-7,211)","373,135","(+/-8,777)","367,301","(+/-7,037)"
Workers,"Employment Status",Employed,"330,170","(+/-10,660)","326,275","(+/-10,314)","377,620","(+/-11,120)","344,372","(+/-11,069)","426,265","(+/-15,000)","377,972","(+/-9,764)","390,694","(+/-12,917)","415,201","(+/-9,804)","388,248","(+/-12,038)","381,993","(+/-8,034)","404,214","(+/-9,458)","340,545","(+/-5,457)","346,378","(+/-7,777)","385,008","(+/-8,836)","349,513","(+/-6,936)","359,646","(+/-8,699)","349,693","(+/-6,664)"
Workers,"Employment Status",Unemployed,"30,476","(+/-4,267)","30,738","(+/-4,130)","18,181","(+/-2,969)","22,639","(+/-3,498)","11,193","(+/-1,689)","15,573","(+/-2,530)","28,109","(+/-4,770)","16,839","(+/-2,658)","19,918","(+/-3,299)","11,656","(+/-2,017)","17,854","(+/-2,703)","13,127","(+/-1,834)","20,672","(+/-3,055)","15,113","(+/-2,399)","11,629","(+/-1,505)","13,489","(+/-2,056)","17,608","(+/-2,533)"
Workers,"Employment Status","Armed Forces",179,(+/-206),606,(+/-706),356,(+/-337),242,(+/-341),0,(+/-206),125,(+/-157),164,(+/-197),380,(+/-393),0,(+/-206),"10,994","(+/-1,469)",433,(+/-418),"3,138",(+/-717),"1,056",(+/-926),82,(+/-104),747,(+/-441),"1,304",(+/-978),327,(+/-264)
Workers,"Employment Status","Not in labor force","226,137","(+/-8,691)","223,975","(+/-8,344)","182,399","(+/-7,233)","209,597","(+/-8,104)","174,546","(+/-8,075)","207,131","(+/-7,206)","199,272","(+/-9,348)","172,670","(+/-7,809)","201,840","(+/-7,445)","191,490","(+/-5,828)","189,322","(+/-6,975)","249,413","(+/-5,227)","241,296","(+/-6,418)","200,001","(+/-6,606)","245,044","(+/-5,886)","223,539","(+/-6,010)","233,172","(+/-6,652)"
Workers,"Employment Status","Civilian labor force","360,646","(+/-10,806)","357,013","(+/-10,897)","395,801","(+/-11,545)","367,011","(+/-11,586)","437,458","(+/-15,218)","393,545","(+/-9,867)","418,803","(+/-14,149)","432,040","(+/-9,817)","408,166","(+/-12,998)","393,649","(+/-7,931)","422,068","(+/-9,933)","353,672","(+/-5,642)","367,050","(+/-8,109)","400,121","(+/-8,993)","361,142","(+/-7,211)","373,135","(+/-8,777)","367,301","(+/-7,037)"
Workers,"Employment Status","Unemployment Rate",8.5,(+/-1.2),8.6,(+/-1.1),4.6,(+/-0.7),6.2,(+/-0.9),2.6,(+/-0.4),4.0,(+/-0.6),6.7,(+/-1.1),3.9,(+/-0.6),4.9,(+/-0.8),3.0,(+/-0.5),4.2,(+/-0.6),3.7,(+/-0.5),5.6,(+/-0.8),3.8,(+/-0.6),3.2,(+/-0.4),3.6,(+/-0.5),4.8,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over","323,059","(+/-10,779)","319,410","(+/-10,347)","371,414","(+/-10,993)","337,541","(+/-10,703)","419,021","(+/-14,620)","370,349","(+/-9,674)","384,828","(+/-12,807)","407,522","(+/-9,744)","382,994","(+/-11,992)","382,537","(+/-8,185)","397,668","(+/-9,441)","335,741","(+/-5,430)","341,322","(+/-7,621)","376,895","(+/-8,744)","344,714","(+/-7,030)","355,421","(+/-8,526)","341,330","(+/-6,892)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","201,527","(+/-8,872)","221,254","(+/-7,951)","216,922","(+/-9,078)","210,516","(+/-7,652)","191,052","(+/-8,895)","255,159","(+/-8,236)","157,462","(+/-8,711)","297,313","(+/-8,715)","203,285","(+/-8,571)","255,707","(+/-8,164)","280,089","(+/-9,168)","266,666","(+/-6,214)","245,257","(+/-6,765)","280,891","(+/-8,451)","274,287","(+/-6,993)","279,014","(+/-7,320)","253,586","(+/-6,867)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","27,842","(+/-4,506)","26,677","(+/-3,610)","35,177","(+/-3,378)","41,288","(+/-6,371)","19,762","(+/-3,023)","25,559","(+/-3,931)","21,793","(+/-3,091)","33,971","(+/-3,914)","24,692","(+/-3,757)","32,129","(+/-4,378)","31,712","(+/-4,022)","26,621","(+/-2,625)","25,436","(+/-3,149)","35,530","(+/-4,844)","26,431","(+/-2,361)","25,157","(+/-2,937)","31,145","(+/-3,032)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","31,922","(+/-3,629)","15,152","(+/-2,501)","37,123","(+/-4,090)","27,484","(+/-4,042)","66,552","(+/-5,856)","16,588","(+/-2,400)","62,244","(+/-5,778)","7,567","(+/-1,638)","41,222","(+/-4,383)","10,716","(+/-2,017)","9,562","(+/-1,507)",957,(+/-342),"8,429","(+/-2,238)","5,018","(+/-1,403)","1,535",(+/-624),"1,045",(+/-587),"2,798",(+/-861)
Workers,"Commuting to Work",Walked,"10,394","(+/-1,942)","8,264","(+/-2,423)","8,597","(+/-1,580)","8,788","(+/-1,889)","14,825","(+/-3,026)","4,271",(+/-993),"34,717","(+/-4,823)","3,442","(+/-1,438)","13,474","(+/-2,306)","7,190","(+/-1,684)","4,281","(+/-1,465)","8,046","(+/-1,414)","11,159","(+/-2,144)","4,535","(+/-1,275)","5,165",(+/-971),"6,024","(+/-1,232)","9,739","(+/-1,643)"
Workers,"Commuting to Work","Other means","6,771","(+/-1,610)","10,599","(+/-3,744)","9,295","(+/-1,561)","7,585","(+/-2,342)","11,540","(+/-2,327)","5,071","(+/-1,420)","12,566","(+/-2,408)","4,810","(+/-1,354)","11,176","(+/-2,060)","6,642","(+/-1,635)","5,500","(+/-1,531)","4,959","(+/-1,077)","5,078","(+/-1,828)","4,605","(+/-1,159)","5,916","(+/-1,377)","3,516",(+/-732),"6,622","(+/-1,538)"
Workers,"Commuting to Work","Worked from home","44,603","(+/-4,179)","37,464","(+/-3,975)","64,300","(+/-4,382)","41,880","(+/-4,265)","115,290","(+/-7,019)","63,701","(+/-4,466)","96,046","(+/-8,099)","60,419","(+/-4,436)","89,145","(+/-5,335)","70,153","(+/-4,592)","66,524","(+/-3,950)","28,492","(+/-2,837)","45,963","(+/-3,754)","46,316","(+/-3,866)","31,380","(+/-3,266)","40,665","(+/-3,345)","37,440","(+/-3,514)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",33.4,(+/-0.9),29.6,(+/-0.8),31.7,(+/-0.8),30.4,(+/-1.0),31.0,(+/-0.6),30.0,(+/-0.7),31.5,(+/-1.0),28.0,(+/-0.6),31.2,(+/-0.9),28.2,(+/-0.7),28.7,(+/-0.7),23.5,(+/-0.6),20.6,(+/-0.6),29.1,(+/-0.9),22.5,(+/-0.6),24.3,(+/-0.8),20.6,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","330,170","(+/-10,660)","326,275","(+/-10,314)","377,620","(+/-11,120)","344,372","(+/-11,069)","426,265","(+/-15,000)","377,972","(+/-9,764)","390,694","(+/-12,917)","415,201","(+/-9,804)","388,248","(+/-12,038)","381,993","(+/-8,034)","404,214","(+/-9,458)","340,545","(+/-5,457)","346,378","(+/-7,777)","385,008","(+/-8,836)","349,513","(+/-6,936)","359,646","(+/-8,699)","349,693","(+/-6,664)"
Workers,Occupation,"Management, business, science, and arts occupations","134,264","(+/-6,823)","110,004","(+/-6,426)","154,530","(+/-5,843)","110,291","(+/-6,320)","261,420","(+/-10,863)","179,439","(+/-6,546)","209,307","(+/-10,779)","173,162","(+/-7,285)","210,799","(+/-8,832)","181,756","(+/-5,417)","182,066","(+/-5,597)","126,538","(+/-5,523)","149,680","(+/-6,724)","143,022","(+/-5,758)","126,940","(+/-5,769)","148,281","(+/-6,080)","118,952","(+/-5,146)"
Workers,Occupation,"Service occupations","57,383","(+/-4,616)","58,173","(+/-4,584)","63,391","(+/-5,377)","64,562","(+/-5,331)","41,601","(+/-4,009)","49,241","(+/-3,930)","55,813","(+/-4,843)","58,062","(+/-4,781)","55,330","(+/-5,007)","51,211","(+/-4,726)","56,605","(+/-4,581)","58,176","(+/-3,319)","61,969","(+/-4,602)","58,956","(+/-4,604)","57,492","(+/-3,859)","52,542","(+/-3,933)","60,058","(+/-3,640)"
Workers,Occupation,"Sales and office occupations","68,582","(+/-5,457)","64,831","(+/-5,788)","73,407","(+/-4,694)","64,458","(+/-4,793)","79,875","(+/-6,040)","78,272","(+/-4,943)","72,374","(+/-6,223)","85,144","(+/-5,975)","68,895","(+/-5,467)","75,076","(+/-4,635)","80,333","(+/-4,953)","64,025","(+/-2,970)","68,974","(+/-4,870)","80,161","(+/-5,385)","72,591","(+/-3,712)","70,967","(+/-3,946)","69,516","(+/-3,760)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","22,745","(+/-3,322)","26,429","(+/-3,334)","23,769","(+/-3,078)","30,958","(+/-4,334)","15,525","(+/-2,700)","25,582","(+/-3,166)","12,314","(+/-2,871)","29,216","(+/-2,979)","17,686","(+/-2,503)","21,709","(+/-2,561)","28,585","(+/-3,443)","35,858","(+/-2,692)","20,645","(+/-3,084)","32,625","(+/-3,568)","35,811","(+/-2,560)","31,635","(+/-2,636)","30,254","(+/-2,885)"
Workers,Occupation,"Production, transportation, and material moving occupations","47,196","(+/-4,456)","66,838","(+/-5,243)","62,523","(+/-6,211)","74,103","(+/-6,176)","27,844","(+/-3,712)","45,438","(+/-5,117)","40,886","(+/-4,499)","69,617","(+/-4,895)","35,538","(+/-3,969)","52,241","(+/-3,305)","56,625","(+/-5,160)","55,948","(+/-3,045)","45,110","(+/-4,510)","70,244","(+/-5,300)","56,679","(+/-4,033)","56,221","(+/-3,546)","70,913","(+/-4,415)"
Workers,Industry,"Civilian employed population 16 years and over","330,170","(+/-10,660)","326,275","(+/-10,314)","377,620","(+/-11,120)","344,372","(+/-11,069)","426,265","(+/-15,000)","377,972","(+/-9,764)","390,694","(+/-12,917)","415,201","(+/-9,804)","388,248","(+/-12,038)","381,993","(+/-8,034)","404,214","(+/-9,458)","340,545","(+/-5,457)","346,378","(+/-7,777)","385,008","(+/-8,836)","349,513","(+/-6,936)","359,646","(+/-8,699)","349,693","(+/-6,664)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","1,212",(+/-800),"4,287",(+/-885),"1,096",(+/-621),"1,248",(+/-956),714,(+/-427),926,(+/-436),317,(+/-301),"1,301",(+/-482),"1,207",(+/-619),810,(+/-465),"2,229",(+/-931),"15,602","(+/-2,179)","4,779","(+/-1,270)","4,065",(+/-976),"14,960","(+/-1,930)","9,352","(+/-1,329)","6,408","(+/-1,230)"
Workers,Industry,Construction,"20,496","(+/-3,141)","17,029","(+/-2,865)","19,254","(+/-2,949)","20,316","(+/-3,118)","14,876","(+/-2,816)","21,961","(+/-2,793)","10,349","(+/-2,320)","26,377","(+/-3,107)","15,300","(+/-2,410)","19,902","(+/-2,449)","24,997","(+/-3,095)","23,165","(+/-2,239)","13,910","(+/-2,418)","26,322","(+/-3,529)","21,739","(+/-2,327)","21,828","(+/-2,082)","18,238","(+/-2,189)"
