Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",15.6,(+/-3.3),28.9,(+/-3.3),25.3,(+/-3.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",15.4,(+/-3.3),28.7,(+/-3.3),25.0,(+/-3.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",17.6,(+/-6.4),28.3,(+/-5.9),21.9,(+/-4.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",14.6,(+/-3.3),28.8,(+/-3.9),25.9,(+/-3.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",12.8,(+/-1.1),18.7,(+/-1.4),16.8,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",11.8,(+/-1.7),14.7,(+/-2.0),12.7,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",9.4,(+/-1.5),17.8,(+/-1.7),16.1,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",25.3,(+/-2.3),33.0,(+/-2.8),28.5,(+/-2.2)
Education,"School Enrollment","Population 3 years and over enrolled in school","160,375","(+/-6,883)","180,029","(+/-7,549)","163,614","(+/-5,032)"
Education,"School Enrollment","Nursery school, preschool","7,466","(+/-1,726)","8,509","(+/-1,993)","7,970","(+/-1,417)"
Education,"School Enrollment",Kindergarten,"7,919","(+/-1,637)","7,956","(+/-1,708)","9,052","(+/-1,593)"
Education,"School Enrollment","Elementary school (grades 1-8)","64,589","(+/-3,813)","74,232","(+/-4,560)","74,754","(+/-3,170)"
Education,"School Enrollment","High school (grades 9-12)","34,343","(+/-3,472)","37,599","(+/-3,350)","38,062","(+/-2,336)"
Education,"School Enrollment","College or graduate school","46,058","(+/-4,197)","51,733","(+/-4,601)","33,776","(+/-3,131)"
Education,"Educational Attainment","Population 25 years and over","508,472","(+/-7,608)","461,033","(+/-8,543)","483,624","(+/-5,289)"
Education,"Educational Attainment","Less than 9th grade","14,397","(+/-2,444)","32,579","(+/-4,145)","25,779","(+/-2,849)"
Education,"Educational Attainment","9th to 12th grade, no diploma","24,592","(+/-3,015)","39,887","(+/-4,465)","37,067","(+/-3,467)"
Education,"Educational Attainment","High school graduate (includes equivalency)","112,517","(+/-6,388)","131,685","(+/-7,238)","129,905","(+/-5,704)"
Education,"Educational Attainment","Some college, no degree","109,209","(+/-6,413)","106,058","(+/-7,845)","114,565","(+/-5,749)"
Education,"Educational Attainment","Associate's degree","48,880","(+/-4,032)","43,590","(+/-4,239)","39,822","(+/-3,729)"
Education,"Educational Attainment","Bachelor's degree","108,831","(+/-5,292)","61,869","(+/-4,573)","75,478","(+/-3,744)"
Education,"Educational Attainment","Graduate or professional degree","90,046","(+/-5,129)","45,365","(+/-3,796)","61,008","(+/-3,801)"
Education,"Educational Attainment","Percent high school graduate or higher",92.3,(+/-0.7),84.3,(+/-1.3),87.0,(+/-0.9)
Education,"Educational Attainment","Percent bachelor's degree or higher",39.1,(+/-1.2),23.3,(+/-1.4),28.2,(+/-1.0)

"Source: 2022 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","275,008",G,"135,250",G,"185,199",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",76,J,114,G,236,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",135,H,"5,314",G,"7,335",G
Business,"Paid employees for pay period including March 12",Utilities,"1,744",G,848,G,"1,819",G
Business,"Paid employees for pay period including March 12",Construction,"20,272",G,"11,656",G,"10,508",G
Business,"Paid employees for pay period including March 12",Manufacturing,"12,937",G,"7,700",G,"5,888",G
Business,"Paid employees for pay period including March 12","Wholesale trade","9,813",G,"4,389",G,"4,911",G
Business,"Paid employees for pay period including March 12","Retail trade","37,553",G,"21,964",G,"30,940",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","5,530",G,"6,445",G,"6,245",G
Business,"Paid employees for pay period including March 12",Information,"4,851",G,"1,786",G,"1,983",H
Business,"Paid employees for pay period including March 12","Finance and insurance","13,009",H,"4,767",H,"5,185",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","3,854",G,"1,911",G,"3,006",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","33,406",H,"6,036",G,"18,019",H
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","5,110",H,433,G,863,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","19,873",G,"7,067",G,"6,105",G
Business,"Paid employees for pay period including March 12","Educational services","3,510",G,"1,596",G,"2,717",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","55,776",G,"29,892",G,"38,495",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","4,147",G,998,H,"4,204",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","32,592",G,"17,555",G,"28,056",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","10,800",G,"4,755",G,"8,654",G
Business,"Paid employees for pay period including March 12","Industries not classified",20,J,24,G,30,J
Business,"Annual payroll ($1,000)","Total for all sectors","14,082,346",G,"5,813,333",G,"9,254,210",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting","2,996",H,"7,849",H,"8,546",G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","8,631",H,"485,204",G,"666,446",G
Business,"Annual payroll ($1,000)",Utilities,"176,551",H,"69,839",G,"156,292",H
Business,"Annual payroll ($1,000)",Construction,"1,252,422",G,"574,939",G,"533,086",G
Business,"Annual payroll ($1,000)",Manufacturing,"802,881",G,"383,386",G,"327,370",G
Business,"Annual payroll ($1,000)","Wholesale trade","777,838",G,"235,123",G,"290,438",G
Business,"Annual payroll ($1,000)","Retail trade","1,276,011",G,"671,502",G,"1,026,467",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","256,716",G,"327,651",G,"349,336",G
Business,"Annual payroll ($1,000)",Information,"293,486",G,"114,577",G,"112,225",H
Business,"Annual payroll ($1,000)","Finance and insurance","954,416",G,"245,411",H,"414,028",G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","188,905",G,"80,339",G,"151,561",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","2,604,402",H,"374,523",G,"1,728,004",J
Business,"Annual payroll ($1,000)","Management of companies and enterprises","363,761",H,"24,560",G,"47,422",H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","749,965",G,"413,841",G,"299,883",G
Business,"Annual payroll ($1,000)","Educational services","126,701",G,"82,902",H,"112,743",G
Business,"Annual payroll ($1,000)","Health care and social assistance","2,948,230",G,"1,181,610",G,"1,890,580",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","121,219",G,"26,275",H,"145,945",H
Business,"Annual payroll ($1,000)","Accommodation and food services","780,871",G,"362,696",G,"672,192",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","395,687",G,"150,418",G,"320,843",G
Business,"Annual payroll ($1,000)","Industries not classified",657,G,688,H,803,G
Business,"Total Establishments","Total for all sectors","17,666",X,"10,052",X,"15,790",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",23,X,33,X,52,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",27,X,165,X,404,X
Business,"Total Establishments",Utilities,36,X,72,X,116,X
Business,"Total Establishments",Construction,"1,606",X,"1,301",X,"1,529",X
Business,"Total Establishments",Manufacturing,610,X,309,X,407,X
Business,"Total Establishments","Wholesale trade",723,X,326,X,536,X
Business,"Total Establishments","Retail trade","2,120",X,"1,403",X,"2,485",X
Business,"Total Establishments","Transportation and warehousing",348,X,513,X,612,X
Business,"Total Establishments",Information,329,X,167,X,293,X
Business,"Total Establishments","Finance and insurance","1,088",X,623,X,827,X
Business,"Total Establishments","Real estate and rental and leasing","1,128",X,507,X,807,X
Business,"Total Establishments","Professional, scientific, and technical services","2,435",X,705,X,"1,420",X
Business,"Total Establishments","Management of companies and enterprises",106,X,29,X,68,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",886,X,459,X,651,X
Business,"Total Establishments","Educational services",267,X,107,X,187,X
Business,"Total Establishments","Health care and social assistance","2,260",X,"1,253",X,"1,801",X
Business,"Total Establishments","Arts, entertainment, and recreation",289,X,103,X,321,X
Business,"Total Establishments","Accommodation and food services","1,681",X,"1,047",X,"1,688",X
Business,"Total Establishments","Other services (except public administration)","1,685",X,915,X,"1,562",X
Business,"Total Establishments","Industries not classified",19,X,15,X,24,X

"Source: 2021 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
