Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE"
People,Ancestry,Swedish,"5,055","(+/-1,683)","1,652",(+/-682),"6,455","(+/-1,606)","3,624","(+/-1,097)","3,077",(+/-926),"4,018","(+/-1,062)","5,615","(+/-1,383)","3,528","(+/-1,196)","3,793","(+/-1,169)","3,371","(+/-1,069)","3,507",(+/-958),"3,919","(+/-1,073)","6,387","(+/-2,198)","6,586","(+/-1,680)","3,079","(+/-1,070)"
People,Ancestry,Swiss,"2,731","(+/-1,591)","1,556",(+/-766),"2,593","(+/-1,215)","4,992","(+/-1,645)","4,311","(+/-1,128)","5,713","(+/-1,661)","7,942","(+/-1,493)","3,650","(+/-2,978)","4,086","(+/-1,276)","1,816",(+/-720),"1,291",(+/-687),"7,613","(+/-2,196)","5,123","(+/-1,248)","5,477","(+/-2,050)","2,718",(+/-995)
People,Ancestry,Ukrainian,"1,498",(+/-549),710,(+/-475),"2,436",(+/-765),"1,145",(+/-603),"2,891",(+/-978),"4,028","(+/-1,499)","13,288","(+/-2,200)",440,(+/-321),"2,009",(+/-707),699,(+/-500),"5,433","(+/-1,376)","1,343",(+/-669),"3,546","(+/-1,267)","3,464",(+/-989),"1,872",(+/-888)
People,Ancestry,Welsh,"4,632","(+/-1,629)","6,109","(+/-1,724)","7,366","(+/-1,787)","8,018","(+/-1,401)","4,520","(+/-1,354)","8,303","(+/-1,893)","5,890","(+/-1,924)","4,433","(+/-1,206)","3,651","(+/-1,011)","6,128","(+/-2,008)","2,785","(+/-1,028)","6,175","(+/-1,158)","6,612","(+/-1,963)","6,349","(+/-1,383)","8,920","(+/-1,956)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","4,836","(+/-2,339)","1,426",(+/-983),"9,065","(+/-3,223)","1,268",(+/-806),302,(+/-238),"1,728",(+/-819),690,(+/-449),"1,792","(+/-1,206)",620,(+/-473),"2,184","(+/-1,182)","5,644","(+/-2,181)",628,(+/-712),856,(+/-619),"1,076","(+/-1,180)","2,662","(+/-1,807)"
People,"Veteran Status","Civilian population 18 years and over","612,440","(+/-5,689)","612,410","(+/-2,058)","608,632","(+/-9,956)","615,779","(+/-3,694)","613,027","(+/-2,403)","621,634","(+/-4,017)","611,706","(+/-6,831)","600,336","(+/-5,957)","609,799","(+/-2,504)","607,636","(+/-2,637)","611,172","(+/-6,638)","611,864","(+/-4,429)","615,618","(+/-3,297)","628,263","(+/-1,106)","602,683","(+/-10,366)"
People,"Veteran Status","Civilian veterans","31,712","(+/-2,823)","42,715","(+/-2,843)","26,254","(+/-2,364)","44,889","(+/-3,564)","39,838","(+/-2,579)","44,162","(+/-3,031)","38,418","(+/-2,542)","35,294","(+/-2,786)","39,900","(+/-3,051)","54,299","(+/-3,052)","33,094","(+/-2,771)","45,902","(+/-3,415)","37,804","(+/-3,207)","48,323","(+/-3,305)","39,714","(+/-3,689)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","778,517","(+/-8,285)","769,786","(+/-2,647)","780,574","(+/-12,995)","780,533","(+/-4,206)","775,372","(+/-3,045)","761,685","(+/-5,756)","766,676","(+/-8,462)","774,488","(+/-8,568)","770,173","(+/-2,891)","768,111","(+/-3,086)","758,960","(+/-8,345)","784,019","(+/-6,227)","770,192","(+/-3,565)","773,501",(+/-991),"775,128","(+/-14,731)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","97,811","(+/-5,505)","139,151","(+/-5,926)","93,803","(+/-5,360)","105,540","(+/-5,329)","111,281","(+/-5,818)","127,663","(+/-5,761)","93,872","(+/-4,725)","100,894","(+/-5,366)","116,674","(+/-5,558)","116,209","(+/-5,637)","131,740","(+/-7,217)","116,876","(+/-5,935)","103,055","(+/-5,161)","112,625","(+/-6,128)","100,951","(+/-6,632)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","177,825","(+/-6,008)","173,931","(+/-1,852)","175,924","(+/-6,382)","182,304","(+/-2,194)","171,550","(+/-1,774)","156,923","(+/-3,982)","162,287","(+/-4,359)","181,144","(+/-6,227)","169,434","(+/-1,739)","168,600","(+/-2,135)","156,957","(+/-4,424)","179,952","(+/-3,020)","162,261","(+/-2,589)","155,359",(+/-580),"181,930","(+/-7,757)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","10,000","(+/-2,411)","8,975","(+/-1,590)","7,416","(+/-1,616)","9,438","(+/-1,858)","9,658","(+/-1,727)","9,371","(+/-1,609)","5,575","(+/-1,543)","8,738","(+/-1,985)","8,938","(+/-2,036)","10,763","(+/-1,867)","13,536","(+/-2,611)","9,148","(+/-1,812)","8,087","(+/-1,745)","8,143","(+/-1,529)","9,242","(+/-1,998)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","482,034","(+/-5,782)","454,858","(+/-2,183)","502,719","(+/-9,419)","459,574","(+/-3,724)","456,968","(+/-2,512)","439,299","(+/-4,112)","448,768","(+/-6,263)","456,495","(+/-5,696)","454,809","(+/-2,351)","456,272","(+/-2,902)","465,472","(+/-6,038)","467,686","(+/-4,326)","456,391","(+/-3,221)","456,715","(+/-1,391)","479,672","(+/-9,956)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","51,560","(+/-4,379)","75,194","(+/-4,186)","53,796","(+/-4,071)","52,963","(+/-4,142)","54,413","(+/-4,335)","60,147","(+/-4,329)","44,056","(+/-3,273)","51,074","(+/-4,599)","58,327","(+/-3,966)","57,892","(+/-4,134)","72,706","(+/-5,520)","61,505","(+/-4,348)","48,632","(+/-3,770)","51,633","(+/-4,980)","54,911","(+/-4,658)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","118,658","(+/-3,054)","140,997","(+/-1,249)","101,931","(+/-3,819)","138,655","(+/-2,066)","146,854","(+/-1,462)","165,463","(+/-3,092)","155,621","(+/-4,237)","136,849","(+/-3,258)","145,930","(+/-1,413)","143,239","(+/-1,591)","136,531","(+/-4,235)","136,381","(+/-2,229)","151,540","(+/-2,316)","161,427","(+/-1,049)","113,526","(+/-4,263)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","36,251","(+/-2,885)","54,982","(+/-3,002)","32,591","(+/-2,675)","43,139","(+/-2,605)","47,210","(+/-2,434)","58,145","(+/-2,866)","44,241","(+/-2,801)","41,082","(+/-2,673)","49,409","(+/-2,379)","47,554","(+/-2,701)","45,498","(+/-3,265)","46,223","(+/-3,135)","46,336","(+/-3,175)","52,849","(+/-3,075)","36,798","(+/-3,219)"
People,"Residence 1 Year Ago","Population 1 year and over","782,492","(+/-8,077)","778,340","(+/-3,123)","776,655","(+/-12,745)","790,650","(+/-4,022)","777,959","(+/-3,249)","771,748","(+/-5,921)","767,906","(+/-8,248)","771,722","(+/-8,261)","771,311","(+/-3,517)","773,476","(+/-3,296)","760,687","(+/-8,591)","785,065","(+/-6,509)","771,393","(+/-3,493)","778,179","(+/-1,349)","774,237","(+/-14,619)"
People,"Residence 1 Year Ago","Same house","680,091","(+/-11,471)","699,581","(+/-7,092)","628,433","(+/-15,044)","701,384","(+/-7,364)","695,008","(+/-7,715)","700,442","(+/-8,723)","692,630","(+/-9,221)","695,296","(+/-12,430)","687,719","(+/-8,206)","655,618","(+/-8,753)","637,618","(+/-13,016)","699,859","(+/-8,601)","682,565","(+/-7,717)","695,630","(+/-8,353)","666,443","(+/-14,723)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","102,401","(+/-8,985)","78,759","(+/-6,774)","148,222","(+/-10,433)","89,266","(+/-6,378)","82,951","(+/-7,526)","71,306","(+/-6,775)","75,276","(+/-6,269)","76,426","(+/-7,359)","83,592","(+/-8,185)","117,858","(+/-8,243)","123,069","(+/-8,973)","85,206","(+/-6,045)","88,828","(+/-7,157)","82,549","(+/-8,211)","107,794","(+/-9,659)"
People,"Residence 1 Year Ago","Different house in the U.S.","96,993","(+/-8,559)","76,996","(+/-6,854)","140,034","(+/-10,267)","86,740","(+/-6,063)","81,064","(+/-7,409)","68,735","(+/-6,583)","72,310","(+/-6,416)","73,041","(+/-7,452)","81,857","(+/-8,146)","113,870","(+/-8,249)","117,567","(+/-8,509)","83,375","(+/-6,018)","86,757","(+/-6,941)","81,047","(+/-8,257)","101,821","(+/-9,216)"
People,"Residence 1 Year Ago","Same county","47,331","(+/-6,669)","41,512","(+/-5,059)","94,621","(+/-8,237)","39,009","(+/-4,292)","37,611","(+/-4,514)","39,520","(+/-5,149)","43,076","(+/-5,115)","38,660","(+/-4,928)","49,779","(+/-6,730)","61,180","(+/-7,167)","78,745","(+/-8,121)","40,041","(+/-4,422)","51,487","(+/-6,272)","38,853","(+/-5,538)","63,812","(+/-7,571)"
People,"Residence 1 Year Ago","Different county","49,662","(+/-5,092)","35,484","(+/-4,579)","45,413","(+/-5,500)","47,731","(+/-4,853)","43,453","(+/-5,103)","29,215","(+/-3,357)","29,234","(+/-3,911)","34,381","(+/-5,256)","32,078","(+/-4,027)","52,690","(+/-5,778)","38,822","(+/-5,557)","43,334","(+/-4,465)","35,270","(+/-4,450)","42,194","(+/-5,905)","38,009","(+/-4,840)"
People,"Residence 1 Year Ago","Same state","29,469","(+/-3,731)","28,598","(+/-4,176)","23,971","(+/-3,320)","35,980","(+/-3,886)","33,056","(+/-4,503)","18,306","(+/-2,885)","17,981","(+/-2,820)","23,637","(+/-4,525)","22,787","(+/-3,268)","32,037","(+/-4,679)","18,530","(+/-3,770)","34,567","(+/-4,217)","24,681","(+/-3,644)","27,586","(+/-3,997)","24,975","(+/-3,869)"
People,"Residence 1 Year Ago","Different state","20,193","(+/-3,415)","6,886","(+/-1,938)","21,442","(+/-3,863)","11,751","(+/-2,888)","10,397","(+/-2,162)","10,909","(+/-1,902)","11,253","(+/-2,992)","10,744","(+/-2,407)","9,291","(+/-2,196)","20,653","(+/-4,102)","20,292","(+/-3,987)","8,767","(+/-1,540)","10,589","(+/-2,765)","14,608","(+/-4,994)","13,034","(+/-2,927)"
People,"Residence 1 Year Ago",Abroad,"5,408","(+/-2,028)","1,763",(+/-933),"8,188","(+/-2,416)","2,526",(+/-914),"1,887",(+/-829),"2,571","(+/-1,167)","2,966","(+/-1,638)","3,385","(+/-1,494)","1,735",(+/-709),"3,988","(+/-1,505)","5,502","(+/-2,433)","1,831",(+/-863),"2,071","(+/-1,036)","1,502",(+/-703),"5,973","(+/-2,233)"
Workers,"Employment Status","Population 16 years and over","636,253","(+/-5,943)","633,527","(+/-2,559)","630,118","(+/-10,260)","640,710","(+/-3,868)","635,479","(+/-2,729)","643,203","(+/-4,525)","632,806","(+/-6,935)","620,939","(+/-6,460)","631,345","(+/-2,864)","633,158","(+/-2,868)","629,632","(+/-6,815)","634,119","(+/-4,642)","634,263","(+/-3,185)","646,544","(+/-1,709)","624,437","(+/-10,942)"
Workers,"Employment Status","In labor force","425,056","(+/-7,599)","368,529","(+/-6,267)","437,559","(+/-9,148)","400,667","(+/-6,072)","396,389","(+/-5,601)","363,664","(+/-5,853)","408,844","(+/-7,662)","398,536","(+/-8,687)","393,959","(+/-6,086)","400,638","(+/-6,730)","390,383","(+/-8,760)","391,962","(+/-6,822)","401,108","(+/-6,222)","400,137","(+/-5,386)","421,894","(+/-9,588)"
Workers,"Employment Status","Civilian labor force","424,641","(+/-7,679)","368,425","(+/-6,274)","436,309","(+/-9,115)","399,656","(+/-6,179)","395,580","(+/-5,540)","363,589","(+/-5,844)","408,775","(+/-7,648)","398,457","(+/-8,699)","393,164","(+/-6,137)","394,908","(+/-7,061)","389,563","(+/-8,766)","390,926","(+/-6,937)","400,158","(+/-6,091)","399,427","(+/-5,375)","420,844","(+/-9,573)"
Workers,"Employment Status",Employed,"411,021","(+/-7,732)","355,758","(+/-6,514)","421,283","(+/-9,112)","385,178","(+/-6,598)","383,288","(+/-6,210)","351,161","(+/-5,743)","397,795","(+/-7,442)","384,953","(+/-8,518)","379,440","(+/-5,972)","375,945","(+/-7,356)","362,179","(+/-8,925)","377,239","(+/-7,332)","386,259","(+/-6,382)","383,961","(+/-6,041)","406,547","(+/-9,275)"
Workers,"Employment Status",Unemployed,"13,620","(+/-2,252)","12,667","(+/-2,031)","15,026","(+/-2,319)","14,478","(+/-2,561)","12,292","(+/-1,990)","12,428","(+/-2,080)","10,980","(+/-1,806)","13,504","(+/-2,546)","13,724","(+/-2,265)","18,963","(+/-2,802)","27,384","(+/-3,245)","13,687","(+/-2,217)","13,899","(+/-1,832)","15,466","(+/-2,306)","14,297","(+/-2,144)"
Workers,"Employment Status","Armed Forces",415,(+/-592),104,(+/-127),"1,250","(+/-1,112)","1,011",(+/-707),809,(+/-392),75,(+/-101),69,(+/-90),79,(+/-136),795,(+/-547),"5,730","(+/-1,353)",820,(+/-644),"1,036",(+/-809),950,(+/-805),710,(+/-506),"1,050",(+/-622)
Workers,"Employment Status","Not in labor force","211,197","(+/-7,111)","264,998","(+/-6,014)","192,559","(+/-6,997)","240,043","(+/-5,613)","239,090","(+/-5,575)","279,539","(+/-6,135)","223,962","(+/-6,273)","222,403","(+/-6,166)","237,386","(+/-6,494)","232,520","(+/-7,105)","239,249","(+/-6,588)","242,157","(+/-5,582)","233,155","(+/-6,089)","246,407","(+/-5,382)","202,543","(+/-7,047)"
Workers,"Employment Status","Civilian labor force","424,641","(+/-7,679)","368,425","(+/-6,274)","436,309","(+/-9,115)","399,656","(+/-6,179)","395,580","(+/-5,540)","363,589","(+/-5,844)","408,775","(+/-7,648)","398,457","(+/-8,699)","393,164","(+/-6,137)","394,908","(+/-7,061)","389,563","(+/-8,766)","390,926","(+/-6,937)","400,158","(+/-6,091)","399,427","(+/-5,375)","420,844","(+/-9,573)"
Workers,"Employment Status","Unemployment Rate",3.2,(+/-0.5),3.4,(+/-0.6),3.4,(+/-0.5),3.6,(+/-0.6),3.1,(+/-0.5),3.4,(+/-0.6),2.7,(+/-0.4),3.4,(+/-0.6),3.5,(+/-0.6),4.8,(+/-0.7),7.0,(+/-0.8),3.5,(+/-0.6),3.5,(+/-0.5),3.9,(+/-0.6),3.4,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","403,921","(+/-7,561)","348,639","(+/-6,391)","412,147","(+/-9,088)","378,567","(+/-6,464)","377,049","(+/-6,345)","343,505","(+/-5,807)","391,606","(+/-7,521)","377,598","(+/-8,708)","370,850","(+/-6,304)","372,609","(+/-7,585)","354,349","(+/-9,225)","371,807","(+/-7,433)","381,546","(+/-6,611)","375,601","(+/-6,022)","400,668","(+/-9,357)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","279,650","(+/-8,694)","279,871","(+/-7,276)","269,545","(+/-7,897)","289,809","(+/-6,856)","302,745","(+/-7,103)","277,329","(+/-6,301)","293,339","(+/-7,968)","283,104","(+/-8,595)","302,195","(+/-6,742)","280,719","(+/-7,539)","237,935","(+/-8,988)","271,915","(+/-7,210)","285,992","(+/-6,558)","286,178","(+/-6,434)","294,159","(+/-8,026)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","25,320","(+/-3,974)","28,332","(+/-2,979)","29,481","(+/-3,825)","32,439","(+/-3,527)","26,874","(+/-3,591)","27,102","(+/-2,861)","23,536","(+/-2,323)","31,756","(+/-4,214)","32,021","(+/-3,574)","29,395","(+/-4,488)","26,516","(+/-3,668)","33,363","(+/-3,374)","29,231","(+/-3,466)","29,202","(+/-3,489)","35,286","(+/-4,709)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","12,024","(+/-3,438)",358,(+/-268),"9,958","(+/-2,183)","1,206",(+/-542),329,(+/-195),"1,199",(+/-626),"1,670",(+/-508),"1,276",(+/-729),"1,683",(+/-790),"3,816","(+/-1,082)","14,853","(+/-2,657)","1,210",(+/-625),"2,367",(+/-958),"1,102",(+/-484),"3,013","(+/-1,200)"
Workers,"Commuting to Work",Walked,"11,589","(+/-2,332)","4,835","(+/-1,293)","10,084","(+/-1,751)","5,639","(+/-1,178)","7,719","(+/-1,515)","5,940","(+/-1,372)","8,420","(+/-1,636)","4,782","(+/-1,305)","4,522",(+/-897),"8,285","(+/-1,422)","14,593","(+/-2,964)","8,782","(+/-1,453)","3,641","(+/-1,011)","5,989","(+/-1,509)","5,473","(+/-1,666)"
Workers,"Commuting to Work","Other means","6,355","(+/-1,759)","2,673",(+/-855),"7,194","(+/-1,722)","4,048","(+/-1,364)","4,327","(+/-1,161)","3,700","(+/-1,084)","4,904","(+/-1,239)","5,949","(+/-2,163)","4,030","(+/-1,282)","3,996","(+/-1,299)","6,834","(+/-1,653)","9,549","(+/-1,637)","6,697","(+/-1,856)","7,047","(+/-2,238)","5,088","(+/-1,344)"
Workers,"Commuting to Work","Worked from home","68,983","(+/-4,685)","32,570","(+/-3,524)","85,885","(+/-4,896)","45,426","(+/-3,384)","35,055","(+/-3,001)","28,235","(+/-3,188)","59,737","(+/-3,959)","50,731","(+/-4,514)","26,399","(+/-2,149)","46,398","(+/-3,896)","53,618","(+/-4,055)","46,988","(+/-2,936)","53,618","(+/-3,981)","46,083","(+/-4,136)","57,649","(+/-4,379)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.9,(+/-0.7),27.9,(+/-0.8),20.5,(+/-0.4),23.2,(+/-0.6),23.1,(+/-0.8),24.3,(+/-0.6),24.2,(+/-0.6),24.5,(+/-0.6),21.1,(+/-0.6),21.6,(+/-0.6),22.1,(+/-0.6),26.3,(+/-0.8),22.9,(+/-0.7),25.3,(+/-0.7),22.6,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","411,021","(+/-7,732)","355,758","(+/-6,514)","421,283","(+/-9,112)","385,178","(+/-6,598)","383,288","(+/-6,210)","351,161","(+/-5,743)","397,795","(+/-7,442)","384,953","(+/-8,518)","379,440","(+/-5,972)","375,945","(+/-7,356)","362,179","(+/-8,925)","377,239","(+/-7,332)","386,259","(+/-6,382)","383,961","(+/-6,041)","406,547","(+/-9,275)"
Workers,Occupation,"Management, business, science, and arts occupations","210,699","(+/-6,379)","128,819","(+/-5,165)","199,338","(+/-7,660)","154,677","(+/-5,974)","135,165","(+/-5,271)","117,981","(+/-5,190)","179,451","(+/-6,937)","152,792","(+/-5,858)","136,911","(+/-5,647)","161,514","(+/-6,542)","156,654","(+/-6,058)","139,367","(+/-6,346)","160,917","(+/-6,890)","148,211","(+/-6,384)","171,294","(+/-7,592)"
Workers,Occupation,"Service occupations","62,109","(+/-5,255)","61,488","(+/-4,706)","66,152","(+/-5,250)","57,430","(+/-3,312)","60,861","(+/-3,838)","63,932","(+/-3,945)","50,734","(+/-3,864)","54,824","(+/-5,019)","59,639","(+/-3,767)","62,813","(+/-4,090)","61,897","(+/-5,268)","59,367","(+/-3,553)","61,950","(+/-4,431)","59,598","(+/-4,054)","57,963","(+/-4,201)"
Workers,Occupation,"Sales and office occupations","73,167","(+/-4,262)","66,741","(+/-4,593)","82,008","(+/-5,971)","65,896","(+/-3,952)","73,264","(+/-4,425)","70,463","(+/-4,505)","84,095","(+/-4,436)","78,062","(+/-4,941)","77,458","(+/-4,941)","73,197","(+/-4,820)","68,850","(+/-4,582)","72,122","(+/-4,048)","79,764","(+/-5,585)","75,544","(+/-5,287)","76,282","(+/-4,893)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","20,705","(+/-3,019)","36,072","(+/-3,061)","17,808","(+/-2,781)","30,816","(+/-2,899)","33,721","(+/-3,025)","32,707","(+/-3,288)","27,039","(+/-2,948)","31,913","(+/-4,234)","31,763","(+/-2,878)","22,147","(+/-2,910)","18,897","(+/-2,417)","35,851","(+/-2,465)","24,017","(+/-3,025)","35,383","(+/-3,179)","31,674","(+/-4,164)"
Workers,Occupation,"Production, transportation, and material moving occupations","44,341","(+/-3,889)","62,638","(+/-4,266)","55,977","(+/-4,640)","76,359","(+/-4,590)","80,277","(+/-4,373)","66,078","(+/-3,893)","56,476","(+/-3,933)","67,362","(+/-5,167)","73,669","(+/-4,430)","56,274","(+/-4,196)","55,881","(+/-4,451)","70,532","(+/-4,513)","59,611","(+/-3,929)","65,225","(+/-4,258)","69,334","(+/-5,616)"
Workers,Industry,"Civilian employed population 16 years and over","411,021","(+/-7,732)","355,758","(+/-6,514)","421,283","(+/-9,112)","385,178","(+/-6,598)","383,288","(+/-6,210)","351,161","(+/-5,743)","397,795","(+/-7,442)","384,953","(+/-8,518)","379,440","(+/-5,972)","375,945","(+/-7,356)","362,179","(+/-8,925)","377,239","(+/-7,332)","386,259","(+/-6,382)","383,961","(+/-6,041)","406,547","(+/-9,275)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",883,(+/-463),"5,329","(+/-1,107)","1,090",(+/-584),"6,539","(+/-1,460)","6,356","(+/-1,291)","6,683","(+/-1,453)","2,297",(+/-691),"2,776",(+/-868),"3,673",(+/-893),"1,140",(+/-612),"1,106",(+/-577),"6,150","(+/-1,499)","1,415",(+/-748),"3,835","(+/-1,301)","1,575",(+/-580)
Workers,Industry,Construction,"19,474","(+/-3,477)","28,314","(+/-3,055)","17,426","(+/-2,744)","21,073","(+/-2,454)","24,572","(+/-2,063)","25,449","(+/-3,099)","22,932","(+/-2,903)","28,040","(+/-3,603)","20,974","(+/-2,315)","16,616","(+/-2,256)","13,722","(+/-2,117)","28,641","(+/-2,299)","19,923","(+/-2,964)","27,594","(+/-2,693)","25,989","(+/-3,365)"
Workers,Industry,Manufacturing,"53,399","(+/-3,752)","53,043","(+/-4,047)","28,379","(+/-3,875)","79,104","(+/-4,978)","81,422","(+/-4,078)","53,533","(+/-3,770)","56,152","(+/-3,666)","62,103","(+/-4,565)","69,463","(+/-4,263)","46,228","(+/-4,514)","44,003","(+/-4,501)","50,437","(+/-3,697)","56,814","(+/-4,145)","72,363","(+/-4,619)","50,478","(+/-4,277)"
Workers,Industry,"Wholesale trade","6,600","(+/-1,071)","6,080","(+/-1,477)","11,307","(+/-2,317)","8,472","(+/-1,899)","8,058","(+/-1,590)","7,522","(+/-1,646)","9,114","(+/-1,670)","8,682","(+/-1,945)","8,361","(+/-1,552)","6,523","(+/-1,515)","7,715","(+/-1,758)","7,294","(+/-1,502)","11,375","(+/-2,146)","6,757","(+/-1,463)","11,008","(+/-1,996)"
Workers,Industry,"Retail trade","38,987","(+/-3,536)","39,406","(+/-3,626)","45,886","(+/-4,118)","40,892","(+/-3,496)","43,618","(+/-3,387)","43,342","(+/-3,699)","45,573","(+/-3,770)","46,917","(+/-4,473)","45,349","(+/-3,677)","41,466","(+/-3,749)","34,917","(+/-3,692)","47,652","(+/-3,912)","45,645","(+/-3,493)","47,256","(+/-3,854)","43,358","(+/-4,652)"
Workers,Industry,"Transportation and warehousing, and utilities","20,865","(+/-3,330)","24,898","(+/-2,733)","30,587","(+/-3,441)","19,786","(+/-2,610)","18,334","(+/-2,222)","21,923","(+/-2,582)","22,378","(+/-2,519)","21,059","(+/-3,169)","23,934","(+/-2,302)","24,122","(+/-3,612)","21,721","(+/-3,196)","23,226","(+/-2,499)","20,820","(+/-2,708)","18,633","(+/-2,565)","33,685","(+/-3,170)"
Workers,Industry,Information,"6,937","(+/-1,411)","4,040","(+/-1,240)","7,185","(+/-1,459)","6,639","(+/-1,521)","4,624","(+/-1,196)","4,448","(+/-1,269)","4,963","(+/-1,046)","4,632","(+/-1,226)","4,040",(+/-893),"6,231","(+/-1,303)","6,140","(+/-1,629)","4,347","(+/-1,223)","6,865","(+/-1,578)","4,079","(+/-1,201)","6,695","(+/-1,514)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","30,596","(+/-3,431)","19,108","(+/-2,635)","39,084","(+/-3,920)","21,925","(+/-2,389)","15,306","(+/-2,119)","15,879","(+/-2,117)","36,228","(+/-3,303)","25,404","(+/-3,286)","16,383","(+/-2,029)","21,459","(+/-2,697)","24,670","(+/-2,586)","25,206","(+/-2,678)","22,322","(+/-2,715)","21,252","(+/-2,603)","33,343","(+/-3,608)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","57,199","(+/-4,229)","31,937","(+/-3,303)","57,088","(+/-4,235)","34,217","(+/-3,137)","32,694","(+/-2,566)","26,285","(+/-2,435)","41,994","(+/-3,130)","42,181","(+/-3,943)","29,741","(+/-3,049)","45,722","(+/-3,516)","41,918","(+/-4,195)","28,984","(+/-2,985)","41,998","(+/-4,048)","34,817","(+/-3,012)","43,231","(+/-3,837)"
Workers,Industry,"Educational services, and health care and social assistance","104,188","(+/-5,486)","85,269","(+/-5,244)","108,695","(+/-5,350)","87,316","(+/-4,725)","89,111","(+/-3,920)","84,374","(+/-4,223)","98,672","(+/-5,672)","86,207","(+/-4,869)","92,134","(+/-4,713)","97,141","(+/-4,323)","102,219","(+/-5,864)","89,863","(+/-5,188)","96,861","(+/-6,269)","87,002","(+/-4,431)","85,997","(+/-6,116)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","40,361","(+/-4,121)","27,390","(+/-3,081)","40,538","(+/-3,818)","27,807","(+/-2,722)","29,675","(+/-3,137)","31,621","(+/-2,800)","28,157","(+/-3,034)","29,406","(+/-3,951)","31,891","(+/-3,110)","32,972","(+/-3,854)","32,344","(+/-3,321)","30,744","(+/-2,936)","31,413","(+/-3,200)","31,558","(+/-2,763)","35,338","(+/-3,510)"
Workers,Industry,"Other services, except public administration","16,697","(+/-2,354)","16,383","(+/-2,262)","19,262","(+/-2,464)","16,628","(+/-2,195)","15,244","(+/-2,106)","18,804","(+/-2,290)","16,003","(+/-2,200)","15,242","(+/-1,775)","18,870","(+/-2,476)","14,942","(+/-2,510)","16,823","(+/-2,598)","15,661","(+/-1,622)","17,833","(+/-2,617)","16,467","(+/-2,218)","19,123","(+/-2,955)"
Workers,Industry,"Public administration","14,835","(+/-2,584)","14,561","(+/-1,907)","14,756","(+/-2,352)","14,780","(+/-2,279)","14,274","(+/-2,247)","11,298","(+/-1,718)","13,332","(+/-2,377)","12,304","(+/-1,822)","14,627","(+/-2,050)","21,383","(+/-2,346)","14,881","(+/-2,382)","19,034","(+/-2,273)","12,975","(+/-2,129)","12,348","(+/-2,168)","16,727","(+/-2,027)"
Workers,"Class of Worker","Civilian employed population 16 years and over","411,021","(+/-7,732)","355,758","(+/-6,514)","421,283","(+/-9,112)","385,178","(+/-6,598)","383,288","(+/-6,210)","351,161","(+/-5,743)","397,795","(+/-7,442)","384,953","(+/-8,518)","379,440","(+/-5,972)","375,945","(+/-7,356)","362,179","(+/-8,925)","377,239","(+/-7,332)","386,259","(+/-6,382)","383,961","(+/-6,041)","406,547","(+/-9,275)"
Workers,"Class of Worker","Private wage and salary workers","341,989","(+/-8,033)","283,792","(+/-7,156)","342,621","(+/-8,943)","320,920","(+/-6,526)","314,157","(+/-6,660)","290,952","(+/-5,357)","328,848","(+/-7,388)","321,505","(+/-9,042)","307,532","(+/-6,142)","298,923","(+/-7,557)","301,576","(+/-7,417)","301,263","(+/-7,998)","323,731","(+/-6,803)","315,655","(+/-7,277)","333,223","(+/-8,539)"
